n_atoms,dimension,seed,sigma_normalized,population_size,primary_configuration,best_energy,target_energy,gap,target_relative_gap,pair_traversals,wall_seconds
13,33,3706320353579268571,0.050000,16,true,-3.82969485657243709e1,-4.43268010000000032e1,6.02985243427563233e0,1.36031752760043118e-1,20000,0.325189644
13,33,11184350798129705413,0.050000,16,true,-4.00663685758111328e1,-4.43268010000000032e1,4.26043242418887047e0,9.61141415142696687e-2,20000,0.785093544
13,33,13472488579496305434,0.050000,16,true,-3.87879168270453718e1,-4.43268010000000032e1,5.53888417295463142e0,1.24955648682038456e-1,20000,0.169974244
13,33,10812712536360421584,0.050000,32,false,-3.80206180423374747e1,-4.43268010000000032e1,6.30618295766252857e0,1.42265690629525210e-1,20000,0.218086505
13,33,12592256521928215819,0.050000,32,false,-3.83959744476224500e1,-4.43268010000000032e1,5.93082655237755318e0,1.33797757081038915e-1,20000,0.325143654
13,33,15878876083759273262,0.050000,32,false,-3.72181306788458599e1,-4.43268010000000032e1,7.10867032115414332e0,1.60369576887674420e-1,20000,0.801396997
13,33,6025226957420983924,0.050000,64,false,-3.69200472561847448e1,-4.43268010000000032e1,7.40675374381525842e0,1.67094253966471845e-1,20000,0.046960957
13,33,7236104487576459908,0.050000,64,false,-3.69619916700296542e1,-4.43268010000000032e1,7.36480932997034898e0,1.66147999941848923e-1,20000,0.743318569
13,33,10225628344203489048,0.050000,64,false,-3.89396094829128003e1,-4.43268010000000032e1,5.38719151708720290e0,1.21533505589252938e-1,20000,0.801350987
13,33,1490831338274265092,0.150000,16,false,-4.05755930057875744e1,-4.43268010000000032e1,3.75120799421242879e0,8.46261834733444546e-2,20000,0.274047128
13,33,2850834255311341993,0.150000,16,false,-3.59897116807346009e1,-4.43268010000000032e1,8.33708931926540231e0,1.88082359457101389e-1,20000,0.276727340
13,33,7947664107988790263,0.150000,16,false,-3.27392370224333433e1,-4.43268010000000032e1,1.15875639775666599e1,2.61412141552165245e-1,20000,0.274765746
13,33,10021731221761828930,0.150000,32,false,-3.57975829209909193e1,-4.43268010000000032e1,8.52921807900908391e0,1.92416729531397573e-1,20000,0.854383025
13,33,12217464435021830245,0.150000,32,false,-3.15307483965848263e1,-4.43268010000000032e1,1.27960526034151769e1,2.88675300602341589e-1,20000,0.854315824
13,33,14991046912002122609,0.150000,32,false,-3.99113659046157778e1,-4.43268010000000032e1,4.41543509538422541e0,9.96109576096913668e-2,20000,0.169288176
13,33,535812621265369572,0.150000,64,false,-2.99325904519852628e1,-4.43268010000000032e1,1.43942105480147404e1,3.24729288450451015e-1,20000,0.340761168
13,33,3387570596996304797,0.150000,64,false,-2.37424922303980210e1,-4.43268010000000032e1,2.05843087696019822e1,4.64376140511515378e-1,20000,0.263840647
13,33,14250218112186748959,0.150000,64,false,-2.40792644793114405e1,-4.43268010000000032e1,2.02475365206885627e1,4.56778654536531104e-1,20000,0.748622971
13,33,8944194157887689575,0.500000,16,false,-2.94359348332470034e1,-4.43268010000000032e1,1.48908661667529998e1,3.35933697691222943e-1,20000,0.212769861
13,33,9894664884577815814,0.500000,16,false,-3.34515678013573776e1,-4.43268010000000032e1,1.08752331986426256e1,2.45342162152478033e-1,20000,0.854395615
13,33,12795496845279040267,0.500000,16,false,-3.57976080363395610e1,-4.43268010000000032e1,8.52919296366044222e0,1.92416162936288632e-1,20000,0.280773577
13,33,5246825703833232119,0.500000,32,false,-3.05456370837352971e1,-4.43268010000000032e1,1.37811639162647062e1,3.10899131120802197e-1,20000,0.217077953
13,33,14616809131347499448,0.500000,32,false,-3.00635001254891030e1,-4.43268010000000032e1,1.42633008745109002e1,3.21776003517846909e-1,20000,0.258031659
13,33,17737632290112465987,0.500000,32,false,-2.84708567196908469e1,-4.43268010000000032e1,1.58559442803091564e1,3.57705584941921617e-1,20000,0.853808538
13,33,1826187725389168867,0.500000,64,false,-1.27505337673495021e1,-4.43268010000000032e1,3.15762672326505012e1,7.12351591369079329e-1,20000,0.077717041
13,33,13711047365696334194,0.500000,64,false,-1.20674388606556278e1,-4.43268010000000032e1,3.22593621393443755e1,7.27762017821777185e-1,20000,0.116976126
13,33,16088652065399608013,0.500000,64,false,-9.90413401871113663e0,-4.43268010000000032e1,3.44226669812888701e1,7.76565558639994546e-1,20000,0.060022941
38,108,6744317791681927686,0.050000,16,true,-1.27175796860208692e2,-1.73928426999999999e2,4.67526301397913073e1,2.68803846192384122e-1,20000,0.299256867
38,108,8702630741327159444,0.050000,16,true,-1.17367808481750600e2,-1.73928426999999999e2,5.65606185182493988e1,3.25194791293371477e-1,20000,0.354993877
38,108,13989677284098546644,0.050000,16,true,-1.27070030219881772e2,-1.73928426999999999e2,4.68583967801182268e1,2.69411950584237891e-1,20000,0.210250022
38,108,12236923727411368035,0.050000,32,false,-1.25648596981241795e2,-1.73928426999999999e2,4.82798300187582043e1,2.77584468804275453e-1,20000,0.365983337
38,108,14416391335549676899,0.050000,32,false,-1.22003371945490954e2,-1.73928426999999999e2,5.19250550545090448e1,2.98542658897898550e-1,20000,0.365941737
38,108,17561496349174057562,0.050000,32,false,-1.21238963009790083e2,-1.73928426999999999e2,5.26894639902099158e1,3.02937621520661005e-1,20000,0.263762986
38,108,4043636429816287952,0.050000,64,false,-9.17146819135082865e1,-1.73928426999999999e2,8.22137450864917128e1,4.72687222580882138e-1,20000,0.263721276
38,108,8142382010284699227,0.050000,64,false,-8.66234872082541898e1,-1.73928426999999999e2,8.73049397917458094e1,5.01959002893447748e-1,20000,0.212266665
38,108,13542228409039822230,0.050000,64,false,-8.71294074004950971e1,-1.73928426999999999e2,8.67990195995049021e1,4.99050219085261426e-1,20000,0.394900550
38,108,6541702200681286068,0.150000,16,false,-3.34100325708484647e1,-1.73928426999999999e2,1.40518394429151527e2,8.07909304148145546e-1,20000,0.263664675
38,108,13013608263710249044,0.150000,16,false,-4.82050834366979259e1,-1.73928426999999999e2,1.25723343563302080e2,7.22845286028499956e-1,20000,0.394219192
