seed_arm,candidate,radius_gyration_normalized,mean_coordination,holdout_radius_gyration_normalized,holdout_mean_coordination,fine_niche,holdout_fine_niche,coarse_niche,holdout_coarse_niche,cutoff_low_niche,cutoff_high_niche
0,0,6.17918373966734102e-1,3.00000000000000000e0,6.19630045575162658e-1,3.00000000000000000e0,44,44,10,10,44,44
0,1,6.32356258732957976e-1,2.42105263157894735e0,6.32240532902988206e-1,2.42105263157894735e0,33,33,10,10,33,33
0,2,6.37601051751793046e-1,2.47368421052631593e0,6.37694844922394921e-1,2.52631578947368407e0,33,33,10,10,33,33
0,3,6.24849393799125630e-1,2.63157894736842124e0,6.25281052829432471e-1,2.63157894736842124e0,32,33,10,10,32,32
0,4,6.38198053164853230e-1,2.52631578947368407e0,6.37277881291932968e-1,2.47368421052631593e0,33,33,10,10,33,33
0,5,5.93756600758206021e-1,3.05263157894736858e0,5.93103020211364407e-1,3.05263157894736858e0,44,44,10,10,44,44
0,6,6.25699583850917174e-1,2.89473684210526327e0,6.25349976800598562e-1,2.89473684210526327e0,33,33,10,10,33,33
0,7,6.23316008992606641e-1,2.52631578947368407e0,6.22925997353785954e-1,2.68421052631578938e0,32,32,10,10,32,32
0,8,6.47443173959258100e-1,2.42105263157894735e0,6.47531815252720189e-1,2.42105263157894735e0,33,33,10,10,33,33
0,9,6.35604220884450566e-1,2.63157894736842124e0,6.34292855823404222e-1,2.73684210526315796e0,33,33,10,10,33,33
0,10,6.46160351819047296e-1,2.47368421052631593e0,6.46160640865046987e-1,2.47368421052631593e0,33,33,10,10,33,33
0,11,6.48004047608272571e-1,2.47368421052631593e0,6.48201795779455692e-1,2.47368421052631593e0,33,33,10,10,33,33
0,12,6.31906632779988819e-1,3.15789473684210531e0,6.32401085133550200e-1,3.10526315789473673e0,45,45,10,10,45,45
0,13,6.01687557775407500e-1,3.21052631578947389e0,6.01686620840961695e-1,3.15789473684210531e0,44,44,10,10,44,44
0,14,6.30623041605032131e-1,2.42105263157894735e0,6.30273901112610280e-1,2.42105263157894735e0,33,33,10,10,33,33
0,15,6.41928584167985816e-1,2.73684210526315796e0,6.41809761162477566e-1,2.63157894736842124e0,33,33,10,10,33,33
0,16,6.16957106725818383e-1,3.26315789473684204e0,6.16497882552518028e-1,3.10526315789473673e0,44,44,10,10,44,44
0,17,6.02843906346022362e-1,2.89473684210526327e0,6.03167351797132212e-1,3.00000000000000000e0,32,44,10,10,32,44
0,18,6.09984628086007730e-1,2.89473684210526327e0,6.10550050807735500e-1,3.00000000000000000e0,32,44,10,10,32,44
0,19,6.15116722232530777e-1,2.84210526315789469e0,6.15429145644659559e-1,2.84210526315789469e0,32,32,10,10,32,44
0,20,6.18062186769620547e-1,2.63157894736842124e0,6.18716088616939719e-1,2.63157894736842124e0,32,32,10,10,32,32
0,21,6.43456819487402742e-1,2.31578947368421062e0,6.43871640614206986e-1,2.26315789473684204e0,33,33,10,10,33,33
0,22,6.25746529145547292e-1,2.78947368421052611e0,6.25920027587312022e-1,2.78947368421052611e0,33,33,10,10,33,33
0,23,6.07574920718599532e-1,2.78947368421052611e0,6.07121145146358288e-1,2.78947368421052611e0,32,32,10,10,32,32
0,24,6.07097980335563947e-1,2.78947368421052611e0,6.07289397431486910e-1,2.78947368421052611e0,32,32,10,10,32,32
0,25,6.35950852763516261e-1,2.52631578947368407e0,6.35032194008430362e-1,2.57894736842105265e0,33,33,10,10,33,33
0,26,5.85323230952921714e-1,3.57894736842105265e0,5.86128114150153423e-1,3.73684210526315796e0,44,44,10,10,44,44
