n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,33,fixed-frame,basin-hopping,3482299955060770590,-4.14719798478106867e1,-4.43268010000000032e1,2.85482115218931654e0,6.44039517354143415e-2,false,false,false,true,,,5,8974,699972,8977,16690,0.027729919,0.006660773,0.021069146,1414,0,true
13,33,fixed-frame,basin-hopping,5694209903365972707,-2.51704287084767131e1,-4.43268010000000032e1,1.91563722915232901e1,4.32162300444899894e-1,false,false,false,false,,,5,19451,1517178,19451,36710,0.035444910,0.008067428,0.027377482,166,0,true
13,33,fixed-frame,basin-hopping,6054845415890715159,-3.78322109784834026e1,-4.43268010000000032e1,6.49459002151660059e0,1.46516100305018632e-1,false,false,false,false,,,5,14468,1128504,14490,27212,0.027318894,0.006328299,0.020990595,145,0,true
13,33,fixed-frame,basin-hopping,8048971573819030837,-4.06154678004849075e1,-4.43268010000000032e1,3.71133319951509577e0,8.37266194669697844e-2,false,false,false,true,,,5,9453,737334,9454,18017,0.018259937,0.004238147,0.014021790,273,0,true
13,33,fixed-frame,basin-hopping,10065547755147478085,-1.60077235208057758e1,-4.43268010000000032e1,2.83190774791942275e1,6.38870318640729962e-1,false,false,false,false,,,5,11581,903318,11583,21254,0.022863522,0.005212798,0.017650724,183,0,true
13,33,fixed-frame,basin-hopping,10307988297944474805,-1.61390478378465083e1,-4.43268010000000032e1,2.81877531621534949e1,6.35907679468082798e-1,false,false,false,false,,,5,18834,1469052,18837,35349,0.054127032,0.011555483,0.042571549,157,0,true
13,33,fixed-frame,basin-hopping,10509203992769182689,-3.85514344595050531e1,-4.43268010000000032e1,5.77536654049495013e0,1.30290623510028375e-1,false,false,false,false,,,5,4569,356382,4579,8272,0.013788183,0.003445140,0.010343043,161,0,true
13,33,fixed-frame,basin-hopping,14076511471388420532,-3.97822028089611024e1,-4.43268010000000032e1,4.54459819103890084e0,1.02524840243691406e-1,false,false,false,false,,,5,14046,1095588,14046,25745,0.027418765,0.006483865,0.020934900,239,0,true
13,33,fixed-frame,basin-hopping,16235298172165022714,-3.18011273529964527e1,-4.43268010000000032e1,1.25256736470035506e1,2.82575628387971178e-1,false,false,false,false,,,5,20000,1560000,20006,37176,0.064038730,0.013483780,0.050554950,143,0,true
13,33,fixed-frame,basin-hopping,17425550653302497574,-3.18130877642338596e1,-4.43268010000000032e1,1.25137132357661436e1,2.82305804918476788e-1,false,false,false,false,,,5,15048,1173744,15054,28174,0.048030230,0.011567572,0.036462658,288,0,true
13,33,fixed-frame,bite-retry,3482299955060770590,-3.30383128275981335e1,-4.43268010000000032e1,1.12884881724018697e1,2.54665076606856167e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.034560660,0.009085227,0.025475433,45976,0,true
13,33,fixed-frame,bite-retry,5694209903365972707,-2.90489482424420054e1,-4.43268010000000032e1,1.52778527575579979e1,3.44664004911114541e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.024545991,0.007724222,0.016821769,47005,0,true
13,33,fixed-frame,bite-retry,6054845415890715159,-3.52279315962649449e1,-4.43268010000000032e1,9.09886940373505837e0,2.05267901099721983e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.023815283,0.007638714,0.016176569,48646,0,true
13,33,fixed-frame,bite-retry,8048971573819030837,-3.22027188706343068e1,-4.43268010000000032e1,1.21240821293656964e1,2.73515838180285020e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.025266540,0.007923245,0.017343295,47776,0,true
13,33,fixed-frame,bite-retry,10065547755147478085,-3.19196848734412733e1,-4.43268010000000032e1,1.24071161265587300e1,2.79901004508733398e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.024846185,0.007838156,0.017008029,48378,0,true
13,33,fixed-frame,bite-retry,10307988297944474805,-3.32569786267169363e1,-4.43268010000000032e1,1.10698223732830670e1,2.49732038485769942e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.043841500,0.011780491,0.032061009,45512,0,true
