problem,evaluations,hypervolume,fixed_hypervolume,igd_plus,fixed_outside_reference
zdt1,64,3.01158468341556684e0,,2.50911015226614253e0,8
zdt1,1024,4.12521013400862291e0,,1.60751504697566361e0,13
zdt1,2048,4.63677484663182948e0,,1.24765349543814441e0,28
zdt1,4096,5.33674369931783943e0,,5.60088214965238751e-1,23
zdt2,64,1.29562264646031755e0,,3.73768658606712867e0,6
zdt2,1024,2.03730656748515448e0,,2.94902046685806685e0,9
zdt2,2048,2.39965626631960438e0,,2.47180484376926080e0,7
zdt2,4096,2.99961266841337615e0,,1.67285891198970882e0,5
zdt3,64,2.07490752993017358e0,,1.38351183849514991e0,11
zdt3,1024,2.73856267301085277e0,,9.86245224504968432e-1,17
zdt3,2048,3.21172562002602913e0,,6.60603269727377151e-1,19
zdt3,4096,3.62026005007070273e0,,3.70017977077146287e-1,19
zdt4,64,2.77971747334050434e1,,8.82651616699383226e1,4
zdt4,1024,4.80563806780448104e1,,5.07070821845929700e1,7
zdt4,2048,5.34709074858625755e1,,3.76820789220870367e1,10
zdt4,4096,6.08262476899761921e1,,1.75275923582460749e1,7
zdt6,64,3.58741324918199211e-1,,8.13247588552865963e0,6
zdt6,1024,1.34689035681304103e0,,7.41385087946847321e0,12
zdt6,2048,1.96830054097598994e0,,6.97117442064189952e0,3
zdt6,4096,2.79616316850587943e0,,6.12050912164743721e0,14
dtlz1,64,3.02525879411725938e8,,1.15311612164985249e2,15
dtlz1,1024,3.20203681401692748e8,,2.72011179500891735e1,41
dtlz1,2048,3.20279515413931727e8,,1.56335741912262716e1,39
dtlz1,4096,3.20293145032435715e8,,6.17700755226128972e0,64
dtlz2,64,1.01581317694262694e1,,5.79264202412643536e-1,28
dtlz2,1024,1.26720098773120426e1,,1.86270785203034167e-1,26
dtlz2,2048,1.28378473974229870e1,,1.03807979766336253e-1,4
dtlz2,4096,1.30618405394503814e1,6.10560713900813901e-1,6.79051800371087977e-2,0
dtlz3,64,2.21510113213898134e9,,6.10256057586126531e2,24
dtlz3,1024,2.79993447546205997e9,,1.36144889770470513e2,23
dtlz3,2048,2.81816379653021336e9,,1.14137220744465722e2,34
dtlz3,4096,2.82142149937235832e9,,7.56015834528177351e1,43
dtlz4,64,6.35833290882905544e0,,8.41427383489654401e-1,5
dtlz4,1024,9.83628934999124027e0,,4.69406911748796285e-1,41
dtlz4,2048,1.08427406543887699e1,,2.97129200079099209e-1,12
dtlz4,4096,1.12223894482288387e1,4.47924884139296486e-1,2.30573814789923032e-1,0
dtlz5,64,1.33831229750452998e1,,6.01400308064972355e-1,17
dtlz5,1024,1.69641213080776936e1,,1.50200615991357783e-1,27
dtlz5,2048,1.76394945578821059e1,,3.97457918226570839e-2,5
dtlz5,4096,1.78305547524467656e1,2.55135020315248207e-1,1.02021637302135999e-2,0
dtlz6,64,1.54736032243799946e3,,9.16655731927177442e0,53
dtlz6,1024,1.77844668915311513e3,,8.75547072695739637e0,64
dtlz6,2048,1.95445044355585151e3,,8.33701329459959695e0,64
dtlz6,4096,2.28424618333806939e3,,6.93556828672126535e0,64
dtlz7,64,2.98532087309227290e0,,2.63721254693235396e0,19
dtlz7,1024,5.24586773233305781e0,,1.86325547359914379e0,33
dtlz7,2048,6.24663391536505408e0,,1.28415900017323015e0,35
dtlz7,4096,7.11389455733800879e0,,7.66396543256234297e-1,64
