problem,arm,point_id,decision,normalized_objectives
zdt1,initial,0,"[0.04121879905972203,0.5811008536487852,0.09302927452187248,0.1242521563966118,0.19488801485355367,0.9490930812966833,0.2841483551577145,0.5987309127529978,0.9791140922274341,0.7051064945742199,0.24878360790016985,0.9588238173145995,0.5290753689260093,0.6342914726245156,0.5642052923784974,0.1391709398975094,0.9214555363207537,0.6696842482539879,0.48475363261114024,0.9160672186346417,0.18315135962341933,0.8711104318378516,0.878398111155353,0.3866390081457747,0.3080986705408384,0.3846621274407013,0.062172013066368215,0.43069851896858236,0.2895189308677032,0.2610075098920128]","[0.04121879905972203,5.0628334718014765]"
zdt1,initial,1,"[0.05142312083118539,0.23960974363151666,0.22464527428298042,0.702999612916323,0.11211634192168829,0.3445715717436133,0.26919570301829654,0.6440707868489882,0.8177882311223801,0.9165020132678233,0.677661315092374,0.04146853634635872,0.804158348794333,0.3522888032602325,0.13669308102792177,0.9864965978616821,0.07852428127284783,0.022555815282866654,0.5220678398641599,0.2955685801854605,0.05689055065372961,0.8936431483782866,0.206729688567178,0.2546601984938497,0.6940678598635999,0.49137914575470854,0.9957485533026048,0.11647851646015706,0.8108515415658446,0.0590451607211302]","[0.05142312083118539,4.4574634841037755]"
zdt1,initial,2,"[0.05609693362408874,0.5709993351009346,0.10973672644169596,0.32555824742060413,0.09204840442344298,0.07673698566897424,0.08383898064194506,0.7625778871663078,0.059832713635405654,0.33684434560178333,0.8970415825609246,0.3349259897981054,0.06759949276958532,0.6422910127744872,0.32759788057995887,0.07536494229203528,0.3906177274463166,0.5412112426370526,0.6556991489547348,0.4501684142904915,0.5873036150436823,0.6100129681986936,0.671606070305077,0.2019669243129294,0.7284959384881666,0.23175378109832911,0.6185024482622308,0.31965651719981125,0.23316906785220182,0.8335330499233938]","[0.05609693362408874,4.16143394434952]"
zdt1,initial,3,"[0.10417751578911372,0.22751620186851906,0.4670456485555661,0.8410348163107786,0.1208050775303211,0.5637613545787251,0.29500387886191526,0.7538844030939523,0.1173452509812859,0.38916042097072756,0.1591149529201964,0.9205884441624448,0.11178560466980281,0.27485707052464237,0.05001228570466332,0.5122812945417772,0.16122630241954805,0.24814837860013972,0.8772332190169996,0.10798884216494442,0.7236058810572532,0.25051344784066454,0.18458999462352632,0.524919198913916,0.24208374372313723,0.17076843627219984,0.6873370013046068,0.8688939180387646,0.6189145731659678,0.3622021887589084]","[0.10417751578911372,3.9745272611586446]"
zdt1,initial,4,"[0.30897537913594497,0.638572575418333,0.3042105164385075,0.03402868281877569,0.0008484285363172805,0.30605194945780734,0.5570294851699141,0.5270740817962257,0.9197730354511343,0.11118630523461626,0.4162123522446941,0.46105350730794536,0.4623260059425094,0.04395624999674219,0.2819471498556777,0.19567412406375506,0.8586565750994143,0.07814692500849396,0.5842627298016521,0.5566926194523235,0.7064949527092436,0.3587546032125639,0.10909062465188923,0.29846727508475834,0.10276830739518528,0.4919440096437352,0.14189707439893906,0.5218626538147024,0.20582871181919882,0.12299340152108784]","[0.30897537913594497,3.0840972173420553]"
zdt1,initial,5,"[0.7448835678980664,0.42272893615315554,0.09460479009083078,0.6532127120826642,0.3652917049480062,0.5356306897366546,0.8292413134199155,0.17044122148552687,0.4443298429829139,0.2549092899380151,0.9716600808336799,0.2805298231678446,0.6273832967544924,0.5595893172380368,0.6017190181029649,0.6407499715422807,0.10678701251384526,0.7963266891114327,0.1063010017463385,0.9822442750902808,0.7851559396725866,0.32652014100656424,0.3008148777435359,0.29500276927967417,0.07712320299711906,0.06938855385363285,0.8133447739119559,0.334919817207443,0.3008021313081799,0.1656171308524933]","[0.7448835678980664,3.076006404314397]"
zdt1,initial,6,"[0.8490144268726046,0.3516133302546489,0.5062264350182628,0.15164350401413673,0.8570663638078843,0.3390140024941094,0.06830912657532517,0.1704788044491795,0.8250654989020235,0.9693448118870498,0.26763510797187484,0.0011541604811448058,0.12051261606369534,0.8331441121396043,0.3673512714917939,0.263845560457203,0.8748823909937031,0.09414590820312208,0.6016520545095733,0.7191967257526539,0.27241471875300427,0.6798815517131431,0.9904485284588151,0.9108715047967645,0.2552676838201555,0.08928361683209363,0.13165486773708246,0.5221692984721671,0.698614524256533,0.40015904488974163]","[0.8490144268726046,3.049277594033956]"
zdt1,initial,7,"[0.8519912736507123,0.8846979823651789,0.1920493907315396,0.8534541158984381,0.40569334983898586,0.3373851270062914,0.1779921697843645,0.10296731303109596,0.20886981464968768,0.049810271682506624,0.39529009712662844,0.16307508217484123,0.0407723618721022,0.4558205690361271,0.607794337596808,0.8271573970472752,0.3997212613773504,0.9167445686832193,0.8142899511346118,0.2959929283488981,0.11200255499243872,0.7607907551229863,0.5681545942379241,0.8196141896677489,0.17899390988807373,0.21298032320891436,0.7509295912075106,0.2956114100154912,0.07193939693099705,0.42177922219165087]","[0.8519912736507123,2.796831213555326]"
zdt1,mode,0,"[0.00005626468315933497,0.09065691762609845,0.10452112951599465,0.014883973434013043,0.09330452801346747,0.029172126755228227,0.0031412262521186007,0.38470695622632656,0.2446874178088999,0.09395765270561286,0.2115956056240308,0.08381537224519894,0.06009791166511806,0.03604749908650294,0.020227460819260745,0.08065548917708863,0.48168710790052094,0.11434337327534391,0.0904747188892498,0.11205710180007122,0.029397991757576722,0.2852856508161243,0.054036502364291715,0.17792711879849124,0.05163851293873251,0.06739279338100118,0.07634660751753733,0.16643708001519977,0.06464656463524371,0.07989959009651265]","[0.00005626468315933497,2.0453606997552565]"
zdt1,mode,1,"[0.0005049010222113459,0.07170353464331197,0.11915627811969398,0.04433230721346844,0.05546249924483887,0.1274578915552665,0.021803771078624523,0.10525161119720561,0.14306956288506256,0.09388158807963384,0.2361506973572468,0.08860378545984918,0.06222754976676673,0.04137646679032411,0.039459142115844226,0.0940931106560535,0.2344477414616345,0.08787176203324162,0.09183983274605176,0.31577182084335875,0.031003953712246457,0.36239325589667426,0.09789226628370834,0.1725502634692044,0.0693273470960242,0.10056663191620288,0.17690804571879704,0.14289700088919588,0.07812628924300229,0.07512019892789859]","[0.0005049010222113459,2.017031251591896]"
zdt1,mode,2,"[0.003757779638125347,0.07170353464331197,0.11915627811969398,0.0664775667036386,0.09580902294128923,0.07282216832798442,0.021803771078624523,0.24279862882285985,0.14306956288506256,0.11708544929973783,0.2130292190556373,0.08860378545984918,0.06220874629782352,0.04046330975379773,0.03945914211584422,0.0940931106560535,0.23381411857228826,0.08789064339777666,0.09183983274605176,0.4214440491169692,0.031003953712246464,0.32624204134087886,0.09758991407438061,0.18452987190355216,0.04990285803811236,0.05024494655530712,0.15073527327823472,0.14289700088919588,0.06992134335141624,0.08026617325492752]","[0.003757779638125347,1.9997634774433757]"
zdt1,mode,3,"[0.0044018086758432495,0.07187770907694871,0.11912062522807132,0.048792282814448126,0.024712043556298156,0.06870246886474346,0.02518586357728446,0.2610513075192625,0.14297274903209323,0.029710222240919258,0.21263488420879378,0.0848239209883637,0.062341537169283284,0.04046330975379772,0.08839080681251099,0.04506448167550381,0.34301488920155354,0.05088956872734743,0.09227669836273686,0.24275634237775523,0.14991477187180835,0.3370167741433777,0.11425382902138162,0.06496032279916347,0.05003874731176794,0.08231702915244446,0.150271003406448,0.14288063378563826,0.11685213204224909,0.07898713167841953]","[0.0044018086758432495,1.9425599691628757]"
zdt1,mode,4,"[0.01695121128854893,0.07255016762251842,0.06895690586037578,0.05900465394391878,0.052594184636807574,0.0234634830294523,0.08861382882686925,0.2455671908140893,0.1422394288826886,0.11240360685962675,0.24989410078847185,0.07343045669461776,0.039534351386432603,0.028659521495499996,0.05414605260685207,0.07312863847890863,0.23862977580564296,0.11570402044623246,0.12128098056120448,0.3397007612427817,0.027897592135211924,0.3628255966452558,0.11434329097122883,0.06141779233929806,0.01610716826360666,0.01260989719804348,0.10866849515064475,0.14584303755530287,0.06749806494603128,0.14539231042987183]","[0.01695121128854893,1.8276825415390114]"
zdt1,mode,5,"[0.02038982380965007,0.07561970285026806,0.08446376501597541,0.04820575218913442,0.053980013104784674,0.012712501665029324,0.08923578455194911,0.24507634753619595,0.12935402055462483,0.09366805723160176,0.17709948122625668,0.04607256888094449,0.06813528153412861,0.029170684709297026,0.14933447964775504,0.08080668731625687,0.34394245056547,0.11540869105455344,0.057272410410591834,0.04524297860882748,0.029994562657444008,0.36191361975681235,0.042435885510512854,0.05799083002649133,0.017503128419034644,0.10100467581109271,0.08396635054596445,0.3347564837727798,0.07857650032579098,0.07740999598286591]","[0.02038982380965007,1.770993902365306]"
zdt1,mode,6,"[0.02934525059559996,0.07575395732049817,0.06690933268921674,0.05008349731773151,0.011700597429998127,0.00630463387853443,0.09864158311299358,0.3835972367758881,0.12988148656409582,0.00935366104263105,0.2125585486737812,0.10318682445355888,0.061523636567873,0.050736250391828955,0.02341807699870388,0.1461856131528527,0.4556211787026362,0.11564685235735618,0.08373921337898482,0.19341426064768738,0.03910505288462948,0.28496510695530874,0.044837552903070566,0.0625637237607278,0.05020007375994015,0.006688602773357033,0.07199907466464114,0.15119689953181348,0.026112306617286522,0.09728645358806776]","[0.02934525059559996,1.7259655181662932]"
zdt1,mode,7,"[0.033089462870436126,0.11771194879034208,0.06690933268921674,0.05008349731773151,0.011700597429998127,0.0028313249860293602,0.09864158311299356,0.3835972367758881,0.1403406228833736,0.09276414530564853,0.07282988337851931,0.10286609861881678,0.06442640374694279,0.050736250391828955,0.02341807699870388,0.07463828448151572,0.4556211787026362,0.08721595083590468,0.08373921337898482,0.201342623992356,0.03427119284479369,0.2853888846747278,0.04487280626399877,0.0625637237607278,0.04994437805724839,0.08233130224381835,0.07384097565786432,0.1511570608844219,0.026112306617286526,0.09728645358806776]","[0.033089462870436126,1.7041286258082995]"
zdt1,mode,8,"[0.033158828969958226,0.07251393779677587,0.11819712774905952,0.05900465394391878,0.021893115369083914,0.023463483029452302,0.09112117857129085,0.24646505618284886,0.15605129679888688,0.10882155615662373,0.06500825576457815,0.07508774426247175,0.039534351386432603,0.028659521495499996,0.09361601572174766,0.07312863847890863,0.238629775805643,0.11570402044623246,0.13806322861290374,0.1944705650653345,0.027897592135211924,0.3628255966452558,0.11434329097122883,0.06141779233929806,0.047216687838142264,0.01260989719804348,0.10823181752591882,0.14584303755530287,0.07224251680225759,0.14175624460624175]","[0.033158828969958226,1.6936014872739336]"
zdt1,mode,9,"[0.0543442688336668,0.08893154809758486,0.11910025855014862,0.05417448389861364,0.02307575492671432,0.0453567040087986,0.008356949514016165,0.2578184570813473,0.14177926975208857,0.016051078227650895,0.21276086361571478,0.07282966093982432,0.0648911685628509,0.04062932469706848,0.08840932996024664,0.07386594664324511,0.22650777309461162,0.07325991098755148,0.09228277431422707,0.40417496079223614,0.03115174862014026,0.3730402627999463,0.1152144030088115,0.06497285507430134,0.06061777927983314,0.08236802802336965,0.1542672696284797,0.13761326602974122,0.08445935040633705,0.03769372126641648]","[0.0543442688336668,1.6769939333081374]"
