problem,arm,dimension,objectives,requested_evaluations,actual_evaluations,front_size,deterministic_recheck_points,deterministic_recheck_max_abs_error,hypervolume,hypervolume_kind,fixed_hypervolume,fixed_hypervolume_kind,igd,igd_plus,gd,gd_plus,additive_epsilon,spacing,spread,duplicates_collapsed,dominated_removed,fixed_outside_reference,normalization_ideal,normalization_nadir,reference_point,fixed_reference_point,wall_seconds
zdt1,initial,30,2,64,64,8,8,0.00000000000000000e0,3.01158468341556684e0,exact,,not-applicable-outside-reference,2.50930548054602509e0,2.50911015226614253e0,2.77230287360223127e0,2.77230287360223127e0,2.79683121355532593e0,1.63722207207451037e-1,8.33935551387893659e-1,0,0,8,"[0.0,0.0]","[1.0,1.0]","[1.0015613655102058,6.445855722438733]","[1.1,1.1]",0.000000000
zdt1,mode,30,2,4096,4096,29,29,0.00000000000000000e0,5.33674369931783943e0,exact,,not-applicable-outside-reference,5.64626395373004519e-1,5.60088214965238751e-1,6.13563451800498760e-1,6.13563451800498760e-1,7.38760246282488264e-1,3.08830462661284985e-2,8.44927153345901405e-1,0,0,23,"[0.0,0.0]","[1.0,1.0]","[1.0015613655102058,6.445855722438733]","[1.1,1.1]",0.004570371
zdt1,random,30,2,4096,4096,21,21,0.00000000000000000e0,3.61600883220276792e0,exact,,not-applicable-outside-reference,1.90418153463148476e0,1.90410713938749621e0,2.46616824830001002e0,2.46616824830001002e0,2.16391622767518177e0,1.67969523420292755e-1,8.80075766463253917e-1,0,0,21,"[0.0,0.0]","[1.0,1.0]","[1.0015613655102058,6.445855722438733]","[1.1,1.1]",0.000960128
zdt2,initial,30,2,64,64,6,6,0.00000000000000000e0,1.29562264646031755e0,exact,,not-applicable-outside-reference,3.76017772785639171e0,3.73768658606712867e0,4.16492971408078017e0,4.16492971408078017e0,4.40397847135945675e0,3.30533122059990525e-1,9.96699365662093828e-1,0,0,6,"[0.0,0.0]","[1.0,1.0]","[0.7505584216978202,6.3359501764866515]","[1.1,1.1]",0.000000000
zdt2,mode,30,2,4096,4096,5,5,0.00000000000000000e0,2.99961266841337615e0,exact,,not-applicable-outside-reference,1.75761349097537622e0,1.67285891198970882e0,1.41977746025556328e0,1.41977746025556328e0,2.33944224532304057e0,1.99724500405648285e-2,9.68427497026254080e-1,0,0,5,"[0.0,0.0]","[1.0,1.0]","[0.7505584216978202,6.3359501764866515]","[1.1,1.1]",0.003951306
zdt2,random,30,2,4096,4096,8,8,0.00000000000000000e0,1.77978443306476053e0,exact,,not-applicable-outside-reference,3.23096792366740182e0,3.22905259147287804e0,3.82284394453569343e0,3.82284394453569343e0,3.88052846419131559e0,1.79704473929322012e-1,9.33886958434540393e-1,0,0,8,"[0.0,0.0]","[1.0,1.0]","[0.7505584216978202,6.3359501764866515]","[1.1,1.1]",0.000690786
zdt3,initial,30,2,64,64,11,11,0.00000000000000000e0,2.07490752993017358e0,exact,,not-applicable-outside-reference,1.38352318682565167e0,1.38351183849514991e0,1.73506648047376921e0,1.73506648047376921e0,1.78982949724752616e0,2.03564781952984747e-1,8.30540739984292675e-1,0,0,11,"[0.00006639669567716143,-0.7733671536175233]","[0.8517664687043229,0.9918514447433954]","[1.0800353705288948,4.317241986786488]","[1.1,1.1]",0.000000000
zdt3,mode,30,2,4096,4096,33,33,0.00000000000000000e0,3.62026005007070273e0,exact,,not-applicable-outside-reference,3.92603942325482680e-1,3.70017977077146287e-1,3.35613888279057360e-1,3.35613888279057360e-1,8.16748353502998903e-1,2.08631519167802246e-2,9.58183397184035113e-1,0,0,19,"[0.00006639669567716143,-0.7733671536175233]","[0.8517664687043229,0.9918514447433954]","[1.0800353705288948,4.317241986786488]","[1.1,1.1]",0.004592942
zdt3,random,30,2,4096,4096,22,22,0.00000000000000000e0,2.55923968213809516e0,exact,,not-applicable-outside-reference,9.98522308931385827e-1,9.98518913640041195e-1,1.43775369122405605e0,1.43775369122405605e0,1.27364679848800866e0,9.20371228614493553e-2,8.02006342400908734e-1,0,0,22,"[0.00006639669567716143,-0.7733671536175233]","[0.8517664687043229,0.9918514447433954]","[1.0800353705288948,4.317241986786488]","[1.1,1.1]",0.000759676
zdt4,initial,10,2,64,64,4,4,0.00000000000000000e0,2.77971747334050434e1,exact,,not-applicable-outside-reference,8.82664400708147099e1,8.82651616699383226e1,1.26285095851382451e2,1.26285095851382451e2,8.85985771972395924e1,5.24088863834701613e0,7.27483567653216201e-1,0,0,4,"[0.0,0.0]","[1.0,1.0]","[0.3648650928649936,184.56988235744055]","[1.1,1.1]",0.000000000
zdt4,mode,10,2,4096,4096,7,7,0.00000000000000000e0,6.08262476899761921e1,exact,,not-applicable-outside-reference,1.75369972098743361e1,1.75275923582460749e1,4.92110115289777141e1,4.92110115289777141e1,1.78610112959325278e1,1.40936530037559553e1,1.04121461033078044e0,1,0,7,"[0.0,0.0]","[1.0,1.0]","[0.3648650928649936,184.56988235744055]","[1.1,1.1]",0.003864795
zdt4,random,10,2,4096,4096,10,10,0.00000000000000000e0,4.28922964355123071e1,exact,,not-applicable-outside-reference,5.59192199452193321e1,5.59180401486471013e1,1.08580300232095354e2,1.08580300232095354e2,5.62514031426033725e1,6.86448304800197651e0,8.41612385215864234e-1,0,0,10,"[0.0,0.0]","[1.0,1.0]","[0.3648650928649936,184.56988235744055]","[1.1,1.1]",0.001033959
zdt6,initial,30,2,64,64,6,6,0.00000000000000000e0,3.58741324918199211e-1,exact,,not-applicable-outside-reference,8.13247588634031615e0,8.13247588552865963e0,7.97252482491243430e0,7.97252482491243430e0,8.70508734612525181e0,2.45313298285193188e-1,9.89379019738593435e-1,0,0,6,"[0.2807753191,0.0]","[1.0,0.9211652201842931]","[1.0999466354967342,9.354172999021497]","[1.1,1.1]",0.000000000
zdt6,mode,30,2,4096,4096,14,14,0.00000000000000000e0,2.79616316850587943e0,exact,,not-applicable-outside-reference,6.12050912164754379e0,6.12050912164743721e0,5.90396042834476020e0,5.90396042834476020e0,6.68567610218371122e0,7.30823517679482365e-2,9.96558354138213698e-1,2,0,14,"[0.2807753191,0.0]","[1.0,0.9211652201842931]","[1.0999466354967342,9.354172999021497]","[1.1,1.1]",0.004113427
zdt6,random,30,2,4096,4096,9,9,0.00000000000000000e0,9.39901565732740085e-1,exact,,not-applicable-outside-reference,7.49947220237585288e0,7.49947193524435907e0,7.62927671833737531e0,7.62927671833737531e0,8.07158542508916099e0,1.63762578362581734e-1,9.73343487531814433e-1,0,0,9,"[0.2807753191,0.0]","[1.0,0.9211652201842931]","[1.0999466354967342,9.354172999021497]","[1.1,1.1]",0.000861038
dtlz1,initial,7,3,64,64,15,15,0.00000000000000000e0,3.02525879411725938e8,exact,,not-applicable-outside-reference,1.15311612164985249e2,1.15311612164985249e2,2.99076446554867857e2,2.99076446554867857e2,8.45265181702846462e1,7.63930384561772229e1,6.26592484565865693e-1,0,0,15,"[0.00028877411106494093,0.0002542142366105261,0.00016551380181440402]","[0.4878831951060765,0.4905711683282389,0.48274631595707146]","[651.766568571016,599.0917709218386,820.2798734791196]","[1.1,1.1,1.1]",0.000000000
dtlz1,mode,7,3,4096,4096,64,64,0.00000000000000000e0,3.20293145032435715e8,exact,,not-applicable-outside-reference,6.18986690849245491e0,6.17700755226128972e0,3.41022924057882548e1,3.41022851513932750e1,5.32486414953204967e0,2.92576152271770482e1,1.58365578748955405e0,0,0,64,"[0.00028877411106494093,0.0002542142366105261,0.00016551380181440402]","[0.4878831951060765,0.4905711683282389,0.48274631595707146]","[651.766568571016,599.0917709218386,820.2798734791196]","[1.1,1.1,1.1]",0.004978424
dtlz1,random,7,3,4096,4096,48,48,0.00000000000000000e0,3.18712898717580259e8,exact,,not-applicable-outside-reference,4.47742209586457278e1,4.47742075369021251e1,2.56917186019455642e2,2.56917186018349241e2,4.44810648761175145e1,4.56904068034816007e1,5.57514547526451687e-1,0,0,48,"[0.00028877411106494093,0.0002542142366105261,0.00016551380181440402]","[0.4878831951060765,0.4905711683282389,0.48274631595707146]","[651.766568571016,599.0917709218386,820.2798734791196]","[1.1,1.1,1.1]",0.000705976
dtlz2,initial,12,3,64,64,31,31,0.00000000000000000e0,1.01581317694262694e1,exact,,not-applicable-outside-reference,5.80282147813204974e-1,5.79264202412643536e-1,6.88542180157857620e-1,6.88524033108783629e-1,6.97130048523306955e-1,1.86555839034139775e-1,5.02091006158975617e-1,0,0,28,"[0.00061302540363616,0.0006003331299150007,0.0004596738478051105]","[0.9997572798304059,0.9999071193706803,0.9994948193295314]","[2.0705127096890226,2.6568807124207448,2.5064390537856496]","[1.1,1.1,1.1]",0.000000000
