problem,arm,dimension,requested_evaluations,actual_evaluations,best,wall_seconds
sphere,initial-population,10,31,31,5.40823890993593963e1,0.000000000
sphere,random,10,4000,4000,1.65075884438442948e1,0.000324632
sphere,de,10,4000,4009,1.40895586049557298e-21,0.000701117
rosenbrock,initial-population,10,31,31,1.89957230317776208e5,0.000000000
rosenbrock,random,10,4000,4000,2.47132960522057037e4,0.000341673
rosenbrock,de,10,4000,4029,5.63916517462673239e-1,0.000744576
rastrigin,initial-population,10,31,31,1.09689572774843924e2,0.000000000
rastrigin,random,10,4000,4000,7.49212976318527950e1,0.000981158
rastrigin,de,10,4000,4029,2.42904919082331503e1,0.001096780
ackley,initial-population,10,31,31,1.91975520825490555e1,0.000000000
ackley,random,10,4000,4000,1.84621858850709657e1,0.001125671
ackley,de,10,4000,4017,8.05493593577355149e0,0.001123120
griewank,initial-population,10,31,31,4.79800655719319593e1,0.000000000
griewank,random,10,4000,4000,4.79800655719319593e1,0.001176160
griewank,de,10,4000,4017,8.11452293176828654e-2,0.001185101
schwefel,initial-population,10,31,31,2.98786804813219442e3,0.000000000
schwefel,random,10,4000,4000,1.87489824822784658e3,0.001083710
schwefel,de,10,4000,4016,4.54016339649998827e2,0.001125840
levy,initial-population,10,31,31,2.97733380088635791e1,0.000000000
levy,random,10,4000,4000,1.21612357800601298e1,0.001094000
levy,de,10,4000,4025,1.79056500832881937e-1,0.001228701
zakharov,initial-population,10,31,31,7.54230183569844085e4,0.000000000
zakharov,random,10,4000,4000,7.74381921239431250e1,0.000342963
zakharov,de,10,4000,4006,2.94022634457067676e-9,0.000778127
