station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Troll,SAT-3,103.125000,487.265625,384.140625,true
Fairbanks,SAT-1,1344.609375,1861.640625,517.031250,true
Singapore,SAT-3,1839.609375,2119.218750,279.609375,true
Svalbard,SAT-1,1892.109375,2471.250000,579.140625,true
Troll,SAT-2,1972.968750,2330.156250,357.187500,true
Svalbard,SAT-4,2167.265625,2626.875000,459.609375,true
Fairbanks,SAT-4,2655.000000,3051.796875,396.796875,true
Svalbard,SAT-3,3249.609375,3652.031250,402.421875,true
Troll,SAT-1,4367.343750,4956.562500,589.218750,true
Svalbard,SAT-2,4550.859375,5066.250000,515.390625,true
Fairbanks,SAT-2,5085.234375,5641.875000,556.640625,true
Cordoba,SAT-3,5190.468750,5725.312500,534.843750,true
Troll,SAT-4,5452.734375,5853.281250,400.546875,true
Troll,SAT-3,6239.531250,6459.609375,220.078125,true
Fairbanks,SAT-1,7581.796875,7679.296875,97.500000,false
Singapore,SAT-3,7649.062500,8128.828125,479.765625,true
Svalbard,SAT-1,7816.406250,8344.687500,528.281250,true
Troll,SAT-2,7920.234375,8431.875000,511.640625,true
Svalbard,SAT-4,8003.906250,8536.875000,532.968750,true
Fairbanks,SAT-4,8556.796875,9135.703125,578.906250,true
Hartebeesthoek,SAT-2,8715.468750,9259.218750,543.750000,true
Svalbard,SAT-3,9089.531250,9506.015625,416.484375,true
Troll,SAT-1,10363.593750,10894.687500,531.093750,true
Svalbard,SAT-2,10417.500000,10989.140625,571.640625,true
Fairbanks,SAT-2,11019.140625,11588.671875,569.531250,true
Troll,SAT-4,11396.718750,11935.546875,538.828125,true
Hartebeesthoek,SAT-4,12172.734375,12746.953125,574.218750,true
Troll,SAT-3,12280.078125,12548.906250,268.828125,true
Svalbard,SAT-1,13723.125000,14178.281250,455.156250,true
Troll,SAT-2,13860.000000,14444.062500,584.062500,true
Svalbard,SAT-4,13883.203125,14463.281250,580.078125,true
Fairbanks,SAT-4,14499.140625,15039.843750,540.703125,true
Hartebeesthoek,SAT-2,14785.781250,14987.812500,202.031250,true
Svalbard,SAT-3,14913.750000,15396.562500,482.812500,true
Fairbanks,SAT-3,15418.125000,15891.328125,473.203125,true
Cordoba,SAT-1,15710.390625,16094.531250,384.140625,true
Svalbard,SAT-2,16338.281250,16925.390625,587.109375,true
Troll,SAT-1,16454.531250,16837.734375,383.203125,true
Fairbanks,SAT-2,17000.390625,17354.765625,354.375000,true
Troll,SAT-4,17335.781250,17922.187500,586.406250,true
Singapore,SAT-1,18191.953125,18469.687500,277.734375,true
Troll,SAT-3,18235.781250,18679.218750,443.437500,true
Hartebeesthoek,SAT-3,19193.203125,19402.968750,209.765625,true
Svalbard,SAT-1,19600.312500,20003.906250,403.593750,true
Troll,SAT-2,19799.062500,20353.125000,554.062500,true
Svalbard,SAT-4,19818.515625,20402.578125,584.062500,true
Fairbanks,SAT-4,20512.265625,20741.484375,229.218750,true
Svalbard,SAT-3,20760.468750,21311.484375,551.015625,true
Fairbanks,SAT-3,21333.515625,21922.031250,588.515625,true
Cordoba,SAT-1,21541.406250,22076.484375,535.078125,true
Svalbard,SAT-2,22314.609375,22875.234375,560.625000,true
Troll,SAT-1,22591.406250,22809.609375,218.203125,true
Troll,SAT-4,23275.078125,23805.000000,529.921875,true
Singapore,SAT-1,23999.765625,24480.234375,480.468750,true
Troll,SAT-3,24176.484375,24737.812500,561.328125,true
Hartebeesthoek,SAT-3,24960.468750,25499.296875,538.828125,true
Svalbard,SAT-1,25440.468750,25857.656250,417.187500,true
Troll,SAT-2,25742.343750,26158.828125,416.484375,true
Svalbard,SAT-4,25807.265625,26356.640625,549.375000,true
Svalbard,SAT-3,26655.234375,27241.171875,585.937500,true
Fairbanks,SAT-3,27285.468750,27778.593750,493.125000,true
Svalbard,SAT-2,28331.250000,28845.000000,513.750000,true
Troll,SAT-1,28631.953125,28898.906250,266.953125,true
Troll,SAT-4,29220.937500,29585.390625,364.453125,true
Cordoba,SAT-4,30018.750000,30195.937500,177.187500,false
Troll,SAT-3,30114.609375,30696.093750,581.484375,true
Svalbard,SAT-1,31264.687500,31748.203125,483.515625,true
Troll,SAT-2,31718.203125,31848.984375,130.781250,false
Fairbanks,SAT-1,31769.765625,32242.031250,472.265625,true
Svalbard,SAT-4,31829.765625,32332.734375,502.968750,true
Cordoba,SAT-2,32295.234375,32870.156250,574.921875,true
Svalbard,SAT-3,32606.953125,33183.515625,576.562500,true
Singapore,SAT-4,33522.890625,33730.078125,207.187500,true
Svalbard,SAT-2,34357.031250,34843.359375,486.328125,true
Troll,SAT-1,34587.421875,35029.921875,442.500000,true
Hartebeesthoek,SAT-1,35546.015625,35752.500000,206.484375,true
Cordoba,SAT-4,35772.421875,36332.343750,559.921875,true
Singapore,SAT-2,35780.625000,36357.187500,576.562500,true
Troll,SAT-3,36053.906250,36550.781250,496.875000,true
Svalbard,SAT-1,37111.640625,37662.656250,551.015625,true
Fairbanks,SAT-1,37684.687500,38273.203125,588.515625,true
Svalbard,SAT-4,37852.265625,38338.828125,486.562500,true
Svalbard,SAT-3,38608.359375,39142.500000,534.140625,true
Singapore,SAT-4,39280.546875,39794.531250,513.984375,true
Svalbard,SAT-2,40360.781250,40867.265625,506.484375,true
Troll,SAT-1,40527.890625,41088.750000,560.859375,true
Hartebeesthoek,SAT-1,41311.406250,41850.703125,539.296875,true
Troll,SAT-3,42003.046875,42303.750000,300.703125,true
Cordoba,SAT-3,42669.843750,43123.828125,453.984375,true
Svalbard,SAT-1,43006.406250,43592.343750,585.937500,true
Fairbanks,SAT-1,43636.406250,44130.234375,493.828125,true
Svalbard,SAT-4,43848.281250,44365.546875,517.265625,true
Svalbard,SAT-3,44634.843750,45126.093750,491.250000,true
Fairbanks,SAT-2,45892.500000,46301.250000,408.750000,true
Singapore,SAT-3,46153.125000,46642.734375,489.609375,true
Svalbard,SAT-2,46335.234375,46888.828125,553.593750,true
Troll,SAT-1,46465.546875,47047.500000,581.953125,true
Troll,SAT-4,46765.078125,46912.734375,147.656250,false
Cordoba,SAT-3,48578.671875,49057.500000,478.828125,true
Svalbard,SAT-1,48958.125000,49534.687500,576.562500,true
Troll,SAT-2,49034.296875,49405.078125,370.781250,true
Fairbanks,SAT-4,49314.609375,49791.328125,476.718750,true
Svalbard,SAT-4,49816.406250,50381.015625,564.609375,true
Svalbard,SAT-3,50651.484375,51140.156250,488.671875,true
Fairbanks,SAT-2,51692.812500,52270.546875,577.734375,true
Hartebeesthoek,SAT-4,51726.328125,52024.218750,297.890625,true
Singapore,SAT-3,52158.984375,52455.234375,296.250000,true
Svalbard,SAT-2,52288.125000,52875.000000,586.875000,true
Troll,SAT-1,52404.843750,52902.421875,497.578125,true
Troll,SAT-4,52460.625000,52884.375000,423.750000,true
Hartebeesthoek,SAT-2,54014.296875,54595.312500,581.015625,true
Troll,SAT-2,54816.328125,55350.937500,534.609375,true
Svalbard,SAT-1,54959.531250,55493.437500,533.906250,true
Fairbanks,SAT-4,55161.796875,55746.796875,585.000000,true
