station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Svalbard,SAT-4,135.468750,356.718750,221.250000,true
Troll,SAT-1,695.156250,1078.359375,383.203125,true
Svalbard,SAT-3,1707.890625,1990.781250,282.890625,true
Cordoba,SAT-4,1975.078125,2313.046875,337.968750,true
Troll,SAT-2,2087.578125,2343.046875,255.468750,true
Hartebeesthoek,SAT-2,2822.812500,3153.281250,330.468750,true
Svalbard,SAT-1,3106.406250,3457.734375,351.328125,true
Singapore,SAT-4,4297.968750,4596.796875,298.828125,true
Svalbard,SAT-2,4406.250000,4817.109375,410.859375,true
Fairbanks,SAT-2,4973.437500,5388.984375,415.546875,true
Svalbard,SAT-4,5668.593750,5906.718750,238.125000,true
Troll,SAT-1,6343.593750,6551.484375,207.890625,true
Svalbard,SAT-3,7228.828125,7591.875000,363.046875,true
Troll,SAT-2,7674.843750,8076.093750,401.250000,true
Fairbanks,SAT-3,7760.859375,8121.796875,360.937500,true
Svalbard,SAT-1,8824.687500,9090.000000,265.312500,true
Svalbard,SAT-2,10014.375000,10431.562500,417.187500,true
Troll,SAT-3,10470.000000,10738.359375,268.359375,true
Fairbanks,SAT-2,10646.015625,10856.718750,210.703125,true
Svalbard,SAT-4,11180.156250,11494.921875,314.765625,true
Hartebeesthoek,SAT-3,11194.453125,11551.171875,356.718750,true
Fairbanks,SAT-4,11759.062500,11839.218750,80.156250,false
Cordoba,SAT-1,12533.671875,12940.078125,406.406250,true
Svalbard,SAT-3,12788.437500,13201.640625,413.203125,true
Troll,SAT-2,13287.656250,13695.000000,407.343750,true
Fairbanks,SAT-3,13358.437500,13770.468750,412.031250,true
Svalbard,SAT-1,14542.734375,14752.968750,210.234375,true
Svalbard,SAT-2,15677.343750,16050.468750,373.125000,true
Singapore,SAT-1,15833.203125,16240.781250,407.578125,true
Troll,SAT-3,16059.140625,16463.906250,404.765625,true
Svalbard,SAT-4,16712.812500,17099.531250,386.718750,true
Fairbanks,SAT-4,17257.265625,17664.140625,406.875000,true
Svalbard,SAT-3,18400.546875,18815.859375,415.312500,true
Troll,SAT-2,18921.328125,19208.203125,286.875000,true
Fairbanks,SAT-3,19040.625000,19221.328125,180.703125,true
Troll,SAT-4,19966.640625,20301.562500,334.921875,true
Svalbard,SAT-1,20213.437500,20465.859375,252.421875,true
Hartebeesthoek,SAT-4,20675.859375,21080.156250,404.296875,true
Svalbard,SAT-2,21386.484375,21677.343750,290.859375,true
Troll,SAT-3,21672.421875,22076.484375,404.062500,true
Svalbard,SAT-4,22290.703125,22710.703125,420.000000,true
Fairbanks,SAT-4,22876.406250,23250.000000,373.593750,true
Svalbard,SAT-3,24067.500000,24434.765625,367.265625,true
Cordoba,SAT-2,25165.078125,25501.640625,336.562500,true
