evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
128,0.895186043,0.215,9.863236863440232,5.4968084942174595,0.234375
256,1.80467322,0.3925,18.696893335255336,5.052005354420899,0.13671875
384,2.704146446,0.49,23.877509940774,4.874582132175486,0.10677083333333333
512,3.6009701720000002,0.575,28.436481990143413,4.6179507766896055,0.083984375
640,4.50405257,0.655,32.88001513218566,4.6179507766896055,0.06875
768,5.400246178,0.7175,36.35678020079561,4.6179507766896055,0.059895833333333336
896,6.302435507,0.7625,39.42617375618305,4.309955969136012,0.05357142857142857
1024,7.198118726,0.8025,42.27278989593265,4.309955969136012,0.046875
1152,8.209635167,0.8175,43.629922198050004,4.309955969136012,0.041666666666666664
1280,9.118126491,0.8425,45.25148315326555,4.309955969136012,0.03828125
1408,10.014578123,0.865,46.818756785408006,4.214573921907085,0.03480113636363636
1536,10.921121958,0.895,48.53879140830096,4.214573921907085,0.033203125
1664,11.824153703,0.92,49.90324996784245,4.214573921907085,0.03064903846153846
1792,12.73053019,0.925,50.5067628797629,4.214573921907085,0.028459821428571428
1920,13.637423648,0.935,51.48163264439783,4.214573921907085,0.028125
2048,14.543324427,0.945,52.133812916984695,4.214573921907085,0.02685546875
2176,15.46360689,0.955,52.85057284224012,4.214573921907085,0.025275735294117647
2304,16.381412253,0.965,53.604889619104554,4.214573921907085,0.024305555555555556
2432,17.295707787,0.97,54.248580453454444,4.116409871742537,0.023026315789473683
2560,18.20607029,0.97,54.590262640927214,4.116409871742537,0.021875
2688,19.116488534,0.975,55.034184372513344,4.116409871742537,0.020833333333333332
2816,20.026335519,0.975,55.325449044702836,4.022362193374271,0.020241477272727272
2944,20.935282294,0.9775,55.630183047060676,4.022362193374271,0.01936141304347826
3072,21.845945221,0.9775,55.77015115695775,4.022362193374271,0.018880208333333332
3200,22.752484347,0.9775,55.93142960065866,4.022362193374271,0.018125
3328,23.668967717,0.98,56.235795387126345,4.022362193374271,0.017427884615384616
3456,24.595776171,0.98,56.3769650276249,4.022362193374271,0.01707175925925926
3584,25.50430644,0.9825,56.6474679724198,4.022362193374271,0.016741071428571428
3712,26.41212053,0.9875,56.895533315825226,4.022362193374271,0.016163793103448277
3840,27.31580833,0.9875,57.06662206156622,3.700971281028383,0.015625
3968,28.237908506,0.99,57.32486527638297,3.700971281028383,0.015120967741935484
4096,29.140621077,0.9925,57.55834331415569,3.700971281028383,0.0146484375
