station,satellite,open_seconds,close_seconds,duration_seconds,accepted
Troll,SAT-4,489.843750,879.140625,389.296875,true
Troll,SAT-1,510.468750,940.312500,429.843750,true
Fairbanks,SAT-2,705.937500,1006.875000,300.937500,true
Fairbanks,SAT-3,785.156250,1218.281250,433.125000,true
Svalbard,SAT-3,1455.703125,1616.953125,161.250000,false
Troll,SAT-2,3343.359375,3749.062500,405.703125,true
Fairbanks,SAT-4,3540.234375,3971.953125,431.718750,true
Troll,SAT-3,3710.390625,4077.421875,367.031250,true
Cordoba,SAT-1,5456.953125,5850.937500,393.984375,true
Svalbard,SAT-2,5755.312500,6061.875000,306.562500,true
Troll,SAT-4,6207.187500,6634.453125,427.265625,true
Troll,SAT-1,6266.015625,6655.546875,389.531250,true
Fairbanks,SAT-3,6567.656250,6902.812500,335.156250,true
Singapore,SAT-1,7764.609375,8183.203125,418.593750,true
Troll,SAT-2,9092.343750,9301.406250,209.062500,true
Fairbanks,SAT-4,9255.234375,9633.281250,378.046875,true
Troll,SAT-3,9351.796875,9789.140625,437.343750,true
Fairbanks,SAT-1,9426.562500,9631.640625,205.078125,true
Svalbard,SAT-2,11363.906250,11767.031250,403.125000,true
Troll,SAT-4,11912.578125,12338.437500,425.859375,true
Troll,SAT-1,12023.906250,12400.078125,376.171875,true
Fairbanks,SAT-3,12489.609375,12540.234375,50.625000,false
Hartebeesthoek,SAT-4,12704.765625,13058.437500,353.671875,true
Svalbard,SAT-4,14372.812500,14628.750000,255.937500,true
Troll,SAT-3,15076.875000,15494.531250,417.656250,true
Fairbanks,SAT-1,15095.390625,15490.546875,395.156250,true
Svalbard,SAT-2,17031.796875,17465.625000,433.828125,true
Troll,SAT-4,17636.718750,17942.343750,305.625000,true
Troll,SAT-1,17752.265625,18162.421875,410.156250,true
Svalbard,SAT-4,19956.328125,20340.937500,384.609375,true
Cordoba,SAT-3,19982.812500,20414.062500,431.250000,true
Fairbanks,SAT-1,20790.703125,21219.843750,429.140625,true
Troll,SAT-3,20838.984375,21217.968750,378.984375,true
Cordoba,SAT-2,20846.953125,21238.593750,391.640625,true
Singapore,SAT-3,22344.140625,22693.593750,349.453125,true
Svalbard,SAT-2,22732.265625,23169.843750,437.578125,true
Troll,SAT-1,23459.296875,23895.000000,435.703125,true
Fairbanks,SAT-3,23964.375000,24248.906250,284.531250,true
Singapore,SAT-2,24214.453125,24515.859375,301.406250,true
Hartebeesthoek,SAT-1,24231.093750,24649.687500,418.593750,true
Svalbard,SAT-4,25609.921875,26039.062500,429.140625,true
