evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
32,0.282092941,0.18,1.987245922916698,6.893843128644123,0.28125
64,0.568433053,0.34,3.9350858286818657,6.064294951052184,0.171875
96,0.848476483,0.48,5.5404171459542475,6.064294951052184,0.13541666666666666
128,1.11114504,0.57,6.62247152715111,6.064294951052184,0.1015625
160,1.364243515,0.65,7.545549601995315,6.064294951052184,0.08125
192,1.623108601,0.71,8.408059898703941,5.3538439684194135,0.07291666666666667
224,1.8866035289999998,0.75,9.066905178591908,5.3538439684194135,0.0625
256,2.152215826,0.77,9.490090350625666,4.542203657936159,0.05859375
288,2.416867694,0.8,9.958564031778174,4.542203657936159,0.05555555555555555
320,2.686398283,0.83,10.318348909391146,4.542203657936159,0.0625
352,2.950930851,0.85,10.715871446533843,4.542203657936159,0.05965909090909091
384,3.22170986,0.87,11.025633060540711,4.542203657936159,0.0546875
416,3.499472551,0.88,11.269515941608464,4.542203657936159,0.055288461538461536
448,3.76742546,0.91,11.696220027763061,4.542203657936159,0.05133928571428571
480,4.026135847,0.94,12.193061600758856,4.542203657936159,0.05
512,4.288824675,0.94,12.316566769407352,4.542203657936159,0.046875
