evaluations,elapsed_seconds,coverage,qd_score,best_quality
128,0.20675288,0.1125,28.386196600819535,1.5136418102236497
256,0.4090374,0.195,49.567771832499396,1.4449999957808959
384,0.616966199,0.24,61.59194871298029,1.428750505757001
512,0.817197083,0.28,72.22100857137872,1.4003950176928113
640,1.017942011,0.315,81.53852059096677,1.3993016885826066
768,1.228419964,0.3325,86.65197714706919,1.3543538383596052
896,1.435568934,0.3575,93.42742304275066,1.3543538383596052
1024,1.645816882,0.385,101.03247851369485,1.330030425158509
1152,1.856760033,0.41,107.90301560496175,1.3174969118047395
1280,2.069491284,0.4375,115.27057755087483,1.3096244223130853
1408,2.280666412,0.45,118.92820082927472,1.3096244223130853
1536,2.492377867,0.4725,125.17815580137253,1.2715460081734429
1664,2.699913948,0.49,129.97705932001224,1.2715460081734429
1792,2.905303842,0.505,134.10589129232022,1.2715460081734429
1920,3.120328762,0.525,139.46610452404533,1.2715460081734429
2048,3.33552975,0.54,143.76203324044354,1.2715460081734429
2176,3.540637201,0.545,145.57116983786068,1.2715460081734429
2304,3.75603287,0.5475,146.52822226408352,1.2715460081734429
2432,3.965218916,0.5525,148.1417744246049,1.2657298182330192
2560,4.178616647,0.565,151.49492081859432,1.2657298182330192
2688,4.396679388,0.58,155.6147748866166,1.2468546381129788
2816,4.618049397,0.595,159.63593124661202,1.2468546381129788
2944,4.825398096,0.605,162.51036603398484,1.2468546381129788
3072,5.033015612,0.6075,163.77111094333011,1.2468546381129788
3200,5.242731146,0.6125,165.32742649326272,1.2468546381129788
3328,5.452815299,0.6175,166.84720231395104,1.2468546381129788
3456,5.6635035049999995,0.625,168.92490705926602,1.2468546381129788
3584,5.873024815,0.635,171.68538751671673,1.2468546381129788
3712,6.078143011,0.6475,175.10417649587163,1.2387849510141713
3840,6.296308637,0.6575,177.72644217309488,1.2387849510141713
3968,6.517670623,0.6625,179.1712457499035,1.2387849510141713
4096,6.72577693,0.6675,180.7041675169242,1.2387849510141713
4224,6.937522379,0.68,184.28874886293275,1.2387849510141713
4352,7.146338839,0.685,185.76013596878667,1.2387849510141713
4480,7.361185265,0.69,187.35095046076165,1.2387849510141713
4608,7.572216595,0.6925,188.18702808020174,1.2387849510141713
4736,7.784821657,0.695,189.2519123076616,1.2387849510141713
4864,7.999465618,0.6975,190.06651547208145,1.2387849510141713
4992,8.20937358,0.7025,191.83331988916163,1.2387849510141713
5120,8.414204998,0.7025,192.05288071133495,1.2276545341451328
5248,8.625797155,0.7025,192.35502334973543,1.2276545341451328
5376,8.832951699,0.7075,193.82663073696293,1.2276545341451328
5504,9.042516488,0.71,194.7687320675512,1.2276545341451328
5632,9.260341798,0.7125,195.72062016679783,1.2276545341451328
5760,9.465131301,0.715,196.57343468656478,1.2276545341451328
5888,9.681959615,0.7175,197.45972944272248,1.2276545341451328
6016,9.888887645,0.7175,197.91348764145042,1.2276545341451328
6144,10.096757455,0.7175,198.15775535115617,1.2276545341451328
6272,10.300651398,0.7175,198.48399113504368,1.2177726980977335
6400,10.515289309,0.7225,200.0468628944896,1.2177726980977335
6528,10.734342222,0.7225,200.25481414834496,1.2177726980977335
6656,10.943588681,0.7225,200.400495432944,1.2177726980977335
6784,11.157622838,0.7225,200.62267703899667,1.2177726980977335
6912,11.370766216,0.725,201.38753969957833,1.2177726980977335
7040,11.579927289,0.725,201.65793386010571,1.2177726980977335
7168,11.789622716,0.725,201.83972613959165,1.2177726980977335
7296,12.005461227,0.725,202.08158152043657,1.2177726980977335
7424,12.229380672,0.725,202.26807680218354,1.2177726980977335
7552,12.445047608,0.73,203.67631602449202,1.2177726980977335
7680,12.654162264,0.73,203.7289835446216,1.2177726980977335
7808,12.860727828,0.73,203.94266709405022,1.2177726980977335
7936,13.072422867,0.73,204.0812818273584,1.2177726980977335
8064,13.281651952,0.7325,204.8015936529975,1.2177726980977335
8192,13.48999299,0.7325,205.03432644932957,1.2177726980977335
8320,13.696947383,0.7325,205.1177612454545,1.2177726980977335
8448,13.906779585,0.735,205.8731382913501,1.2177726980977335
8576,14.108583053,0.735,206.0118060909951,1.2177726980977335
8704,14.324206904,0.735,206.1981585125814,1.2177726980977335
8832,14.538119885,0.7375,206.98582920989833,1.2177726980977335
8960,14.743397459,0.7375,207.1203012840401,1.2177726980977335
9088,14.949702433,0.7375,207.3080362195332,1.2177726980977335
9216,15.15654511,0.74,208.11693382498507,1.2177726980977335
9344,15.371099606,0.74,208.29577959468054,1.2177726980977335
9472,15.579804036,0.74,208.49912502531947,1.2177726980977335
9600,15.787589557,0.74,208.71219182605333,1.2177726980977335
9728,15.996187599,0.7425,209.55577389365544,1.2177726980977335
9856,16.202996509,0.7425,209.69963109966298,1.2177726980977335
9984,16.409717803,0.7425,209.85584515803166,1.2177726980977335
10112,16.625245504,0.7425,209.95851855395244,1.20682970363245
10240,16.830315697,0.7425,210.0603195064878,1.20682970363245
10368,17.034218322,0.7425,210.22243254295978,1.20682970363245
10496,17.236492154,0.7425,210.29533723139738,1.20682970363245
10624,17.443401659,0.7425,210.3898134534154,1.20682970363245
10752,17.655926445,0.7425,210.450962340306,1.20682970363245
10880,17.858299659,0.7425,210.5117322732233,1.20682970363245
11008,18.06198505,0.7425,210.5829469300245,1.20682970363245
11136,18.270618448,0.7425,210.75709576523727,1.20682970363245
11264,18.472516359,0.7425,210.90359027625485,1.20682970363245
11392,18.67832322,0.7425,211.0717288121382,1.20682970363245
11520,18.881805896,0.7425,211.17747625391505,1.20682970363245
11648,19.085282122,0.7425,211.3008269435807,1.20682970363245
11776,19.2885314,0.7425,211.39258379175004,1.20682970363245
11904,19.500073293,0.745,212.24761878379917,1.2048458471263683
12032,19.707341261,0.745,212.41314440154395,1.2048458471263683
12160,19.917924075,0.745,212.4923738200475,1.2048458471263683
12288,20.12177805,0.745,212.60338627375776,1.2048458471263683
12416,20.328154438,0.7475,213.27641020741095,1.2048458471263683
12544,20.529027518,0.7475,213.31256396979097,1.2048458471263683
12672,20.732336071,0.7475,213.3535503720129,1.2048458471263683
12800,20.936605945,0.7475,213.41551571638078,1.2048458471263683
12928,21.141152925,0.7475,213.5045192677707,1.2048458471263683
13056,21.349592756,0.7475,213.60281223729362,1.2048458471263683
13184,21.559083027,0.7475,213.67240744454148,1.2048458471263683
13312,21.765156065,0.7475,213.7230617205415,1.2048458471263683
13440,21.978028341,0.7475,213.81808407912152,1.2048458471263683
13568,22.176246171,0.7475,213.88410702300345,1.2048458471263683
13696,22.381973664,0.7475,213.99696351884316,1.2048458471263683
13824,22.584489072,0.75,214.6776373845224,1.2048458471263683
13952,22.787293507,0.75,214.74419960728838,1.2048458471263683
14080,22.988750716,0.75,214.79594645589958,1.2048458471263683
14208,23.187580613,0.75,214.84230199673684,1.2048458471263683
14336,23.392775585,0.75,214.87205887905407,1.2048458471263683
14464,23.606388729,0.75,214.92088813388884,1.2048458471263683
14592,23.821410139,0.75,214.96601011349844,1.2048458471263683
14720,24.030819038,0.7525,215.62049260699118,1.2048458471263683
14848,24.237394407,0.7525,215.65786795765177,1.2048458471263683
14976,24.448158493,0.755,216.36100607476604,1.2048458471263683
15104,24.656555406,0.755,216.40403119400384,1.2048458471263683
15232,24.864221816,0.7575,217.08461986614319,1.2048458471263683
15360,25.072251353,0.7575,217.1226252610491,1.2048458471263683
15488,25.278980313,0.7575,217.17651281366145,1.2048458471263683
15616,25.491671823,0.7575,217.2134612165103,1.2048458471263683
15744,25.705027677,0.7575,217.22794599225992,1.2048458471263683
15872,25.917431321,0.7575,217.26744885162816,1.2048458471263683
16000,26.122572071,0.7575,217.30470576345186,1.2048458471263683
16128,26.331663849999998,0.7575,217.31672454603444,1.2048458471263683
16256,26.539772751,0.7575,217.38784363415147,1.2048458471263683
16384,26.756319005,0.76,218.05534878905817,1.2048458471263683
16512,26.96697647,0.76,218.07211932408023,1.2048458471263683
16640,27.170309532,0.76,218.112482700343,1.2048458471263683
16768,27.38463911,0.76,218.18042298302595,1.2048458471263683
16896,27.596041681,0.76,218.1924274557,1.2048458471263683
17024,27.80380581,0.7625,218.8030429839257,1.2048458471263683
17152,28.011545879,0.7625,218.84243299877986,1.2048458471263683
17280,28.214027463,0.7625,218.87579257726958,1.2048458471263683
17408,28.422425296,0.7625,218.91890907366053,1.2048458471263683
17536,28.631266047,0.7625,218.96079267275047,1.2048458471263683
17664,28.833047571,0.7625,219.02560243063817,1.2048458471263683
17792,29.055906596,0.7625,219.06630027989254,1.2048458471263683
17920,29.270562786,0.7625,219.12541543539174,1.2048458471263683
18048,29.47445737,0.765,219.87043994912239,1.2048458471263683
18176,29.67788132,0.765,219.9020908760419,1.2048458471263683
18304,29.886506186,0.765,219.91004507886032,1.2048458471263683
18432,30.096673046,0.765,219.97660168551022,1.2048458471263683
18560,30.294311397,0.765,220.01089197034418,1.2048458471263683
18688,30.5034462,0.765,220.04578377600097,1.2048458471263683
18816,30.70429762,0.765,220.0844701833852,1.2048458471263683
18944,30.906285159,0.765,220.08622135273023,1.2048458471263683
19072,31.111158787,0.765,220.13002420670847,1.2048458471263683
19200,31.328320097,0.765,220.1410459169916,1.2048458471263683
19328,31.537130337,0.765,220.2719300464459,1.2048458471263683
19456,31.748320103,0.765,220.2934619163784,1.2048458471263683
19584,31.953424352,0.765,220.3282625459625,1.2048458471263683
19712,32.160414741,0.765,220.40199390913617,1.2048458471263683
19840,32.371134063,0.765,220.4385048745751,1.2048458471263683
19968,32.574832799,0.765,220.46520146793367,1.2048458471263683
20096,32.778260928,0.765,220.5103589110696,1.2048458471263683
