i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
0,0,0.062500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,0,0.187500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
2,0,0.312500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
3,0,0.437500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
4,0,0.562500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
5,0,0.687500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
6,0,0.812500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
7,0,0.937500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
8,0,1.062500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
9,0,1.187500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
10,0,1.312500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
11,0,1.437500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
12,0,1.562500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
13,0,1.687500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
14,0,1.812500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
15,0,1.937500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
16,0,2.062500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
17,0,2.187500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
18,0,2.312500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
19,0,2.437500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
20,0,2.562500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
21,0,2.687500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
22,0,2.812500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
23,0,2.937500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
24,0,3.062500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
25,0,3.187500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
26,0,3.312500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
27,0,3.437500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
28,0,3.562500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
29,0,3.687500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
30,0,3.812500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
31,0,3.937500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
32,0,4.062500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
33,0,4.187500000,0.062500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
