design,source_set,nx,ny,flow_steps,scalar_steps,quality,exposure,maximum_receptor,fan_power,final_mass_fraction,clearance_time,flow_rate_m2_s,low_velocity_fraction,mass_imbalance,flow_residual,feasible
baseline,training,30,18,450,450,1.5942364128457345,0.8870549341688119,0.42833455885603794,0.06603260869565218,0.9596153550195464,1,0.54,0.21912350597609562,0.0021065901523642716,0.00020057347373225693,1
baseline,held_out,30,18,450,450,1.7236748471836172,0.8947238455544175,0.6976983684075304,0.06603260869565218,0.9337905913726084,1,0.54,0.21912350597609562,0.0021065901523642716,0.00020057347373225693,1
mode,training,30,18,450,450,1.51735646675734,0.6648057869468581,0.4073927080983202,0.9214229629834112,0.27710793210065254,1,1.9323186062609041,0.08695652173913043,0.05326015767114314,0.0003770640827172947,0
mode,held_out,30,18,450,450,1.76936373708377,0.6322426187792113,0.7000511157512788,0.9214229629834112,0.5535904014358474,1,1.9323186062609041,0.08695652173913043,0.05326015767114314,0.0003770640827172947,0
map_elites,training,30,18,450,450,1.1913216529395596,0.6516110187043749,0.4061325478203068,0.9904891304347828,0.27709306847614934,1,2.0250000000000004,0.03937007874015748,0.0019029149009164744,0.00040309276119283166,1
map_elites,held_out,30,18,450,450,1.4512409406044364,0.6248843207511955,0.6997090503206886,0.9904891304347828,0.5568085372118801,1,2.0250000000000004,0.03937007874015748,0.0019029149009164744,0.00040309276119283166,1
baseline,training,40,24,800,600,1.5987117135294302,0.8352194653882713,0.5208258478939187,0.06603260869565218,0.9797456049101382,1,0.54,0.13488372093023257,0.016576601951377508,0.0003863989263416873,1
baseline,held_out,40,24,800,600,1.7915332366488645,0.8681166948958562,0.8551709306361315,0.06603260869565218,0.9652491093916241,1,0.54,0.13488372093023257,0.016576601951377508,0.0003863989263416873,1
mode,training,40,24,800,600,1.1206684693932976,0.5665514954960478,0.5056817166628913,0.9214229629834112,0.23398304593824362,1,1.9323186062609041,0.0576036866359447,0.010783283740746167,0.0002951909443219515,1
mode,held_out,40,24,800,600,1.4914596382331562,0.6128098577910476,0.8563640266098165,0.9214229629834112,0.5323663490810362,1,1.9323186062609041,0.0576036866359447,0.010783283740746167,0.0002951909443219515,1
map_elites,training,40,24,800,600,1.1431243917081717,0.5704050408477067,0.5075703048842579,0.9904891304347828,0.24167274466275895,1,2.0250000000000004,0.027586206896551724,0.019637614814366284,0.00041444755052378246,1
map_elites,held_out,40,24,800,600,1.4905278425210837,0.6151228055913038,0.8557111192452028,0.9904891304347828,0.4989033024404436,1,2.0250000000000004,0.027586206896551724,0.019637614814366284,0.00041444755052378246,1
baseline,training,60,36,1800,900,1.6327441431237482,0.8385547740354186,0.5658720351107168,0.06603260869565218,0.9960936595876813,1,0.54,0.144076840981857,0.009830432303187297,0.00035310472832456133,1
baseline,held_out,60,36,1800,900,1.8313363907322682,0.8938028073202969,0.8599384797763718,0.06603260869565218,0.9887156435693096,1,0.54,0.144076840981857,0.009830432303187297,0.00035310472832456133,1
mode,training,60,36,1800,900,1.2086666678628826,0.6012405377055078,0.5528205185581685,0.9214229629834112,0.2934625565632167,1,1.9323186062609041,0.03514376996805112,0.019025515091655915,0.00040891593714274766,1
mode,held_out,60,36,1800,900,1.5533294622158926,0.5916955011179851,0.8607760395954356,0.9214229629834112,0.693922697407015,1,1.9323186062609041,0.03514376996805112,0.019025515091655915,0.00040891593714274766,1
map_elites,training,60,36,1800,900,1.173979581573123,0.550446446211701,0.5537273906940139,0.9904891304347828,0.2971432278549171,1,2.0250000000000004,0.021208907741251327,0.013796099999376251,0.000355151766127139,1
map_elites,held_out,60,36,1800,900,1.5100221698725962,0.6132354336612207,0.8609944439559302,0.9904891304347828,0.5363833762929078,1,2.0250000000000004,0.021208907741251327,0.013796099999376251,0.000355151766127139,1
