evaluations,elapsed_seconds,best_quality
64,0.000586615,-1.465983200732766
128,0.001126289,-1.4611522672209591
192,0.001651303,-1.3310737268955355
256,0.002172177,-1.3310737268955355
320,0.002701901,-1.3131741709547364
384,0.003216514,-1.3131741709547364
448,0.003737598,-1.2607015435004796
512,0.004235972,-1.236636578759147
576,0.004746846,-1.1776485208841516
640,0.005326191,-1.1237171171543614
704,0.005875795,-1.0807703978187984
768,0.006422489,-1.060060177700621
832,0.007037244,-1.060060177700621
896,0.007752039,-1.0196154111044533
960,0.008427364,-1.0031090392134285
1024,0.00911402,-0.9750308218741832
