evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
64,0.000661965,0.44,23.53696889255022,1.372410170192019,0
128,0.00131352,0.59,32.241308354010435,1.372410170192019,0
192,0.001973365,0.7,38.44516230231716,1.270174820897783,0
256,0.00265392,0.78,43.19660958665394,1.1567202941864436,0
320,0.003302485,0.81,45.77742631504954,1.1567202941864436,0
384,0.00397808,0.85,48.71977682187284,1.1567202941864436,0
448,0.004653865,0.89,51.514023052678226,1.1567202941864436,0
512,0.00529964,0.93,54.063659640205174,1.1567202941864436,0
576,0.005877434,0.94,55.223556803844914,1.1567202941864436,0
640,0.006424949,0.96,57.382962091941025,1.0338888483229687,0
704,0.006984703,0.97,58.31354959583399,1.0338888483229687,0
768,0.007528537,0.97,58.92045776492232,0.9639010529899941,0
832,0.008182322,0.97,59.4691951770687,0.9639010529899941,0
896,0.008799137,0.98,60.71145539283483,0.9306665735188415,0
960,0.009463252,0.99,61.337254729766194,0.9306665735188415,0
1024,0.010103897,0.99,62.26024893970284,0.905532300787592,0
