coordinate,convex_total_cost,tiered_total_cost,ratio_lcoe,delivered_lcoe,delivered_grid_tier,delivered_inclusions
0,29361546.317358576,29362124.859739006,4.626398728633482,6.7298175329694,0,0
0.01,25982007.52720259,3827540.391874327,3.884351312244892,6.514922293081925,0,0
0.02,22682732.034574952,3362867.4303897815,3.2297350624825465,6.320109185631432,0,0
0.03,19459712.37228241,2919333.912701694,2.6477295602563555,6.142725489644996,0,0
0.04,16362248.042702623,2575179.266484511,2.1351663133576935,5.975012863771328,0,0
0.05,13579003.431614185,2315688.4745984697,1.7091561750107733,5.821127102632495,0,0
0.06,11050788.90259161,2097424.9904349768,1.3475815180372,5.684064715228966,0,0
0.07,8731207.26732178,1933885.8548400202,1.0351540382320803,5.5554264308443635,0,0
0.08,6602622.821547587,1806799.8476736182,0.7633644338798286,5.43085974992961,0,0
0.09,4930382.2916414365,1685107.432791256,0.5591628627928648,5.312891509207789,0,0
0.1,3481277.6853766954,1592760.690012739,0.3884182949465028,5.206915213166664,0,0
0.11,2351528.9676960534,1512173.7162659126,0.25911421220436026,5.1054995914431585,0,0
0.12,1896554.7543525056,1432516.0740741203,0.2079846988901268,5.01295341443716,0,0
0.13,1533931.219137141,1353262.0714875949,0.16759012102626747,4.9243314835875935,0,0
0.14,1274425.771617847,1274458.831182443,0.138877586889009,4.841501797325558,0,0
0.15,1043650.5943337037,1009153.2200769562,0.11347139582859195,4.761642598172579,0,0
0.16,1017741.5224088762,991068.4398066327,0.1106544199442343,4.6838128197717595,0,0
0.17,994179.3984084218,973118.8520714804,0.10809261706352513,0.8889933798334325,1,0
0.18,971418.3931007816,955321.3720318537,0.10561791618495302,0.881738715202935,1,0
0.19,949811.3775340674,937950.248923251,0.10326868337719472,0.8754224648414242,1,0
0.2,929878.6906275916,920806.1171758048,0.10110149273104165,0.86989709957105,1,0
0.21,910956.5863376092,904339.6522180745,0.09904417814946057,0.8647858113200826,1,0
0.22,892537.2578586122,888001.972359864,0.09704152810155686,0.8598829324413777,1,0
0.23,874734.508937492,871950.4149424031,0.09510591595259318,0.8555754436025917,1,0
0.24,857983.3853986387,856258.8782732869,0.09328464226198184,0.8514625004268419,1,0
0.25,842254.7097217857,841326.0988246195,0.09157453469027374,0.847371195414385,1,0
0.26,828132.9208057399,827478.8798930396,0.09003913662831653,0.8434308660660076,1,0
0.27,814704.7179140305,814259.3095755235,0.08857914902914826,0.8398608552422194,1,0
0.28,801446.901835427,801210.1260711127,0.08713768681540965,0.8363188596178162,1,0
0.29,788933.3901115167,788903.6224990927,0.0857771494384956,0.8328146196725754,1,0
0.3,776973.1247015626,776973.1247015626,0.08447676402414689,0.8296734938222253,1,0
0.31,765530.4510430868,769931.1306666315,0.08323265401349025,0.826848452906138,1,0
0.32,754650.8274516498,759022.5724048174,0.08204976188300842,0.8241440016958819,1,0
0.33,744179.197116606,748377.7618203007,0.0809112290089127,0.8216432850405774,1,0
0.34,734088.8030145384,738089.0103306564,0.07981414622139875,0.11939522985415063,2,0
0.35,724226.015772574,728027.8657011164,0.07874181009551304,0.11872258082824388,2,0
0.36,714510.9927331557,718114.4852741219,0.07768553970121167,0.11805222562332615,2,0
0.37,705049.6213604419,708454.756513831,0.07665684770223866,0.11738424907502819,2,0
0.38,695760.0462545569,698966.8240203699,0.07564683433220623,0.11673457816747577,2,0
0.39,686823.1638471123,689831.5842253484,0.0746751676396997,0.11610519292900803,2,0
0.4,678930.8400251451,681740.9030158075,0.07381707106478075,0.11548709142268554,2,0
0.41,671823.1382522407,674434.8438553264,0.0730442828867414,0.11489389036526781,2,0
0.42,665000.1012759976,667413.4494915066,0.07230244502099605,0.11430570807764232,2,0
0.43,658347.0189588994,660562.0097868332,0.0715790855545401,0.11371873623107794,2,0
0.44,651844.7138038483,653861.3472442046,0.07087211940509029,0.11314878729544192,2,0
0.45,645699.9756794376,647518.2517322181,0.07020402989719979,0.06349611184604396,2,1
0.46,639676.5147919469,641296.4334571504,0.06954912631324804,0.058501248152933304,2,2
0.47,633911.6575449286,635333.2188225575,0.06892233953027364,0.057794048009498465,2,2
0.48,628544.3976216977,629767.6015117505,0.06833878170108208,0.05713948862036598,2,2
0.49,623375.567166223,624400.413668699,0.06777679820797776,0.05655841551255836,2,2
0.5,618823.0063311916,619649.495446091,0.067281818915722,0.05616993667142863,3,2
0.51,614848.8783204763,615477.0100478001,0.06684973000107403,0.05558138982771715,3,2
0.52,611075.7962259187,611505.570565667,0.06643949989708156,0.05503789634519318,3,2
0.53,607541.9693480007,614963.8415998069,0.06605528292769444,0.05454830567591804,3,2
0.54,604044.9374005101,611268.4522647392,0.06567506650421578,0.054077821627270706,3,2
0.55,600881.9885647793,607907.1460414338,0.0653311734223037,0.05364256395908884,3,2
0.56,597940.1868968382,604766.986985917,0.0650113246689714,0.05327911652440157,3,2
0.57,595059.2711390802,601687.7138405812,0.06469809576451599,0.05299085527344334,3,2
0.58,592229.9496406461,598660.0349545707,0.06439047646988019,0.05274097281714133,3,2
0.59,589446.0833242813,595677.8112506287,0.06408779931103682,0.05251702726508455,3,2
0.6,586833.0974481887,592866.4679869617,0.06380370120746615,0.05231799336191052,3,2
0.61,584397.9744229872,590232.9875741845,0.06353894132500724,0.05218665281998085,3,2
0.62,582186.27328751,587822.9290511304,0.06329847309132745,0.05214217466962766,3,2
0.63,580248.3040729524,585686.6024489973,0.06308776648794638,0.05212124464817201,3,2
0.64,578541.4714241438,583781.4124126135,0.06290219031508004,0.052143729335311265,3,2
0.65,576851.2692452763,581892.8528461698,0.06271842229778585,0.05218514401745204,3,2
