point_id,feasible,selected,objective_annualized_capex,objective_unserved_kwh,objective_co2_kg,objective_curtailed_kwh,constraint_self_sufficiency,constraint_cycles,constraint_lp_status,mean_lcoe,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
0,1,1,266566.81560932455,0,1147281.322509997,405.7610096150685,-0.038163234384547495,-365,-1,0.08622917946263549,2009.61874160695,962.5488596028708,0,0,0,0,1250,2,1,0,0
1,1,0,266566.8156093246,0,1147281.3225099966,405.7610096150685,-0.038163234384547606,-365,-1,0.08622917946263549,2009.61874160695,962.5488596028711,0,0,0,0,1250,2,1,0,0
2,1,1,271094.4224142424,0,1231621.294158176,0,-0.008245588313370966,-365,-1,0.09010987238260906,2309.5749952415777,799.6624890821458,0,0,0,0,1800,3,1,0,0
3,1,0,271445.91444502707,0,1146721.3121459119,0,-0.03837574908240893,-365,-1,0.08671401465405242,2009.61874160695,963.2504744458984,0,0,0,0,1800,3,1,0,0
4,1,0,271445.9144450271,0,1146721.3121459116,0,-0.03837574908240904,-365,-1,0.08671401465405242,2009.61874160695,963.2504744458986,0,0,0,0,1800,3,1,0,0
5,1,0,290899.5028497495,0,1106146.8783251457,0,-0.056609937527486665,-365,-1,0.08471737853218868,2307.7108466216773,963.2544506522489,0,0,0,0,1800,3,1,0,0
6,1,0,292698.1635318576,0,1095016.1586715393,0,-0.060381878814212975,-365,-1,0.08424121530516457,2307.710846621678,978.0208671386895,0,0,0,0,1800,3,1,0,0
7,1,0,299554.65322896803,0,852304.5123890996,0,-0.1214644545011816,-365,-1,0.07688822481801365,1051.1096103297332,1563.691461425098,0,0,0,0,4000,5,1,0,0
8,1,0,310916.2999519609,0,775315.1781969526,0,-0.14877892163064943,-365,-1,0.07208126032327512,1366.9640501541712,1572.5620926675492,0,0,0,0,2600,4,1,0,0
9,1,0,314814.57713503967,0,716886.0868117547,0,-0.15919652848434995,-365,-1,0.07253195449329003,38.513175985820105,2231.4716495219304,0,0,0,0,4000,5,1,0,0
10,1,0,319950.1854960886,0,647296.6851010831,0,-0.18955356179652516,-365,-1,0.06592499893587742,1223.4638937172751,1782.6392153564802,0,0,0,0,1800,3,1,0,0
11,1,0,375987.7693843388,0,390077.01432191685,0,-0.28348451637390415,-365,-1,0.05510522479415295,1223.4638937172756,2242.689468758335,0,0,0,0,1800,3,1,0,0
12,1,0,375987.7693843389,0,390077.0143219166,0,-0.28348451637390426,-365,-1,0.05510522479415295,1223.4638937172758,2242.6894687583354,0,0,0,0,1800,3,1,0,0
