niche_id,quality,descriptor_daily_battery_throughput_per_kwh,descriptor_peak_import_ratio,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
2,0.09694557786266982,0.42693716433812073,0,4279.285397533587,2750.143382698199,14007.49216856606,1345.7610200099957,0,0,2600,4,1,1,0
5,0.07672748536104815,1.05340911508152,0,3923.958249526877,2609.4585089596744,8550.742392259688,1573.772333300954,0,0,1800,3,1,1,0
12,0.0504934168125468,0,0.16763143192539814,1223.4638937172756,2713.8814296873084,0,0,0,0,4000,5,1,0,0
13,0.08661467236102448,0.3618415965579899,0.1423719214293663,4145.479395573853,2486.4752740812214,11264.280304798893,737.1845990782952,0,0,4000,5,1,1,0
15,0.09902747551707239,0.5710715537835409,0.1381489803100327,4727.033311975543,2538.462090208488,14072.351120553742,660.3042799642501,0,0,1800,3,1,1,0
17,0.05430255404937746,1.0585785337748856,0.17422803493085626,3048.506454734343,2558.901523151651,2015.3465934017618,203.38651072619476,0,0,4000,5,1,1,0
24,0.04747031302719668,0,0.2492553173249663,2567.6686015511473,2845.81083227016,0,0,0,0,2600,4,1,0,0
25,0.06265460160317111,0.2797138899356292,0.2691865179147527,3186.9342618470782,2541.4408192050614,3789.8599285947075,80.62453100861114,0,0,2600,4,1,1,0
26,0.11606800581589097,0.5077466914381655,0.24538324593237013,4231.636113191814,2541.4408192050614,18518.851450272516,661.4751816190387,0,0,1250,2,1,1,0
27,0.06492424371118548,0.6374596772933463,0.26899240174842853,3029.4372495624543,2544.4051735004396,5756.965952273255,545.0487064854988,0,0,2600,4,1,1,0
28,0.05127925306193737,0.869841086139736,0.26100812971866744,2621.7352724138054,2666.3332515941834,1046.3407263278798,81.35238750815708,0,0,2600,4,1,1,0
29,0.05134914357425403,0.9527387229353294,0.2346901008379551,3354.6752721268554,2702.1261283289164,1041.2517996662502,79.84458596291263,0,0,2600,4,1,1,0
30,0.05453700359701761,1.2264525116966127,0.25214489889489744,3048.506454734343,2558.904293757146,2015.3465934017618,1130.920042319036,0,0,4000,5,1,1,0
31,0.061019199612812006,1.4033782736716491,0.28441149517960534,4279.285397533587,2308.939695745709,4112.939848404078,1345.8731653521024,0,0,2600,4,1,1,0
36,0.048634875148059864,0,0.3751664046615027,1397.119897399307,2685.8426351741937,0,0,0,0,1800,3,1,0,0
37,0.06877487149441322,0.21444726293073224,0.37481896588171326,3324.499766952782,2689.515845962888,5409.057402393426,79.84458596291263,0,0,1800,3,1,1,0
38,0.06499889776423473,0.4562544666899455,0.34825993244681214,1407.7980415231655,2473.0238443096205,4633.201725565909,193.94240973847903,0,0,2600,4,1,1,0
39,0.05564470651767741,0.673037889446253,0.37398654568873047,3352.8319569808045,2698.3164031011697,1965.506551776264,91.96627023531661,0,0,1800,3,1,1,0
40,0.06737805336737805,0.8232465145569982,0.30010034879386377,4269.554945994971,2069.3547014531264,4798.305056553513,239.36784078580726,0,0,2600,4,1,1,0
41,0.049972065925498625,1.031209906046984,0.36074165025497057,2621.7352724138054,2838.344792654873,1046.3407263278798,81.35238750815708,0,0,1800,3,1,1,0
42,0.05398228877896196,1.2144982079236897,0.39555600951409603,3362.3692990751883,2470.2785678379178,1041.2517996662502,80.03338373412738,0,0,1800,3,1,1,0
