niche_id,grid_x,grid_y,quality_train,quality_holdout,descriptor_daily_battery_throughput_per_kwh_train,descriptor_peak_import_ratio_train,descriptor_daily_battery_throughput_per_kwh_holdout,descriptor_peak_import_ratio_holdout,visit_count,retained_niche,constraint_self_sufficiency,constraint_unserved,constraint_cycles,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
2,2,0,0.09694557786266982,0.08976744887596332,0.42693716433812073,0,0.5154775316536393,0,4,1,-0.4397284725284305,-0.0001,-273.82869766499243,4279.285397533587,2750.143382698199,14007.49216856606,1345.7610200099957,0,0,2600,4,1,1,0
5,5,0,0.07672748536104815,0.07089331170036485,1.05340911508152,0,1.2352713206446515,0,2,0,-0.4337912769552289,-0.0001,-154.87526904030105,3923.958249526877,2609.4585089596744,8550.742392259688,1573.772333300954,0,0,1800,3,1,1,0
12,0,1,0.0504934168125468,0.05708184360795463,0,0.16763143192539814,0,0.16763143192539814,2,1,-0.34686279895973715,-0.0001,-365,1223.4638937172756,2713.8814296873084,0,0,0,0,4000,5,1,0,0
13,1,1,0.08661467236102448,0.08067696978699833,0.3618415965579899,0.1423719214293663,0.43421910220303167,0.17281559206974756,3,0,-0.43374562940046746,-0.0001,-272.60893126222913,4145.479395573853,2486.4752740812214,11264.280304798893,737.1845990782952,0,0,4000,5,1,1,0
15,3,1,0.09902747551707239,0.09418276642950042,0.5710715537835409,0.1381489803100327,0.609757290620986,0.378439391757442,1,0,-0.4366481118064053,-0.0001,-252.59370071541346,4727.033311975543,2538.462090208488,14072.351120553742,660.3042799642501,0,0,1800,3,1,1,0
17,5,1,0.05430255404937746,0.05414739004033102,1.0585785337748856,0.17422803493085626,1.1118165767936483,0.1742280349308563,2,0,-0.3916665005541031,-0.0001,-114.08006617946916,3048.506454734343,2558.901523151651,2015.3465934017618,203.38651072619476,0,0,4000,5,1,1,0
24,0,2,0.04747031302719668,0.04842292120489618,0,0.2492553173249663,0,0.2492553173249663,4,1,-0.3720999820757558,-0.0001,-365,2567.6686015511473,2845.81083227016,0,0,0,0,2600,4,1,0,0
25,1,2,0.06265460160317111,0.06209280567848233,0.2797138899356292,0.2691865179147527,0.28603580306460297,0.26918651791475273,1,1,-0.36613694708485367,-0.0001,-300.6764833664106,3186.9342618470782,2541.4408192050614,3789.8599285947075,80.62453100861114,0,0,2600,4,1,1,0
26,2,2,0.11606800581589097,0.11367693204846636,0.5077466914381655,0.24538324593237013,0.5407956596669592,0.5599079572626842,1,0,-0.4350540812830841,-0.0001,-271.1750488645809,4231.636113191814,2541.4408192050614,18518.851450272516,661.4751816190387,0,0,1250,2,1,1,0
27,3,2,0.06492424371118548,0.06289709906493963,0.6374596772933463,0.26899240174842853,0.7753417492541744,0.2615536711904154,1,0,-0.4191757855634721,-0.0001,-201.9376493372862,3029.4372495624543,2544.4051735004396,5756.965952273255,545.0487064854988,0,0,2600,4,1,1,0
28,4,2,0.05127925306193737,0.05238056128694884,0.869841086139736,0.26100812971866744,0.8780712545241829,0.2610081297186675,3,1,-0.37508877292670717,-0.0001,-161.8447002824791,2621.7352724138054,2666.3332515941834,1046.3407263278798,81.35238750815708,0,0,2600,4,1,1,0
