step,hour,load_kw,renewable_kw,import_kw,export_kw,charge_kw,discharge_kw,soc_kwh,curtail_kw,unserved_kw,import_price
0,0,970.1250100364523,1693.585312662685,0,723.4603026262328,0,0,0,0,0,0.095
1,1,991.9231854056545,1622.122811271609,0,630.1996258659544,0,0,0,0,0,0.095
2,2,1021.7893025003933,1451.2411793480744,0,429.4518768476811,0,0,0,0,0,0.095
3,3,1057.6838325047577,1280.351701506911,0,222.66786900215334,0,0,0,0,0,0.095
4,4,1097.1564181131475,1208.8656625607312,0,111.70924444758361,0,0,0,0,0,0.095
5,5,1137.5128613334075,1277.9605826105515,0,140.44772127714396,0,0,0,0,0,0.095
6,6,1175.9987286297821,1446.4590018318333,0,270.4602732020512,0,0,0,0,0,0.145
7,7,1209.9870610186279,1775.9237804642175,0,565.9367194455897,0,0,0,0,0,0.245
8,8,1237.1573969840588,1995.0373659492216,0,757.8799689651628,0,0,0,0,0,0.245
9,9,1255.6539080976775,2052.393420714677,0,796.7395126169997,0,0,0,0,0,0.245
10,10,1264.211870661237,1980.3803321457249,0,716.1684614844878,0,0,0,0,0,0.245
11,11,1262.2438545387927,1871.6593686013935,0,609.4155140626008,0,0,0,0,0,0.145
12,12,1249.8797555518606,1821.3914584806103,0,571.5117029287496,0,0,0,0,0,0.145
13,13,1227.9579432960186,1869.2937204073987,0,641.3357771113801,0,0,0,0,0,0.145
14,14,1197.96812764061,1975.6184678340246,0,777.6503401934146,0,0,0,0,0,0.145
15,15,1161.9498374651835,2045.1776916853025,0,883.2278542201191,0,0,0,0,0,0.145
16,16,1122.353430139009,1985.2896843724848,0,862.9362542334757,0,0,0,0,0,0.145
17,17,1081.8731037179434,1763.5547780280688,0,681.6816743101253,0,0,0,0,0,0.245
18,18,1043.2632918014745,1431.3788210059379,0,388.1155292044634,0,0,0,0,0,0.245
19,19,1009.1509534370105,1260.36799928893,0,251.21704585191947,0,0,0,0,0,0.245
20,20,981.8565502042337,1188.7611202257006,0,206.90457002146695,0,0,0,0,0,0.245
21,21,963.2359105953691,1257.7357069634627,0,294.4997963680936,0,0,0,0,0,0.245
