instance,seed,baseline_cost,witness_cost,gap_percent,feasible,construction_fallback,operations,elapsed_seconds
fsr-00,11,1332.64605818340100996,1121.13356427400549364,18.86594966464689449,true,false,1383,0.00065242200000000
fsr-01,29,1191.45600477273592332,1110.95593960285714275,7.24601780324931877,true,false,1217,0.00054214200000000
fsr-02,47,1280.02717187214375372,1126.09165337210788493,13.66989250289462277,true,false,2002,0.00104725300000000
fsr-03,71,1176.13180083612678573,1118.31329435492807534,5.17015283400971448,true,false,1255,0.00055302100000000
fsr-04,101,1273.98054320182836818,1110.21512403649671796,14.75078258436228218,true,false,2471,0.00124432400000000
fsr-05,131,1073.66167428632775227,1110.48593857545711217,-3.31604957883284035,true,false,1305,0.00056397200000000
fsr-06,173,1199.93402295780447275,1112.96199865214362035,7.81446486142281760,true,false,3227,0.00167012400000000
fsr-07,211,1196.25596008987531604,1105.55256805951148635,8.20434908758506865,true,false,2816,0.00147266500000000
fsr-08,257,1234.60365694363986222,1115.27093829327850472,10.69988596968003236,true,false,3818,0.00201763500000000
fsr-09,307,1234.30462186501426913,1115.12701157925766893,10.68735749813608038,true,false,1619,0.00079010200000000
