evaluations,elapsed_seconds,feasible_population,pareto_population
120,0.00109478300000000,117,42
240,0.00198803600000000,120,2
720,0.00558695600000000,120,3
1320,0.00990210800000000,120,3
1920,0.01433672100000000,120,8
2520,0.01884501400000000,120,11
3120,0.02298457500000000,120,9
3720,0.02691421700000000,120,5
4320,0.03082153800000000,120,10
4920,0.03473299900000000,120,7
5520,0.03861197000000000,120,10
6120,0.04242134100000000,120,4
6720,0.04652755200000000,120,13
7320,0.05051494400000000,120,9
7920,0.05458799500000000,120,13
8520,0.05838618600000000,120,10
9120,0.06224463700000000,120,11
9720,0.06621921800000000,120,17
10320,0.07011366900000000,120,6
10920,0.07392860000000000,120,19
11520,0.07771552100000000,120,24
12000,0.08078430000000000,120,5
