arm,scenario,feasible,worst_cost,routes,controls
seed,nominal,true,1108.75147323793476062,"0:0-1-2-3-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
seed,traffic_x1_3,true,1108.75147323793476062,"0:0-1-2-3-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
seed,cancel_3_tasks,true,1108.75147323793476062,"0:0-1-2-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
seed,insert_2_urgent,true,1108.75147323793476062,"0:0-1-2-50-3-4-5-6|1:7-8-9-51-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
seed,vehicle_7_unavailable,true,1108.75147323793476062,"0:0-1-2-3-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
cma,nominal,true,1108.75147323793476062,"0:0-1-2-3-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
cma,traffic_x1_3,true,1108.75147323793476062,"0:0-1-2-3-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
cma,cancel_3_tasks,true,1108.75147323793476062,"0:0-1-2-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
cma,insert_2_urgent,true,1108.75147323793476062,"0:0-1-2-50-3-4-5-6|1:7-8-9-51-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
cma,vehicle_7_unavailable,true,1108.75147323793476062,"0:0-1-2-3-4-5-6|1:7-8-9-10-11-12-13|2:14-15-16-17-18-19-48|3:20-21-22-23-24-25-46|4:26-27-28-29-30-31-45-49|5:32-33-34-35-36-37-44-47|6:38-39-40-41-42-43","0.12500000000000000;0.12500000000000000;0.12500000000000000;0.12500000000000000;0.10000000000000001;0.12500000000000000;0.12500000000000000;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.10000000000000001;0.32500000000000001;0.32500000000000001;0.41666666666666663;0.41666666666666663;0.41666666666666663;0.32500000000000001;0.41666666666666663;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.70833333333333326;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.77500000000000002;0.70833333333333326;0.55000000000000004;0.55000000000000004;0.70833333333333326;0.41666666666666663;0.55000000000000004;0.12500000000000000;0.10000000000000001;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.92857142857142860;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.07142857142857142;0.21428571428571427;0.35714285714285715;0.50000000000000000;0.64285714285714290;0.78571428571428570;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.06250000000000000;0.18750000000000000;0.31250000000000000;0.43750000000000000;0.56250000000000000;0.68750000000000000;0.08333333333333333;0.25000000000000000;0.41666666666666669;0.58333333333333337;0.75000000000000000;0.91666666666666663;0.81250000000000000;0.81250000000000000;0.92857142857142860;0.93750000000000000;0.92857142857142860;0.93750000000000000;0.39285714285714285;0.39285714285714285"
