accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_l0,constraint_l0,estimated_score_l0,fixed_mass_score_l0,flight_days,requested_evaluations,actual_evaluations,worker_seconds,l1_promoted,l1_threshold_passed,l1_score,surrogate_gap
0,3-2-3-5-6-10,3-2-3-5-6-10|10101,L6-I3-TJS-R4-F22y,Agent,true,6920035116978.753,692.0035117326995,348.2425227972273,876458.232844435,8121.903986810372,3520000,1734992,3129.882286016,false,false,,
1,3-5-3-6-2-10,3-5-3-6-2-10|10101,L6-I3-TJS-R4-F22y,Agent,true,12780698527831.086,1278.0698527930813,99.72619135544804,818929.6754670957,8317.718827916104,3520000,1646164,2566.515222976,false,false,,
2,3-6-5-2-3-10,3-6-5-2-3-10|01011,L6-I3-TSJ-R3-F17y,Agent,true,602039272545.4783,60.20394247286896,152183.21135141238,908341.6933722367,6259.575827300119,3520000,1727989,2824.605672192,false,false,,
3,3-5-6-2-5-3-10,3-5-6-2-5-3-10|110100,L7-I3-TJSJ-R3-F10y,Agent,true,12879127158746.09,1287.9127158749457,3.3674229778907487,140714.31397080419,3895.5132584896974,3520000,1752343,3641.876573888,false,false,,
4,3-2-5-6-2-6-10,3-2-5-6-2-6-10|100101,L7-I3-TJSS-R4-F20y,Agent,true,6941756085975.549,694.1756085975749,0.19975694060136065,569007.4620576559,7456.072822131183,3520000,1754996,4288.070083456,false,false,,
5,3-5-2-6-3-5-10,3-5-2-6-3-5-10|011010,L7-I3-TJSJ-R4-F20y,Agent,true,387343065893.5958,38.73430644812359,-1412.359935881607,-32764.822636697525,7535.094402302708,3520000,1817288,3475.462544224,false,false,,
6,3-2-5-3-6-2-10,3-2-5-3-6-2-10|101001,L7-I4-TJS-R4-F10y,Agent,true,6955816302383.135,695.5816302383175,0.040809703568357496,987845.1779716415,3959.131567039061,3520000,1741502,2919.074891424,false,false,,
7,3-5-2-3-6-10,3-5-2-3-6-10|11010,L6-I3-TJS-R3-F16y,Agent,true,13071621851968.287,1307.162185196829,0.0027434067229409743,244112.44861010363,6054.659749008879,3520000,1694799,2511.220563936,false,false,,
8,3-2-6-3-5-10,3-2-6-3-5-10|01010,L6-I3-TSJ-R4-F18y,Agent,true,6934936478.3885145,0.6934951801587762,15323.199247136537,629723.3143124002,6773.555249566206,3520000,1807835,2962.674498752,false,false,,
9,3-2-3-5-3-2-6-10,3-2-3-5-3-2-6-10|1001101,L8-I5-TJS-R4-F15y,Agent,true,6959970086061.494,695.9970086061669,0.17503588609657353,2096765.6114713508,5623.3546836047335,3520000,1813814,3496.212671712,false,false,,
10,3-6-2-5-6-3-10,3-6-2-5-6-3-10|010101,L7-I3-TSJS-R5-F17y,Agent,true,621539571804.9695,62.15395766157321,4810.762551277407,303235.95023042883,6399.9473338322205,3520000,1792629,6149.73246496,false,false,,
11,3-2-5-6-2-3-10,3-2-5-6-2-3-10|010110,L7-I4-TJS-R4-F19y,Agent,true,9539888123.660276,0.9539888124742053,1.0817773736230403,275102.3793873467,7019.780156663033,3520000,1894185,4273.768993536,false,false,,
12,3-2-6-5-2-5-10,3-2-6-5-2-5-10|101010,L7-I3-TSJJ-R5-F22y,Agent,true,6942299441079.747,694.2299441127655,47.90716146088091,248152.33535111454,8368.768863419857,3520000,1778813,3176.995944384,false,false,,
13,3-6-2-2-5-6-10,3-6-2-2-5-6-10|101010,L7-I3-TSJS-R5-F17y,Agent,true,13665245402721.154,1366.5245402721155,0.0009600645430683372,276001.659754631,6368.443947853459,3520000,1721709,3825.084218688,false,false,,
14,3-2-5-2-6-2-10,3-2-5-2-6-2-10|101010,L7-I4-TJS-R5-F16y,Agent,true,6943724078558.938,694.3724078558967,0.02831665850796186,233037.8578277622,6121.286715793179,3520000,1747136,2714.955975392,false,false,,
15,3-2-5-6-5-3-2-10,3-2-5-6-5-3-2-10|1011001,L8-I4-TJSJ-R4-F13y,Agent,true,6945072324051.114,694.5072324051606,0.491898954694997,849915.3956414245,4839.444594531027,3520000,1792853,3435.625340672,false,false,,
16,3-5-3-2-6-5-10,3-5-3-2-6-5-10|100010,L7-I3-TJSJ-R3-F10y,Agent,true,12862469121703.232,1286.246912170323,-0.001760788584217919,-382115.25746735034,3701.501750301196,3520000,1760138,6327.491319136,false,false,,
17,3-2-3-2-3-5-3-5-3-5-10,3-2-3-2-3-5-3-5-3-5-10|0101010101,L11-I7-TJJJ-R9-F17y,Agent,true,19569891517.288742,1.9569891517288747,0.000001972849060953349,639301.1987518778,6334.835391169148,3520000,2408515,5386.82830912,false,false,,
18,3-2-3-5-2-5-3-6-10,3-2-3-5-2-5-3-6-10|01010101,L9-I5-TJJS-R7-F25y,Agent,true,12749625030.794205,1.274962503079453,0.0003249765643828649,548624.640966948,9348.809234374465,3520000,2147803,5709.733827264,false,false,,
19,3-2-6-5-3-5-10,3-2-6-5-3-5-10|010101,L7-I3-TSJJ-R5-F25y,Agent,true,7393469982.474659,0.7393478496479307,8514.00464692143,954778.5220377832,9206.640463623198,3520000,2125736,3954.429716032,false,false,,
20,3-6-5-2-3-5-10,3-6-5-2-3-5-10|010101,L7-I3-TSJJ-R5-F29y,Agent,true,612649528681.3265,61.264968930862146,160627.29488202822,670019.6096692717,10819.943324152695,3520000,1700912,3187.604246912,false,false,,
21,3-6-3-2-5-10,3-6-3-2-5-10|01010,L6-I3-TSJ-R4-F17y,Agent,true,613628215222.046,61.36282258680497,10646.003658626867,148509.2225824144,6572.105516969188,3520000,1666854,2568.199904352,false,false,,
22,3-5-6-2-5-10,3-5-6-2-5-10|01010,L6-I2-TJSJ-R4-F15y,Agent,true,383870801446.37537,38.38708015483848,102.00939654453579,4391.216592622697,5481.975627191043,3520000,1732427,3603.800698784,false,false,,
23,3-2-3-2-3-5-6-10,3-2-3-2-3-5-6-10|0101010,L8-I5-TJS-R6-F14y,Agent,true,3429186405.791401,0.3429186405791493,0.00009179635398681439,440969.710917985,5195.539585178587,3520000,2056253,3715.727987328,false,false,,
24,3-2-5-6-3-2-6-10,3-2-5-6-3-2-6-10|0101010,L8-I4-TJSS-R6-F17y,Agent,true,6331081655.647204,0.6331081987316651,331.6694470888641,410371.2894215169,6361.816305273049,3520000,2220024,5819.281628256,false,false,,
25,3-5-3-2-6-10,3-5-3-2-6-10|01010,L6-I3-TJS-R4-F11y,Agent,true,383870799849.35614,38.38708015482523,1698.8961267008315,269581.8202150923,4302.342138624059,3520000,1752661,2913.095303328,false,false,,
26,3-5-2-6-5-3-10,3-5-2-6-5-3-10|101010,L7-I3-TJSJ-R5-F14y,Agent,true,12806451354039.313,1280.6451354039314,0.0025803977871654334,485674.61009968776,5383.948701755912,3520000,1660143,3099.484851072,false,false,,
