accepted_candidates,best_l0,best_l1,l1_promotions,niches,cumulative_worker_seconds
1,348.2425227972273,,0,1,3129.882286016
2,348.2425227972273,,0,1,5696.397508992
3,152183.21135141238,,0,2,8521.003181184
4,152183.21135141238,,0,3,12162.879755072001
5,152183.21135141238,,0,4,16450.949838528002
6,-1412.359935881607,,0,5,19926.412382752
7,-1412.359935881607,,0,6,22845.487274176
8,-1412.359935881607,,0,7,25356.707838112
9,15323.199247136537,,0,8,28319.382336864
10,15323.199247136537,,0,9,31815.595008576
11,15323.199247136537,,0,10,37965.327473536
12,15323.199247136537,,0,11,42239.096467072006
13,15323.199247136537,,0,12,45416.092411456004
14,15323.199247136537,,0,12,49241.17663014401
15,15323.199247136537,,0,13,51956.132605536004
16,15323.199247136537,,0,14,55391.757946208
17,15323.199247136537,,0,14,61719.249265344006
18,15323.199247136537,,0,15,67106.07757446401
19,15323.199247136537,,0,16,72815.81140172802
20,15323.199247136537,,0,17,76770.24111776002
21,15323.199247136537,,0,18,79957.84536467202
22,15323.199247136537,,0,19,82526.04526902402
23,15323.199247136537,,0,20,86129.84596780803
24,0.00009179635398681439,,0,21,89845.57395513603
25,0.00009179635398681439,,0,22,95664.85558339203
26,0.00009179635398681439,,0,23,98577.95088672002
27,0.00009179635398681439,,0,24,101677.43573779202
28,0.00009179635398681439,,0,24,104147.45101104003
29,0.00009179635398681439,,0,25,106934.57319104004
30,0.00009179635398681439,,0,26,112911.34533590404
31,0.00009179635398681439,,0,27,115909.65011049605
32,0.00009179635398681439,,0,28,119778.09042864005
33,0.00009179635398681439,,0,29,125991.57839708804
34,0.00009179635398681439,,0,30,131528.45905884804
35,0.00009179635398681439,,0,31,138253.14058348804
36,0.00009179635398681439,,0,32,145024.61792358404
37,0.00009179635398681439,,0,33,148439.88406281604
38,0.00009179635398681439,,0,34,152935.21201392004
39,0.00009179635398681439,,0,35,158831.30024160005
40,0.00009179635398681439,,0,36,163199.98898969605
