accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_l0,constraint_l0,estimated_score_l0,fixed_mass_score_l0,flight_days,requested_evaluations,actual_evaluations,worker_seconds,l1_promoted,l1_threshold_passed,l1_score,surrogate_gap
0,3-2-2-3-2-2-2-2-3-2-3-10,3-2-2-3-2-2-2-2-3-2-3-10|00000000100,L12-I11-Tnone-R2-F25y,Evolutionary,true,-7.349632658287779,0,7.349632658287779,407127.8246300624,9376.61526392634,3520000,2207893,3161.38699104,false,false,,
1,3-5-2-6-2-6-5-10,3-5-2-6-2-6-5-10|0000000,L8-I3-TJSSJ-R0-F27y,Evolutionary,true,402759828777.9771,40.27598286805558,-97.42134680868013,-196916.1827794823,10107.175188838877,3520000,1926429,5056.697244192,false,false,,
2,3-2-5-6-10,3-2-5-6-10|0000,L5-I2-TJS-R0-F11y,Evolutionary,true,-456135.8254125268,0.00000000026990496255251454,456138.52446215233,842197.5512048752,4344.970511864349,3520000,1697863,2576.67476048,false,false,,
3,3-3-5-3-6-3-2-2-3-3-5-10,3-3-5-3-6-3-2-2-3-3-5-10|00011111000,L12-I8-TJSJ-R2-F20y,Evolutionary,true,-8771.960131067039,0.00000000000010273327658711435,8771.961158399805,409200.9653011698,7461.45901981217,3520000,2344547,6677.527522208,false,false,,
4,3-6-6-6-6-10,3-6-6-6-6-10|01010,L6-I1-TSSSS-R4-F24y,Evolutionary,true,604811671547.4238,60.48116681872275,-3360.1963121686063,-104501.58135613063,8903.652814926341,3520000,1641230,5639.753783552,false,false,,
5,3-5-2-3-5-3-3-10,3-5-2-3-5-3-3-10|0100000,L8-I5-TJJ-R2-F24y,Evolutionary,true,387493072002.3477,38.74930721528958,150.54811861957265,38123.386295565855,9053.663110158963,3520000,1902397,3205.763024064,false,false,,
6,3-3-5-3-6-2-2-3-3-5-10,3-3-5-3-6-2-2-3-3-5-10|0001111000,L11-I7-TJSJ-R2-F18y,Evolutionary,true,-10244.883453951586,0,10244.883453951586,446911.5187375847,6744.082376570684,3520000,2230796,5754.064936224,false,false,,
7,3-3-2-3-5-3-3-10,3-3-2-3-5-3-3-10|0100000,L8-I6-TJ-R2-F26y,Evolutionary,true,-38543.32714762957,0,38543.32714762957,478832.9041933068,9622.671280911614,3520000,1841983,2228.121858912,false,false,,
8,3-2-5-6-10,3-2-5-6-10|0001,L5-I2-TJS-R1-F18y,Evolutionary,true,-996954.0056161172,0.00000000011761938342592958,996955.1818099514,1669226.9520081957,6610.383532946613,3520000,1689131,2271.259308256,false,false,,
9,3-2-5-10,3-2-5-10|000,L4-I2-TJ-R0-F11y,Evolutionary,true,-432327.94910412363,0.0000000002213065584787996,432330.1621697084,799879.369788718,4084.4248073149183,3520000,1697403,1196.521697824,false,false,,
10,3-3-2-3-5-3-3-3-10,3-3-2-3-5-3-3-3-10|01000000,L9-I7-TJ-R2-F24y,Evolutionary,true,-10128.387052029708,0.00000000000000175991556334579,10128.387069628863,243899.66604595943,8864.387964916907,3520000,1809511,2326.192686848,false,false,,
11,3-3-6-3-5-3-2-2-3-3-6-10,3-3-6-3-5-3-2-2-3-3-6-10|00011111000,L12-I8-TSJS-R2-F24y,Evolutionary,true,-9.470938973733476,0,9.470938973733476,130257.41268557071,8910.07303859352,3520000,2414900,9129.41396832,false,false,,
12,3-3-6-3-6-3-2-2-3-3-5-10,3-3-6-3-6-3-2-2-3-3-5-10|00011111000,L12-I8-TSSJ-R2-F26y,Evolutionary,true,-4131.551646675423,0,4131.551646675423,811166.4530174781,9700.546966028813,3520000,2360341,8136.934814496,false,false,,
13,3-5-2-10,3-5-2-10|000,L4-I2-TJ-R0-F9y,Evolutionary,true,383870589851.03174,38.387080154825185,211697.2200775246,300053.05036582676,3375.46145636358,3520000,1581707,818.870179776,false,false,,
14,3-3-5-3-6-3-2-3-3-5-10,3-3-5-3-6-3-2-3-3-5-10|0001111000,L11-I7-TJSJ-R2-F28y,Evolutionary,true,-21214.442106898954,0.000000000000008050926329900067,21214.442187408218,581230.3141305589,10240.746848032562,3520000,2143877,5545.627191552,false,false,,
15,3-5-3-6-3-2-3-3-5-10,3-5-3-6-3-2-3-3-5-10|001111000,L10-I6-TJSJ-R2-F22y,Evolutionary,true,390349904656.8627,39.03499050285711,371.70844652220524,91026.28389172078,8394.239904968992,3520000,2103440,5216.2514376,false,false,,
16,3-2-10,3-2-10|00,L3-I2-Tnone-R0-F4y,Evolutionary,true,-146719.0895784027,0.00000000000396617935586657,146719.12924019626,197972.62276320098,1766.5740688380693,3520000,1928502,428.51380649600003,false,false,,
17,3-3-2-10,3-3-2-10|000,L4-I3-Tnone-R0-F7y,Evolutionary,true,-276677.1641223816,0.0000000000005075045089155826,276677.1691974267,307922.137176847,2769.6694214424697,3520000,1579833,502.76573296,false,false,,
18,3-3-5-3-6-2-3-3-5-10,3-3-5-3-6-2-3-3-5-10|000111000,L10-I6-TJSJ-R2-F22y,Evolutionary,true,-20912.01140499371,0,20912.01140499371,876576.4522664322,8320.811847269519,3520000,2053684,5073.604279584,false,false,,
19,3-2-6-5-10,3-2-6-5-10|0001,L5-I2-TSJ-R1-F15y,Evolutionary,true,17331248.973725393,0.0017415056194214568,83807.22048917535,546244.7756803366,5628.948391754631,3520000,1792819,3508.597672256,false,false,,
20,3-5-10,3-5-10|00,L3-I1-TJ-R0-F5y,Evolutionary,true,383870452808.9127,38.38708015482648,348739.3520637638,583632.7406313976,1943.108888943256,3520000,1719590,650.338233888,false,false,,
21,3-3-5-3-6-2-3-3-5-10,3-3-5-3-6-2-3-3-5-10|000111010,L10-I6-TJSJ-R4-F14y,Evolutionary,true,-81378.41546488009,0.00000000000019534598905770234,81378.41741833999,650174.7683587297,5407.483133212983,3520000,2166437,6014.081626336,false,false,,
22,3-6-5-6-10,3-6-5-6-10|0000,L5-I1-TSJS-R0-F22y,Evolutionary,true,602021039451.1039,60.20209621253607,-77325.74319250009,-389147.31992472673,8326.43619084335,3520000,1706435,4375.824065152,false,false,,
23,3-5-2-6-10,3-5-2-6-10|0000,L5-I2-TJS-R0-F25y,Evolutionary,true,383870725480.05457,38.38708015483212,76068.26658474017,138155.4846869876,9298.801488793233,3520000,1609735,2258.245440256,false,false,,
24,3-2-6-10,3-2-6-10|001,L4-I2-TS-R1-F15y,Evolutionary,true,74315178.34531042,0.007479997855907575,484800.2137653353,1117822.341226336,5719.531041912804,3520000,1870153,2736.021298336,false,false,,
25,3-2-5-10,3-2-5-10|010,L4-I2-TJ-R2-F8y,Evolutionary,true,5508004375.907031,0.550800485304875,477.1417191169303,42530.380084850345,3160.7602269026675,3520000,1652454,1019.964005216,false,false,,
26,3-3-5-3-6-2-3-3-3-5-10,3-3-5-3-6-2-3-3-3-5-10|0001110010,L11-I7-TJSJ-R4-F23y,Evolutionary,true,-4122.717844720622,0,4122.717844720622,756948.6097238048,8728.04129932511,3520000,2203113,5810.7086576,false,false,,
27,3-2-3-10,3-2-3-10|000,L4-I3-Tnone-R0-F7y,Evolutionary,true,-226184.3484192962,0.00000000000032751221183300455,226184.35169441832,239361.030607588,2736.741384416514,3520000,1744025,601.485593216,false,false,,
28,3-2-6-5-10,3-2-6-5-10|0000,L5-I2-TSJ-R0-F20y,Evolutionary,true,-71552.56139862147,0.00000000008047155153541129,71553.36611413682,460977.3086000144,7351.658245008627,3520000,1778243,2804.148718144,false,false,,
29,3-2-10,3-2-10|10,L3-I2-Tnone-R1-F2y,Evolutionary,true,6921122554072.078,692.1122565619535,11547.456726001543,224609.4442629039,1053.0409535903082,3520000,1545561,276.191093792,false,false,,
30,3-3-2-3-10,3-3-2-3-10|0000,L5-I4-Tnone-R0-F15y,Evolutionary,true,-262393.4033056231,0,262393.4033056231,285021.8532228017,5839.086776060198,3520000,1571598,872.198125824,false,false,,
31,3-3-2-3-10,3-3-2-3-10|1000,L5-I4-Tnone-R1-F11y,Evolutionary,true,7723628302969.656,772.3628327993135,25023.479162316038,439214.15965022333,4258.881513037255,3520000,1576141,883.927081568,false,false,,
32,3-3-3-10,3-3-3-10|000,L4-I3-Tnone-R0-F8y,Evolutionary,true,-212897.96616136873,0.00000000000000033658035373216127,212897.96616473453,242148.9776460837,3234.150239440528,3520000,1655984,565.87328656,false,false,,
33,3-3-3-10,3-3-3-10|001,L4-I3-Tnone-R1-F10y,Evolutionary,true,-177523.87863388585,0,177523.87863388585,889013.3080796208,4003.958001085735,3520000,1605463,595.484415168,false,false,,
34,3-2-2-10,3-2-2-10|000,L4-I3-Tnone-R0-F9y,Evolutionary,true,-201253.40783976717,0,201253.40783976717,355171.043056135,3393.9220657614806,3520000,1821291,804.961744448,false,false,,
35,3-2-5-3-10,3-2-5-3-10|0000,L5-I3-TJ-R0-F9y,Evolutionary,true,-225082.06533513882,0.0000000000027858556870415577,225082.09319369568,431023.82634674286,3603.1529250146536,3520000,1812826,1795.590200608,false,false,,
36,3-3-10,3-3-10|00,L3-I2-Tnone-R0-F3y,Evolutionary,true,-214116.88949634522,0,214116.88949634522,240275.15457061646,1244.621250001505,3520000,1826870,400.50110736,false,false,,
37,3-2-6-3-10,3-2-6-3-10|0000,L5-I3-TS-R0-F17y,Evolutionary,true,92190827.01641372,0.009236597738934012,175150.372926394,625583.6031816021,6533.236792486061,3520000,1688792,1863.077105216,false,false,,
38,3-2-5-3-3-10,3-2-5-3-3-10|00000,L6-I4-TJ-R0-F15y,Evolutionary,true,-81498.88753441938,0.000000000002929455086536371,81498.91682897025,243542.56289135112,5672.933065452624,3520000,1696532,1669.096716416,false,false,,
