accepted_candidates,best_l0,best_l1,l1_promotions,niches,cumulative_worker_seconds
1,7.349632658287779,,0,1,3161.38699104
2,7.349632658287779,,0,2,8218.084235232
3,456138.52446215233,,0,3,10794.758995712
4,456138.52446215233,,0,4,17472.28651792
5,456138.52446215233,,0,5,23112.040301472
6,456138.52446215233,,0,6,26317.803325536
7,456138.52446215233,,0,7,32071.86826176
8,456138.52446215233,,0,8,34299.990120671995
9,996955.1818099514,,0,9,36571.24942892799
10,996955.1818099514,,0,10,37767.77112675199
11,996955.1818099514,,0,11,40093.96381359999
12,996955.1818099514,,0,12,49223.37778191999
13,996955.1818099514,,0,13,57360.31259641599
14,996955.1818099514,,0,14,58179.18277619199
15,996955.1818099514,,0,15,63724.80996774399
16,996955.1818099514,,0,16,68941.061405344
17,996955.1818099514,,0,17,69369.57521184
18,996955.1818099514,,0,18,69872.3409448
19,996955.1818099514,,0,18,74945.945224384
20,996955.1818099514,,0,19,78454.54289664
21,996955.1818099514,,0,20,79104.88113052801
22,996955.1818099514,,0,21,85118.96275686401
23,996955.1818099514,,0,22,89494.78682201602
24,996955.1818099514,,0,23,91753.03226227201
25,996955.1818099514,,0,24,94489.05356060801
26,996955.1818099514,,0,25,95509.017565824
27,996955.1818099514,,0,26,101319.726223424
28,996955.1818099514,,0,26,101921.21181664
29,996955.1818099514,,0,27,104725.360534784
30,996955.1818099514,,0,28,105001.55162857601
31,996955.1818099514,,0,29,105873.7497544
32,996955.1818099514,,0,30,106757.67683596801
33,996955.1818099514,,0,31,107323.55012252802
34,996955.1818099514,,0,32,107919.03453769602
35,996955.1818099514,,0,33,108723.99628214401
36,996955.1818099514,,0,34,110519.58648275201
37,996955.1818099514,,0,35,110920.08759011202
38,996955.1818099514,,0,36,112783.16469532801
39,996955.1818099514,,0,37,114452.26141174401
