accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_l0,constraint_l0,estimated_score_l0,fixed_mass_score_l0,flight_days,requested_evaluations,actual_evaluations,worker_seconds,l1_promoted,l1_threshold_passed,l1_score,surrogate_gap
0,3-2-2-3-2-2-2-2-3-2-3-10,3-2-2-3-2-2-2-2-3-2-3-10|00000000100,L12-I11-Tnone-R2-F10y,Evolutionary,true,115845904.52111772,0.011584590452111774,0.000000019011752530679928,211889.63099520426,3946.457242494018,3520000,2295526,3391.901652256,false,false,,
1,3-5-2-6-2-6-5-10,3-5-2-6-2-6-5-10|0000000,L8-I3-TJSSJ-R0-F24y,Evolutionary,true,403552020403.4335,40.35520204001051,-3.32839518934147,-40097.90803019731,8915.722368518924,3520000,1974011,5923.875896928,false,false,,
2,3-2-5-6-10,3-2-5-6-10|0000,L5-I2-TJS-R0-F17y,Evolutionary,true,-437948.6158594398,0.0000000001318076380404178,437949.9339358202,674618.4930878837,6529.619720066121,3520000,1790363,3377.63488752,false,false,,
3,3-3-5-3-6-3-2-2-3-3-5-10,3-3-5-3-6-3-2-2-3-3-5-10|00011111000,L12-I8-TJSJ-R2-F27y,Evolutionary,true,-18691.984272386122,0,18691.984272386122,883245.2093327328,9930.063097408836,3520000,2665282,9249.38620736,false,false,,
4,3-6-6-6-6-10,3-6-6-6-6-10|01010,L6-I1-TSSSS-R4-F26y,Evolutionary,true,602020912977.3958,60.202096212227275,49144.87697741487,674611.0481860328,9573.058770319778,3520000,1649345,5564.798102304,false,false,,
5,3-5-2-3-5-3-3-10,3-5-2-3-5-3-3-10|0100000,L8-I5-TJJ-R2-F19y,Evolutionary,true,392029719578.14374,39.202971964715346,69.00969859333136,77063.03469130349,7085.280969892599,3520000,1884454,2834.071251488,false,false,,
6,3-3-5-3-6-2-2-3-3-5-10,3-3-5-3-6-2-2-3-3-5-10|0001111000,L11-I7-TJSJ-R2-F23y,Evolutionary,true,-25507.25907376641,0,25507.25907376641,761313.0173231221,8638.02741721366,3520000,2442083,7644.940744576,false,false,,
7,3-3-2-3-5-3-3-10,3-3-2-3-5-3-3-10|0100000,L8-I6-TJ-R2-F29y,Evolutionary,true,-77410.22301687162,0.00000000000005763980066925326,77410.22359326962,896169.4585822888,10638.942271588396,3520000,1941579,3019.51592592,false,false,,
8,3-3-5-3-6-3-2-2-3-3-5-10,3-3-5-3-6-3-2-2-3-3-5-10|00011111010,L12-I8-TJSJ-R4-F20y,Evolutionary,true,-10299.506715094532,0,10299.506715094532,763173.082727461,7355.376875522725,3520000,2346714,6071.065659584,false,false,,
9,3-3-6-6-3-2-6-3-10,3-3-6-6-3-2-6-3-10|10001000,L9-I5-TSSS-R3-F24y,Evolutionary,true,6720307490756.434,672.0307490756434,0.000000014881173702595752,139717.66091788412,9029.333690254982,3520000,1820496,5346.771991776,false,false,,
10,3-2-2-3-2-2-2-2-3-2-10,3-2-2-3-2-2-2-2-3-2-10|0000000010,L11-I10-Tnone-R2-F17y,Evolutionary,true,-0.009576922369836868,0,0.009576922369836868,367902.02787495364,6255.153442992141,3520000,2069136,2767.747462112,false,false,,
11,3-2-2-2-6-2-2-6-6-2-3-10,3-2-2-2-6-2-2-6-6-2-3-10|01000100000,L12-I8-TSSS-R4-F14y,Evolutionary,true,6147613174.784875,0.6147613174784912,0.00003716804187650351,263579.64401482913,5390.5160173851855,3520000,2254185,7745.356253088,false,false,,
12,3-2-2-2-6-2-2-6-5-2-3-10,3-2-2-2-6-2-2-6-5-2-3-10|01000100000,L12-I8-TSSJ-R4-F19y,Evolutionary,true,1832154660.757129,0.18321546607571404,0.000011439881613685863,116109.87194230272,7212.438976958003,3520000,2309742,9491.329852768,false,false,,
13,3-2-3-5-3-2-3-2-3-5-10,3-2-3-5-3-2-3-2-3-5-10|0000000000,L11-I8-TJJ-R0-F20y,Evolutionary,true,224798749.68671942,0.022494196717953746,143217.49281806702,629116.8061622485,7416.686964543514,3520000,2181623,4622.507935136,false,false,,
14,3-3-5-3-6-3-2-2-3-3-10,3-3-5-3-6-3-2-2-3-3-10|0001111100,L11-I8-TJS-R2-F22y,Evolutionary,true,-3533.3952258304175,0,3533.3952258304175,203580.00142309183,8305.748175061184,3520000,2417595,7091.031924128,false,false,,
15,3-3-5-3-3-6-2-2-3-3-5-10,3-3-5-3-3-6-2-2-3-3-5-10|00011111010,L12-I8-TJSJ-R4-F22y,Evolutionary,true,-1630.2413187252823,0,1630.2413187252823,499396.85564142384,8081.821471445017,3520000,2538411,7424.957835776,false,false,,
16,3-2-6-6-6-5-2-2-10,3-2-6-6-6-5-2-2-10|00010110,L9-I4-TSSSJ-R4-F25y,Evolutionary,true,251939539.26683226,0.025193955243493417,13.168101919825125,299416.5796303122,9198.512352282894,3520000,2216883,8825.677289376,false,false,,
17,3-3-5-3-6-3-2-2-3-10,3-3-5-3-6-3-2-2-3-10|000111110,L10-I7-TJS-R2-F26y,Evolutionary,true,-22694.791389761038,0,22694.791389761038,515795.16889089363,9502.548122232962,3520000,2147264,4509.197371936,false,false,,
18,3-2-3-3-5-3-3-10,3-2-3-3-5-3-3-10|0100000,L8-I6-TJ-R2-F13y,Evolutionary,true,784716726.0631441,0.07847167260631857,0.00004166019332999807,259575.02939362463,5035.0794250653,3520000,1953829,2618.9235464,false,false,,
19,3-3-5-6-3-2-2-3-10,3-3-5-6-3-2-2-3-10|00011110,L9-I6-TJS-R2-F25y,Evolutionary,true,-74526.93689704058,0,74526.93689704058,388450.7601759282,9321.620873473505,3520000,2080483,5236.389081984,false,false,,
20,3-2-6-5-10,3-2-6-5-10|0000,L5-I2-TSJ-R0-F19y,Evolutionary,true,-9563.13688063299,0,9563.13688063299,54247.03479289191,6968.58133690604,3520000,1687217,2340.199707936,false,false,,
21,3-2-5-10,3-2-5-10|000,L4-I2-TJ-R0-F11y,Evolutionary,true,-437417.34879627737,0.00000000001204772931629587,437417.4692735705,800537.791039811,4099.733422660074,3520000,1606942,849.343993536,false,false,,
22,3-3-2-6-3-5-3-3-10,3-3-2-6-3-5-3-3-10|01000000,L9-I6-TSJ-R2-F23y,Evolutionary,true,-6413.299477128837,0,6413.299477128837,862061.7445805154,8679.0044550343,3520000,1989692,4408.086383456,false,false,,
23,3-3-5-3-6-2-3-2-3-3-5-10,3-3-5-3-6-2-3-2-3-3-5-10|00011111000,L12-I8-TJSJ-R2-F29y,Evolutionary,true,-12270.806476729402,0,12270.806476729402,797890.0790442135,10957.499958313278,3520000,2444323,8781.876249184,false,false,,
24,3-3-3-2-3-6-2-10,3-3-3-2-3-6-2-10|0000010,L8-I6-TS-R2-F16y,Evolutionary,true,-309452.44825448055,0,309452.44825448055,626192.9763660935,6127.098371163122,3520000,1734495,2709.112308576,false,false,,
25,3-2-5-6-10,3-2-5-6-10|0010,L5-I2-TJS-R2-F22y,Evolutionary,true,-208122.61611587272,0.000000000000020091222323830876,208122.61631678493,936120.1803564467,8074.642367586694,3520000,1756789,2395.55660592,false,false,,
26,3-2-6-3-2-2-3-6-10,3-2-6-3-2-2-3-6-10|10000000,L9-I6-TSS-R1-F15y,Evolutionary,true,6941177245452.702,694.1177245452703,0.0009943872777802448,794836.891735125,5647.736257647512,3520000,1888556,4421.07170272,false,false,,
27,3-3-5-3-6-3-2-2-3-10,3-3-5-3-6-3-2-2-3-10|000111100,L10-I7-TJS-R2-F20y,Evolutionary,true,4227204709.7084064,0.4227205522601944,812.8935373328572,668753.5052038925,7441.315021125354,3520000,2094927,5072.050462496,false,false,,
28,3-3-3-5-3-3-2-5-3-2-5-3-10,3-3-3-5-3-3-2-5-3-2-5-3-10|001100001100,L13-I9-TJJJ-R4-F24y,Evolutionary,true,-228.90313573301185,0,228.90313573301185,221470.54604277236,9080.987404052914,3520000,2369551,5778.27268432,false,false,,
29,3-3-6-3-2-2-3-10,3-3-6-3-2-2-3-10|0011110,L8-I6-TS-R2-F16y,Evolutionary,true,-279831.18928983505,0,279831.18928983505,771899.2240681695,6104.111713370073,3520000,1932214,3947.567766528,false,false,,
