accepted_candidates,best_l0,best_l1,l1_promotions,niches,cumulative_worker_seconds
1,0.000000019011752530679928,,0,1,3391.901652256
2,0.000000019011752530679928,,0,2,9315.777549184
3,437949.9339358202,,0,3,12693.412436704
4,437949.9339358202,,0,4,21942.798644064
5,437949.9339358202,,0,5,27507.596746368003
6,437949.9339358202,,0,6,30341.667997856002
7,437949.9339358202,,0,7,37986.608742432
8,437949.9339358202,,0,8,41006.124668352
9,437949.9339358202,,0,9,47077.190327936
10,437949.9339358202,,0,10,52423.962319711994
11,437949.9339358202,,0,11,55191.70978182399
12,437949.9339358202,,0,12,62937.06603491199
13,437949.9339358202,,0,13,72428.39588767999
14,437949.9339358202,,0,14,77050.90382281599
15,437949.9339358202,,0,15,84141.93574694399
16,437949.9339358202,,0,16,91566.89358271999
17,437949.9339358202,,0,17,100392.570872096
18,437949.9339358202,,0,18,104901.76824403199
19,437949.9339358202,,0,19,107520.69179043199
20,437949.9339358202,,0,20,112757.08087241599
21,437949.9339358202,,0,21,115097.28058035199
22,437949.9339358202,,0,22,115946.62457388798
23,437949.9339358202,,0,23,120354.71095734398
24,437949.9339358202,,0,24,129136.58720652798
25,437949.9339358202,,0,25,131845.69951510397
26,437949.9339358202,,0,26,134241.25612102397
27,437949.9339358202,,0,27,138662.32782374395
28,437949.9339358202,,0,28,143734.37828623995
29,437949.9339358202,,0,29,149512.65097055995
30,437949.9339358202,,0,29,153460.21873708794
31,437949.9339358202,,0,30,160009.68148687994
32,437949.9339358202,,0,31,163057.98539324795
33,437949.9339358202,,0,32,165493.51178486395
34,437949.9339358202,,0,33,168714.22791795194
35,437949.9339358202,,0,34,170209.49762239994
36,437949.9339358202,,0,35,172967.16894559993
37,437949.9339358202,,0,36,179108.68351638393
38,437949.9339358202,,0,37,181490.69026870394
39,437949.9339358202,,0,38,183584.57637164794
40,437949.9339358202,,0,39,186392.07624134395
