accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_l0,constraint_l0,estimated_score_l0,fixed_mass_score_l0,flight_days,requested_evaluations,actual_evaluations,worker_seconds,l1_promoted,l1_threshold_passed,l1_score,surrogate_gap
0,3-2-2-3-2-2-2-2-3-2-3-10,3-2-2-3-2-2-2-2-3-2-3-10|00000000100,L12-I11-Tnone-R2-F14y,Random,true,-7005.532275063566,0.000000000000048962683629048216,7005.5327646904025,774685.4690889431,5231.589583908925,3520000,2136904,2841.553180256,false,false,,
1,3-5-2-6-2-6-5-10,3-5-2-6-2-6-5-10|0000000,L8-I3-TJSSJ-R0-F29y,Random,true,392347487406.9162,39.23474885305176,1123.6014130679298,230121.74108029358,10817.843627903647,3520000,2018575,6576.568268064,false,false,,
2,3-2-5-6-10,3-2-5-6-10|0000,L5-I2-TJS-R0-F15y,Random,true,-441619.99729132117,0.000000000015228350773055845,441620.1495748289,912468.6383666368,5651.46134769313,3520000,1785548,3691.20585696,false,false,,
3,3-3-5-3-6-3-2-2-3-3-5-10,3-3-5-3-6-3-2-2-3-3-5-10|00011111000,L12-I8-TJSJ-R2-F20y,Random,true,-11461.019565678593,0.000000000022040734667433518,11461.239973025267,506760.1957011634,7429.918512644726,3520000,2301326,6180.903949216,false,false,,
4,3-6-6-6-6-10,3-6-6-6-6-10|01010,L6-I1-TSSSS-R4-F25y,Random,true,602500516074.1986,60.25005718955105,55821.31183007007,621579.0110237492,9358.884138271205,3520000,1684183,7066.661372832,false,false,,
5,3-5-2-3-5-3-3-10,3-5-2-3-5-3-3-10|0100000,L8-I5-TJJ-R2-F16y,Random,true,388840977068.3258,38.88409773636379,295.3121616100323,175808.96079484382,6208.283986866825,3520000,1883786,2664.385805248,false,false,,
6,3-3-3-2-6-10,3-3-3-2-6-10|00011,L6-I4-TS-R1-F17y,Random,true,-212995.65760528046,0,212995.65760528046,1655497.2981620717,6364.555230312144,3520000,1732504,2262.173548896,false,false,,
7,3-2-2-6-6-2-3-5-2-6-2-10,3-2-2-6-6-2-3-5-2-6-2-10|01000000000,L12-I7-TSSJS-R2-F22y,Random,true,14846160765.40193,1.484616076540193,0.0000005122175519755651,181260.9310720271,8243.413867292858,3520000,2490636,10100.15333568,false,false,,
8,3-2-10,3-2-10|00,L3-I2-Tnone-R0-F4y,Random,true,-146719.0895784029,0.000000000003966609441242155,146719.1292444973,197972.62275115345,1766.574063381753,3520000,1709802,318.920415616,false,false,,
9,3-5-10,3-5-10|10,L3-I1-TJ-R1-F4y,Random,true,12853284538178.223,1285.328449213995,-46038.270986343516,-481945.3097939323,1558.2170845324863,3520000,1578015,621.975204,false,false,,
10,3-3-2-3-2-3-5-3-10,3-3-2-3-2-3-5-3-10|00000000,L9-I7-TJ-R0-F16y,Random,true,-462880.1806327649,0.00000000001506792335951676,462880.3313119985,782646.1005490461,5970.436481770281,3520000,2014476,2821.453138656,false,false,,
11,3-3-3-6-10,3-3-3-6-10|0000,L5-I3-TS-R0-F19y,Random,true,-658588.7005913744,0,658588.7005913744,915387.4982167117,6995.312709855203,3520000,1598638,1937.663985408,false,false,,
12,3-5-3-5-6-2-10,3-5-3-5-6-2-10|000000,L7-I3-TJJS-R0-F29y,Random,true,387346709069.41327,38.73467205301696,11460.756286198786,306634.7144003235,10817.747342036124,3520000,1834499,5563.806503552,false,false,,
13,3-2-5-2-3-5-2-3-10,3-2-5-2-3-5-2-3-10|00100000,L9-I6-TJJ-R2-F17y,Random,true,6329902899.065598,0.6329905931951538,3032.8859403745255,276884.0038893452,6261.986601541417,3520000,2115030,2986.961339552,false,false,,
14,3-2-2-5-2-6-6-10,3-2-2-5-2-6-6-10|0011000,L8-I4-TJSS-R2-F15y,Random,true,11906150.4839113,0.0011906206267776232,55.78386493187986,313723.191336897,5629.523804520662,3520000,2153320,6368.790846368,false,false,,
15,3-3-10,3-3-10|11,L3-I2-Tnone-R0-F7y,Random,true,7146211354036.143,714.6211378571495,24535.35212386428,376343.3038755453,2595.7623386228233,3520000,1541398,326.487583776,false,false,,
16,3-2-3-5-5-2-3-2-2-10,3-2-3-5-5-2-3-2-2-10|000000000,L10-I7-TJJ-R0-F17y,Random,true,-19102.204006120857,0,19102.204006120857,312960.92331222474,6331.526690928008,3520000,2118112,3239.771825216,false,false,,
17,3-2-2-3-2-5-6-2-6-3-2-10,3-2-2-3-2-5-6-2-6-3-2-10|00000010000,L12-I8-TJSS-R2-F19y,Random,true,9679675550.46079,0.9679675550461274,0.0004844265205753508,129011.2271144017,6971.717141182134,3520000,2349352,6891.30077696,false,false,,
18,3-5-6-10,3-5-6-10|010,L4-I1-TJS-R2-F18y,Random,true,383870844139.9712,38.387080154825796,-42591.7132656188,-147131.89727157133,6798.801294134611,3520000,1594712,2003.977981088,false,false,,
19,3-6-3-2-6-6-6-2-10,3-6-3-2-6-6-6-2-10|00100000,L9-I4-TSSSS-R2-F18y,Random,true,622694614234.1385,62.26946142354567,1.318133602111138,699199.5601349889,6698.144578394572,3520000,1795899,8147.433223488,false,false,,
20,3-3-6-5-10,3-3-6-5-10|1000,L5-I2-TSJ-R1-F23y,Random,true,7732248521986.959,773.2248521346829,-640.1297633629025,-16703.19517319525,8671.22949052745,3520000,1586263,2230.986650112,false,false,,
21,3-2-3-5-2-5-2-2-5-10,3-2-3-5-2-5-2-2-5-10|011000100,L10-I6-TJJJ-R4-F20y,Random,true,11892677292.49723,1.1892677292507723,0.010492747438038168,312485.4586333039,7318.1219153204365,3520000,2295507,4993.817182432,false,false,,
