accepted_candidates,best_l0,best_l1,l1_promotions,niches,cumulative_worker_seconds
1,7005.5327646904025,,0,1,2841.553180256
2,7005.5327646904025,,0,2,9418.12144832
3,441620.1495748289,,0,3,13109.32730528
4,441620.1495748289,,0,4,19290.231254496
5,441620.1495748289,,0,5,26356.892627328
6,441620.1495748289,,0,6,29021.278432576
7,441620.1495748289,,0,7,31283.451981472
8,441620.1495748289,,0,8,41383.605317152
9,441620.1495748289,,0,9,41702.525732768
10,441620.1495748289,,0,10,42324.500936768
11,462880.3313119985,,0,11,45145.954075424
12,658588.7005913744,,0,12,47083.618060832
13,658588.7005913744,,0,13,52647.424564384
14,658588.7005913744,,0,14,55634.385903935996
15,658588.7005913744,,0,15,62003.176750303996
16,658588.7005913744,,0,16,62329.66433407999
17,658588.7005913744,,0,17,65569.43615929599
18,658588.7005913744,,0,18,72460.73693625598
19,658588.7005913744,,0,19,74464.71491734398
20,658588.7005913744,,0,20,82612.14814083198
21,658588.7005913744,,0,21,84843.13479094398
22,658588.7005913744,,0,22,89836.95197337598
23,658588.7005913744,,0,23,98331.24570579198
24,658588.7005913744,,0,24,106076.19760387199
25,658588.7005913744,,0,25,111703.05211984
26,658588.7005913744,,0,26,117058.84848252799
27,658588.7005913744,,0,26,117756.31841913599
28,658588.7005913744,,0,27,121421.4974464
29,658588.7005913744,,0,28,122881.555914432
30,658588.7005913744,,0,29,125534.9152296
31,658588.7005913744,,0,30,126127.055272896
32,658588.7005913744,,0,31,131938.849873856
33,658588.7005913744,,0,32,133223.217220352
34,658588.7005913744,,0,33,135794.05002272
35,658588.7005913744,,0,34,138179.10968656
36,658588.7005913744,,0,35,140716.898097024
37,658588.7005913744,,0,36,150178.558089056
38,658588.7005913744,,0,37,151741.84527974398
39,658588.7005913744,,0,38,153675.36321488
40,658588.7005913744,,0,39,159082.427127328
