accepted_candidates,best_l0,best_l1,l1_promotions,niches,cumulative_worker_seconds
1,7005.5327646904025,,1,1,2938.87277648
2,7005.5327646904025,,1,2,9515.441044544
3,441620.1495748289,,1,3,13206.646901504
4,441620.1495748289,,1,4,19387.55085072
5,441620.1495748289,,1,5,26454.212223552
6,441620.1495748289,,1,6,29118.5980288
7,441620.1495748289,,2,7,35118.75835088
8,441620.1495748289,,2,8,45218.91168656
9,441620.1495748289,,2,9,45537.832102176
10,441620.1495748289,,2,10,46159.807306176
11,462880.3313119985,,2,11,48981.260444832
12,658588.7005913744,289300.2879062708,3,12,52312.020362808
13,658588.7005913744,289300.2879062708,3,13,57875.826866359996
14,658588.7005913744,289300.2879062708,3,14,60862.788205911995
15,658588.7005913744,289300.2879062708,3,15,67231.57905228
16,658588.7005913744,289300.2879062708,3,16,67558.066636056
17,658588.7005913744,289300.2879062708,3,17,70797.838461272
18,658588.7005913744,289300.2879062708,3,18,77689.13923823199
19,658588.7005913744,289300.2879062708,3,19,79693.11721931999
20,658588.7005913744,289300.2879062708,3,20,87840.55044280799
21,658588.7005913744,289300.2879062708,3,21,90071.53709291999
22,658588.7005913744,289300.2879062708,3,22,95065.35427535199
23,658588.7005913744,289300.2879062708,3,23,103559.64800776799
24,658588.7005913744,289300.2879062708,3,24,111304.599905848
25,658588.7005913744,289300.2879062708,3,25,116931.45442181599
26,658588.7005913744,289300.2879062708,3,26,122287.25078450398
27,658588.7005913744,289300.2879062708,3,26,122984.72072111198
28,658588.7005913744,289300.2879062708,3,27,126649.89974837599
29,658588.7005913744,289300.2879062708,3,28,128109.95821640799
30,658588.7005913744,289300.2879062708,3,29,130763.31753157599
31,658588.7005913744,289300.2879062708,3,30,131355.45757487198
32,658588.7005913744,289300.2879062708,3,31,137167.252175832
33,658588.7005913744,289300.2879062708,3,32,138451.619522328
34,658588.7005913744,289300.2879062708,3,33,141022.452324696
35,658588.7005913744,289300.2879062708,3,34,143407.511988536
36,658588.7005913744,289300.2879062708,3,35,145945.300399
37,658588.7005913744,289300.2879062708,3,36,155406.960391032
38,658588.7005913744,289300.2879062708,3,37,156970.24758171997
39,658588.7005913744,289300.2879062708,3,38,158903.765516856
40,658588.7005913744,289300.2879062708,3,39,164310.829429304
