accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
0,3-2-2-3-2-2-2-2-3-2-3-10,3-2-2-3-2-2-2-2-3-2-3-10|00000000000,L12-I11-Tnone-R0-F29y,Evolutionary,true,-326724.3602469536,326724.3602469536,370765.31971530453,3.3760471217555805,3.1756328780921455,4.051679999847726,10674.579531984527,3520000,2377545,2331.813832288
1,3-5-3-6-3-3-10,3-5-3-6-3-3-10|000000,L7-I4-TJS-R0-F23y,Evolutionary,true,-720813.2112471979,720813.2112471979,912341.3366037537,9.228447709822959,0.00000000000027921487344428896,6.728447709823238,8527.20933391223,3520000,1941397,2590.61640632
2,3-5-3-3-6-3-3-5-2-2-10,3-5-3-3-6-3-3-5-2-2-10|0000000000,L11-I7-TJSJ-R0-F27y,Evolutionary,true,-507114.9882333387,507114.9882333387,898250.4212837637,9.131079724501834,8.33684073441296,14.967920458914794,10086.27564747018,3520000,1961584,3292.598298576
3,3-6-3-5-3-5-6-3-10,3-6-3-5-3-5-6-3-10|00000000,L9-I4-TSJJS-R0-F20y,Evolutionary,true,-84548.11809666095,84548.11809666095,844096.3109238587,16.347845801733623,43.51507253627756,57.362918338011184,7578.649579312911,3520000,2030750,4744.686337744
4,3-3-6-3-2-2-3-3-5-10,3-3-6-3-2-2-3-3-5-10|000000001,L10-I7-TSJ-R1-F29y,Evolutionary,true,-992644.8821826437,992644.8821826437,1742813.5218479335,5.2430579638461285,12.0084287026473,14.75148666649343,10601.790786810689,3520000,1894182,2740.359617904
5,3-5-10,3-5-10|01,L3-I1-TJ-R1-F4y,Evolutionary,true,-945362.1847796211,945362.1847796211,1753566.5069935387,10.88674650078754,7.712071019399254,16.098817520186792,1716.3079661974928,3520000,1738349,361.55000848
6,3-2-2-3-5-2-2-2-3-2-3-10,3-2-2-3-5-2-2-2-3-2-3-10|00000000000,L12-I10-TJ-R0-F21y,Evolutionary,true,-655028.6308908932,655028.6308908932,878030.2116910341,3.2489886741852962,7.385926298097405,8.1349149722827,7775.76067721735,3520000,2329911,2822.41543256
7,3-3-5-2-5-3-10,3-3-5-2-5-3-10|000000,L7-I4-TJJ-R0-F26y,Evolutionary,true,-623462.6476439513,623462.6476439513,914047.6077196294,4.9477930912822226,7.883609091118441,10.331402182400662,9540.553140159886,3520000,1685275,1435.656367792
8,3-5-6-3-3-10,3-5-6-3-3-10|00000,L6-I3-TJS-R0-F20y,Evolutionary,true,-617145.2789284374,617145.2789284374,801575.446221199,9.310211334725095,0.5517578460261523,7.361969180751247,7619.900203997253,3520000,1674355,1916.490473312
9,3-3-3-2-6-10,3-3-3-2-6-10|00000,L6-I4-TS-R0-F18y,Evolutionary,true,-724964.6255208945,724964.6255208945,1145890.494943761,3.4433119755439607,11.232247306196282,12.175559281740242,6663.388174150188,3520000,1751983,1576.809772384
10,3-3-3-2-2-6-10,3-3-3-2-2-6-10|000000,L7-I5-TS-R0-F16y,Evolutionary,true,-730208.4396576132,730208.4396576132,935365.4840432061,4.984788140737717,4.537201039045846,7.021989179783563,6071.554057764959,3520000,1832207,1925.49206824
11,3-3-3-2-2-6-2-10,3-3-3-2-2-6-2-10|0000000,L8-I6-TS-R0-F23y,Evolutionary,true,-681319.2680750291,681319.2680750291,916225.4877963013,3.7080552872287615,7.006034277664861,8.214089564893623,8493.102650714263,3520000,2017383,2549.990787456
12,3-6-3-2-6-3-2-5-3-6-2-2-10,3-6-3-2-6-3-2-5-3-6-2-2-10|000000000000,L13-I8-TSSJS-R0-F25y,Evolutionary,true,-73170.86283222519,73170.86283222519,744550.6011427223,11.719676319042307,48.6099831540674,57.82965947310971,9475.78408975076,3520000,1944881,5727.462461456
13,3-3-6-2-6-3-10,3-3-6-2-6-3-10|000000,L7-I4-TSS-R0-F17y,Evolutionary,true,-146395.91578024722,146395.91578024722,893189.6055014743,5.244848982660381,42.544572876654726,45.289421859315105,6508.793802268648,3520000,1655165,2458.711478848
14,3-6-6-2-2-2-6-10,3-6-6-2-2-2-6-10|0000000,L8-I4-TSSS-R0-F25y,Evolutionary,true,-239471.43293973638,239471.43293973638,1180971.704051342,12.147364231846867,30.424295774122427,40.07166000596929,9238.272087370995,3520000,1848135,4070.42892176
15,3-6-10,3-6-10|00,L3-I1-TS-R0-F6y,Evolutionary,true,-643231.0428246554,643231.0428246554,900447.749328126,11.698595773016008,0.000000000000003637978807091713,9.198595773016011,2423.68214706529,3520000,1751582,1106.465352368
16,3-5-5-10,3-5-5-10|001,L4-I1-TJJ-R1-F20y,Evolutionary,true,-833180.8083588883,833180.8083588883,1719123.3146912814,9.555471216145328,11.653881070131819,18.709352286277145,7380.481715024787,3520000,1813121,960.327124336
17,3-2-2-3-6-2-2-2-3-2-3-10,3-2-2-3-6-2-2-2-3-2-3-10|00000000000,L12-I10-TS-R0-F26y,Evolutionary,true,-533097.7249895774,533097.7249895774,819485.2039715832,3.8191058995489056,10.17383967657218,11.492945576121086,9554.836011064668,3520000,2277667,3182.146329936
18,3-3-2-2-6-2-10,3-3-2-2-6-2-10|000000,L7-I5-TS-R0-F19y,Evolutionary,true,-693342.7970728637,693342.7970728637,917639.6974578919,4.831110957227988,5.491909318311102,7.82302027553909,6974.491656812971,3520000,1785929,1633.062049472
19,3-5-2-3-6-2-5-2-3-10,3-5-2-3-6-2-5-2-3-10|000000000,L10-I6-TJSJ-R0-F22y,Evolutionary,true,-500302.85663076595,500302.85663076595,893013.2122353056,9.278185863875485,8.37793970099089,15.156125564866375,8189.720868121771,3520000,1857241,2990.25018712
20,3-3-3-3-2-6-10,3-3-3-3-2-6-10|000000,L7-I5-TS-R0-F17y,Evolutionary,true,-691289.65112217,691289.65112217,935330.2439041113,2.453980942245126,8.363868366980762,8.363868366980762,6270.230242829237,3520000,1849060,2007.410957024
