accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
1,326724.3602469536,1,326724.3602469536,1,2331.813832288
2,720813.2112471979,2,1047537.5714941516,2,4922.430238608
3,720813.2112471979,3,1554652.5597274902,3,8215.028537184
4,720813.2112471979,4,1639200.6778241512,4,12959.714874928
5,992644.8821826437,5,2631845.5600067945,5,15700.074492832
6,992644.8821826437,6,3577207.7447864157,6,16061.624501312
7,992644.8821826437,7,4232236.375677309,7,18884.039933872
8,992644.8821826437,8,4855699.023321261,8,20319.696301664
9,992644.8821826437,9,5472844.302249698,9,22236.186774976
10,992644.8821826437,10,6197808.927770593,10,23812.99654736
11,992644.8821826437,11,6928017.367428206,11,25738.4886156
12,992644.8821826437,12,7609336.635503234,12,28288.479403056
13,992644.8821826437,13,7682507.498335459,13,34015.941864512
14,992644.8821826437,14,7828903.414115706,14,36474.653343360005
15,992644.8821826437,15,8068374.847055443,15,40545.08226512001
16,992644.8821826437,16,8711605.8898801,16,41651.54761748801
17,992644.8821826437,17,9544786.69823899,17,42611.87474182401
18,992644.8821826437,18,10077884.423228567,18,45794.021071760006
19,992644.8821826437,19,10771227.220301433,19,47427.083121232004
20,992644.8821826437,20,11271530.0769322,20,50417.333308352005
21,992644.8821826437,20,11889648.865222143,21,52424.74426537601
22,992644.8821826437,20,12360714.944093492,22,53445.82332646401
23,992644.8821826437,20,12646185.384547224,23,58845.70742918401
24,992644.8821826437,20,13003805.16573098,24,61622.457532720015
25,992644.8821826437,20,13356117.837698175,25,63034.15309977601
26,992644.8821826437,20,13521959.861226816,26,65155.332181072015
27,992644.8821826437,20,13667404.224267697,27,66786.59397993602
28,992644.8821826437,20,13667404.224267697,28,71158.35598729602
29,992644.8821826437,20,13834109.078325944,29,72852.87279715201
30,992644.8821826437,20,13900548.289879145,30,74899.51439566401
31,992644.8821826437,20,14061108.20177086,30,76821.83630392
32,992644.8821826437,20,14267078.55308878,31,81269.56048784
33,992644.8821826437,20,14593969.654902695,32,83804.804769824
34,992644.8821826437,20,14593969.654902695,33,87232.11738744
35,992644.8821826437,20,14593969.654902695,34,89790.639234528
36,992644.8821826437,20,14593969.654902695,35,93437.282895872
37,992644.8821826437,20,14593969.654902695,36,95353.64784321601
38,992644.8821826437,20,14699052.794856157,37,96906.10443808
39,1027696.0637013385,20,15109603.579629058,38,98030.722230032
40,1090093.2113418397,20,15576234.143326946,39,99532.73166776
41,1090093.2113418397,20,15763588.673138574,40,103985.527741408
42,1090093.2113418397,20,15907462.533588866,41,106981.41461734401
43,1090093.2113418397,20,16130168.642299512,42,109279.23298120001
44,1090093.2113418397,20,16289411.134554991,43,113453.94643128001
45,1090093.2113418397,20,16289411.134554991,44,115417.10968499201
46,1090093.2113418397,20,16615378.881595049,45,117044.42058041602
47,1090093.2113418397,20,16615378.881595049,46,123388.11908169602
48,1090093.2113418397,20,16845721.699676298,47,125540.80450667202
49,1090093.2113418397,20,16845721.699676298,48,129079.37462182403
50,1278762.7601553488,20,17433194.808709476,49,130749.37997816002
51,1278762.7601553488,20,17433194.808709476,50,134747.61888278404
