accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
0,3-3-2-2-3-3-5-10,3-3-2-2-3-3-5-10|0000001,L8-I6-TJ-R1-F14y,Agent,true,-1229666.0368300583,1229666.0368300583,1766832.944639748,2.500234849638571,9.837211956725206,9.837446806363776,5266.041717315364,3520000,1885296,1833.450877504
1,3-3-3-2-3-2-3-2-3-5-10,3-3-3-2-3-2-3-2-3-5-10|0000000001,L11-I9-TJ-R1-F20y,Agent,true,-1126049.7164165825,1126049.7164165825,1638963.741888842,2.883147718124531,9.770624014485744,10.153771732610275,7649.316588926233,3520000,2144033,2641.737359488
2,3-3-3-6-5-10,3-3-3-6-5-10|00011,L6-I3-TSJ-R1-F21y,Agent,true,-1205589.9845110306,1205589.9845110306,1709129.9128318129,5.560602175390423,6.44756988128305,9.508172056673473,7789.772783975299,3520000,1641000,2007.660346192
3,3-3-2-3-2-3-2-2-3-3-5-10,3-3-2-3-2-3-2-2-3-3-5-10|00000000001,L12-I10-TJ-R1-F25y,Agent,true,-1262884.1393621985,1262884.1393621985,1758145.7976927713,3.086259200939763,8.476844608209664,9.063103809149426,9385.790616047261,3520000,2311944,3340.914453728
4,3-3-3-2-3-5-3-10,3-3-3-2-3-5-3-10|0000000,L8-I6-TJ-R0-F18y,Agent,true,-766937.4312197221,766937.4312197221,849131.5697359645,2.500000000035777,3.4475045970690643,3.4475045971048415,6737.787301123632,3520000,1823956,1729.341543424
5,3-5-6-3-2-5-2-2-2-6-10,3-5-6-3-2-5-2-2-2-6-10|0000000000,L11-I6-TJSJS-R0-F25y,Agent,true,-227565.5532764888,227565.5532764888,877330.9248303124,9.1446854553228,27.390667432146312,34.03535288746912,9241.34995890397,3520000,1921487,4786.376553376
6,3-2-6-5-6-10,3-2-6-5-6-10|00100,L6-I2-TSJS-R2-F21y,Agent,true,-692009.9887500745,692009.9887500745,1148955.5837927249,5.293586076199996,10.58803800742774,13.381624083627734,7926.830892756785,3520000,1779643,3211.090471744
7,3-2-2-3-3-3-5-5-5-3-5-2-3-10,3-2-2-3-3-3-5-5-5-3-5-2-3-10|0000000000000,L14-I9-TJJJJ-R0-F27y,Agent,true,-123369.65683380485,123369.65683380485,902875.3115906002,3.0798031411712876,49.1695628580102,49.74936599918149,10059.912804710235,3520000,2304973,5206.500584464
8,3-6-5-2-10,3-6-5-2-10|0100,L5-I2-TSJ-R2-F16y,Agent,true,-603413.6567177592,603413.6567177592,913523.5829160067,11.631326472153448,1.987364127453298,11.118690599606747,6163.2964739620265,3520000,2048913,3162.063914944
9,3-3-3-5-6-10,3-3-3-5-6-10|00000,L6-I3-TJS-R0-F10y,Agent,true,-635855.1322545375,635855.1322545375,832388.6975373094,2.5000000025771203,7.554525590168484,7.554525592745604,3777.7522779393476,3520000,1654741,2082.006568576
10,3-3-3-3-2-3-3-5-10,3-3-3-3-2-3-3-5-10|00000001,L9-I7-TJ-R1-F22y,Agent,true,-1124896.499248876,1124896.499248876,1766933.413970531,0.00026446429004949403,12.022085245924703,12.022085245924703,8103.870327193275,3520000,1875174,2203.459885936
11,3-3-3-5-3-3-5-10,3-3-3-5-3-3-5-10|0000001,L8-I5-TJJ-R1-F24y,Agent,true,-955098.5894245545,955098.5894245545,1774342.9446743482,6.8896651538203955,11.746712144662641,16.136377298483037,8843.741519757054,3520000,1871916,2619.496388944
12,3-3-2-3-3-5-10,3-3-2-3-3-5-10|000001,L7-I5-TJ-R1-F17y,Agent,true,-1233073.414582049,1233073.414582049,1765410.3910734276,4.393484166262282,7.856374211820826,9.749858378083108,6217.857347351868,3520000,1732199,1344.618081152
13,3-2-2-2-3-3-5-10,3-2-2-2-3-3-5-10|0000001,L8-I6-TJ-R1-F17y,Agent,true,-1272638.6199620871,1272638.6199620871,1767815.0024592113,3.766826570261915,7.742102815831678,9.008929386093593,6247.712946118154,3520000,1845694,1553.526788352
14,3-3-3-2-3-5-10,3-3-3-2-3-5-10|000001,L7-I5-TJ-R1-F16y,Agent,true,-1178927.949515964,1178927.949515964,1765158.1962707748,3.5424384778280373,9.804818165094792,10.84725664292283,5999.806003397335,3520000,1985127,1538.6045316
15,3-6-3-5-10,3-6-3-5-10|0001,L5-I2-TSJ-R1-F18y,Agent,true,-990358.455144115,990358.455144115,1607936.0899762437,10.941800454185206,4.39142398944998,12.833224443635185,6616.9348980643435,3520000,1846053,2460.593318176
16,3-2-2-2-3-6-3-5-10,3-2-2-2-3-6-3-5-10|00000001,L9-I6-TSJ-R1-F23y,Agent,true,-1097994.5700242561,1097994.5700242561,1444999.375810153,3.6903031240760864,6.494031464680596,7.684334588756682,8676.2569703804,3520000,1975030,3084.325781632
17,3-3-2-2-2-2-5-10,3-3-2-2-2-2-5-10|0000001,L8-I6-TJ-R1-F17y,Agent,true,-1114245.5563953167,1114245.5563953167,1771770.8006100182,4.551686039541921,10.270665961947337,12.322352001489257,6225.621136531982,3520000,1896983,1514.822764608
18,3-3-2-2-3-5-10,3-3-2-2-3-5-10|000001,L7-I5-TJ-R1-F17y,Agent,true,-1201251.9334382871,1201251.9334382871,1770298.5336871066,3.894332481681837,9.064313512138515,10.458645993820351,6384.485359267838,3520000,1768060,1279.679346944
19,3-3-3-2-3-3-5-2-10,3-3-3-2-3-3-5-2-10|00000000,L9-I7-TJ-R0-F19y,Agent,true,-899769.4392326348,899769.4392326348,917604.3039911048,3.445614462666537,0.48708402884055535,1.4326984915070924,6949.632028553342,3520000,2055357,2102.685021104
20,3-2-2-5-10,3-2-2-5-10|0001,L5-I3-TJ-R1-F12y,Agent,true,-1084926.3721912825,1084926.3721912825,1771810.6231351732,4.293797962469793,11.182851171480172,12.976649133949966,4668.929853885489,3520000,2002212,739.738045856
21,3-3-3-5-5-10,3-3-3-5-5-10|00001,L6-I3-TJJ-R1-F19y,Agent,true,-718864.2775075971,718864.2775075971,1728442.238500008,6.761481398907237,18.198527242221406,22.460008641128642,6943.730202274104,3520000,2114841,1845.839866512
22,3-2-6-6-10,3-2-6-6-10|0000,L5-I2-TSS-R0-F16y,Agent,true,-376564.47652495484,376564.47652495484,936120.1858033036,3.6387343515046933,22.138936082817203,23.277670434321898,6156.931832018755,3520000,1586352,2303.195112464
23,3-2-3-2-2-3-3-5-10,3-2-3-2-2-3-3-5-10|00000001,L9-I7-TJ-R1-F18y,Agent,true,-1266764.2092222257,1266764.2092222257,1767573.1614327482,3.267801805019821,8.351202438810564,9.119004243830386,6926.343944491906,3520000,1836558,1808.377001168
24,3-3-3-5-10,3-3-3-5-10|0001,L5-I3-TJ-R1-F13y,Agent,true,-960379.1953929834,960379.1953929834,1765777.2236875424,6.422614082280375,11.959945856301045,15.88255993858142,4879.1694641564545,3520000,1883267,826.003472128
25,3-2-2-2-3-3-6-10,3-2-2-2-3-3-6-10|0000000,L8-I6-TS-R0-F20y,Agent,true,-887685.5453448455,887685.5453448455,915184.1256485482,3.5283594649067584,0.6710800575194249,1.6994395224261833,7456.187969553256,3520000,1993099,2661.842584736
26,3-3-5-2-2-3-3-5-10,3-3-5-2-2-3-3-5-10|00000001,L9-I6-TJJ-R1-F21y,Agent,true,-946948.7072858969,946948.7072858969,1749682.2617930176,9.60789252758223,8.895449379610898,16.00334190719313,7954.563442520702,3520000,1870330,2589.098882112
27,3-3-2-3-2-3-3-5-10,3-3-2-3-2-3-3-5-10|00000001,L9-I7-TJ-R1-F17y,Agent,true,-1219761.691373978,1219761.691373978,1765182.9104580025,4.3459883153880945,8.166820588383247,10.012808903771342,6236.330216614917,3520000,1937427,2094.848370784
28,3-6-6-5-10,3-6-6-5-10|0011,L5-I1-TSSJ-R1-F22y,Agent,true,-615592.3337784357,615592.3337784357,1709884.2257499907,10.264062605851478,18.233516711325773,25.99757931717725,8130.200364886695,3520000,1618422,3207.650787088
29,3-2-3-2-2-3-5-10,3-2-3-2-2-3-5-10|0000001,L8-I6-TJ-R1-F15y,Agent,true,-1202336.5682845511,1202336.5682845511,1656698.8042673229,3.78491289729395,7.525633424542142,8.810546321836092,5719.304598637442,3520000,1753450,1429.507797648
30,3-3-3-2-2-3-5-3-10,3-3-3-2-2-3-5-3-10|00000000,L9-I7-TJ-R0-F21y,Agent,true,-693112.0961139346,693112.0961139346,865889.3122818861,2.8696054136579585,6.038439098477563,6.408044512135522,7699.794739510522,3520000,2125393,3060.890952576
31,3-2-3-3-5-10,3-2-3-3-5-10|00001,L6-I4-TJ-R1-F17y,Agent,true,-1237811.637669586,1237811.637669586,1766607.8802747824,4.201469737690807,7.9709854417258335,9.672455179416641,6440.614168465419,3520000,1682873,1004.962799312
32,3-3-2-3-2-2-2-3-3-5-10,3-3-2-3-2-2-2-3-3-5-10|0000000001,L11-I9-TJ-R1-F17y,Agent,true,-1216878.0800449532,1216878.0800449532,1750106.9557825243,2.5010856023185215,9.859461897923053,9.860547500241575,6506.777927533722,3520000,2134902,2477.410206848
33,3-3-3-2-3-3-3-5-10,3-3-3-2-3-3-3-5-10|00000001,L9-I7-TJ-R1-F22y,Agent,true,-1207278.5583157712,1207278.5583157712,1748886.715604048,3.1860335526326096,9.351583957860168,10.037617510492778,8258.814376518187,3520000,1901276,2005.337085872
34,3-2-6-2-2-3-3-5-10,3-2-6-2-2-3-3-5-10|00000001,L9-I6-TSJ-R1-F27y,Agent,true,-846813.5229811257,846813.5229811257,1290573.9184951708,4.3588921016841775,9.422970262653287,11.281862364337464,10123.158960014931,3520000,1963439,3153.464293136
35,3-2-2-2-3-5-10,3-2-2-2-3-5-10|000001,L7-I5-TJ-R1-F15y,Agent,true,-1230535.4360631476,1230535.4360631476,1766957.5483940325,4.991177239807303,7.330670876467325,9.821848116274628,5757.815415696388,3520000,1825082,1234.773632736
36,3-2-3-2-2-3-3-5-5-10,3-2-3-2-2-3-3-5-5-10|000000001,L10-I7-TJJ-R1-F23y,Agent,true,-587642.052447455,587642.052447455,1781406.431089732,2.93099193035299,27.710430386723353,28.14142231707634,8682.620365934328,3520000,1919363,2544.713903648
37,3-3-3-6-2-3-3-5-10,3-3-3-6-2-3-3-5-10|00000001,L9-I6-TSJ-R1-F27y,Agent,true,-776500.0333640376,776500.0333640376,1429196.1233974386,5.847557691225354,12.560810997290297,15.908368688515651,10158.163889838095,3520000,1819312,3144.377273504
38,3-2-3-3-5-3-10,3-2-3-3-5-3-10|000000,L7-I5-TJ-R0-F15y,Agent,true,-793056.7636973732,793056.7636973732,914871.9518159946,3.9916200679758522,2.9630370356013978,4.45465710357725,5609.85986310592,3520000,1694254,1320.651260544
39,3-3-2-2-2-5-10,3-3-2-2-2-5-10|000001,L7-I5-TJ-R1-F14y,Agent,true,-1130636.3347413316,1130636.3347413316,1713827.5461985755,5.496920472555146,8.152228746026122,11.149149218581268,5330.529760201952,3520000,1822604,1288.866508912
40,3-3-3-2-2-3-3-5-5-10,3-3-3-2-2-3-3-5-5-10|000000001,L10-I7-TJJ-R1-F22y,Agent,true,-713995.7088409654,713995.7088409654,1778408.761214443,9.39336995972988,16.431930145347863,23.325300105077744,8315.517326942469,3520000,2039108,3050.28225688
41,3-3-2-3-5-10,3-3-2-3-5-10|00001,L6-I4-TJ-R1-F11y,Agent,true,-1059805.491036815,1059805.491036815,1628176.649034855,3.9217280368086973,10.056600468624403,11.478328505433101,4318.891975781576,3520000,1907446,1121.8668764
42,3-3-2-3-2-3-2-2-3-5-10,3-3-2-3-2-3-2-2-3-5-10|0000000001,L11-I9-TJ-R1-F25y,Agent,true,-1209788.1614774112,1209788.1614774112,1678739.2108227091,4.881254724487695,6.601830395784416,8.983085120272111,9294.637405573438,3520000,2155060,2617.386569616
