accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
1,1229666.0368300583,1,1229666.0368300583,1,1833.450877504
2,1229666.0368300583,2,2355715.753246641,2,4475.188236992
3,1229666.0368300583,3,3561305.7377576716,3,6482.848583184001
4,1262884.1393621985,4,4824189.87711987,4,9823.763036912002
5,1262884.1393621985,5,5591127.308339592,5,11553.104580336001
6,1262884.1393621985,6,5818692.861616081,6,16339.481133712
7,1262884.1393621985,7,6510702.850366155,7,19550.571605456
8,1262884.1393621985,8,6634072.50719996,8,24757.07218992
9,1262884.1393621985,9,7237486.163917719,9,27919.136104864
10,1262884.1393621985,10,7873341.296172257,10,30001.14267344
11,1262884.1393621985,11,8998237.795421133,11,32204.602559376002
12,1262884.1393621985,12,9953336.384845687,12,34824.09894832
13,1262884.1393621985,13,11186409.799427735,13,36168.717029472005
14,1272638.6199620871,14,12459048.419389823,14,37722.243817824005
15,1272638.6199620871,15,13637976.368905785,15,39260.848349424006
16,1272638.6199620871,16,14628334.8240499,16,41721.441667600004
17,1272638.6199620871,17,15726329.394074155,17,44805.76744923201
18,1272638.6199620871,18,16840574.95046947,17,46320.590213840005
19,1272638.6199620871,19,18041826.88390776,17,47600.26956078401
20,1272638.6199620871,20,18941596.323140394,18,49702.95458188801
21,1272638.6199620871,20,19903153.038497873,19,50442.69262774401
22,1272638.6199620871,20,20394451.762728978,20,52288.532494256004
23,1272638.6199620871,20,20394451.762728978,21,54591.72760672
24,1272638.6199620871,20,21057802.31523345,22,56400.104607888
25,1272638.6199620871,20,21382326.378371894,23,57226.108080016005
26,1272638.6199620871,20,21578001.934966665,24,59887.950664752
27,1272638.6199620871,20,21806086.364744965,25,62477.049546864
28,1272638.6199620871,20,22258910.624899223,26,64571.897917648
29,1272638.6199620871,20,22258910.624899223,27,67779.548704736
30,1272638.6199620871,20,22573561.64783893,28,69209.05650238399
31,1272638.6199620871,20,22573561.64783893,29,72269.94745495998
32,1272638.6199620871,20,22911603.84627588,30,73274.91025427198
33,1272638.6199620871,20,23181533.21903494,31,75752.32046111998
34,1272638.6199620871,20,23433713.18792616,31,77757.65754699198
35,1272638.6199620871,20,23433713.18792616,32,80911.12184012798
36,1272638.6199620871,20,23703869.42859632,33,82145.89547286398
37,1272638.6199620871,20,23703869.42859632,34,84690.60937651197
38,1272638.6199620871,20,23703869.42859632,34,87834.98665001597
39,1272638.6199620871,20,23703869.42859632,35,89155.63791055996
40,1272638.6199620871,20,23844147.30819354,36,90444.50441947197
41,1272638.6199620871,20,23844147.30819354,37,93494.78667635197
42,1272638.6199620871,20,23844147.30819354,38,94616.65355275197
43,1272638.6199620871,20,23969009.097479664,39,97234.04012236798
44,1272638.6199620871,20,23969009.097479664,40,97836.37104380799
45,1272638.6199620871,20,24123866.99899559,40,99122.09853126398
46,1272638.6199620871,20,24149830.161029242,41,100380.77640758398
47,1272638.6199620871,20,24149830.161029242,42,102493.05642151998
48,1330185.1396590923,20,24355118.801439457,42,104172.72069924799
49,1330185.1396590923,20,24355118.801439457,42,106621.19353638399
50,1330185.1396590923,20,24355118.801439457,43,108882.68616455999
51,1330185.1396590923,20,24355118.801439457,44,110794.38303524799
52,1330185.1396590923,20,24355118.801439457,45,112593.55002911999
53,1330185.1396590923,20,24368263.295850463,45,114337.23941595199
54,1330185.1396590923,20,24368263.295850463,46,116896.35634918399
55,1330185.1396590923,20,24417252.938511297,47,119049.436623936
56,1330185.1396590923,20,24417252.938511297,47,120586.347632448
57,1330185.1396590923,20,24541479.293824676,47,121934.424031552
58,1330185.1396590923,20,24541479.293824676,48,124226.738272432
59,1330185.1396590923,20,24541479.293824676,49,126258.025163392
60,1330185.1396590923,20,24541479.293824676,50,127873.60003312
61,1330185.1396590923,20,24541479.293824676,51,130865.651468592
62,1330185.1396590923,20,24698705.524939194,52,135072.07997272
63,1330185.1396590923,20,24698705.524939194,53,137410.04360272002
64,1330185.1396590923,20,24721547.361243803,54,140740.49251984002
65,1330185.1396590923,20,24793537.792293627,54,142785.071263552
66,1330185.1396590923,20,24793537.792293627,55,145224.107211792
67,1330185.1396590923,20,24833032.32738151,56,147135.185413888
68,1330185.1396590923,20,24833032.32738151,57,149775.587820336
69,1431211.5045940625,20,25062474.046154995,58,153597.421687504
70,1431211.5045940625,20,25062474.046154995,58,155206.66312366398
71,1431211.5045940625,20,25270865.014463812,59,159175.43802523197
72,1431211.5045940625,20,25270865.014463812,60,161168.44130905595
73,1431211.5045940625,20,25270865.014463812,61,165185.37076305595
74,1431211.5045940625,20,25270865.014463812,62,168161.33693615996
75,1431211.5045940625,20,25467842.87802126,63,170899.29207620796
76,1431211.5045940625,20,25467842.87802126,64,173980.76558161597
77,1431211.5045940625,20,25467842.87802126,65,176529.82999718396
78,1431211.5045940625,20,25467842.87802126,66,179943.93925948796
79,1431211.5045940625,20,25467842.87802126,66,182075.18400788796
80,1431211.5045940625,20,25467842.87802126,67,184587.97036356796
81,1431211.5045940625,20,25480504.634307683,68,188042.66916977597
82,1431211.5045940625,20,25609588.605115086,69,190848.97507961598
83,1431211.5045940625,20,25609588.605115086,70,195637.191080848
84,1431211.5045940625,20,25684492.59191361,70,198172.463092736
85,1431211.5045940625,20,25684492.59191361,71,202618.1848104
86,1431211.5045940625,20,25729802.41218057,72,206436.462551056
87,1431211.5045940625,20,25926430.60443733,72,211279.001841232
88,1431211.5045940625,20,25926430.60443733,73,213014.99414848
89,1444267.9487537509,20,26141032.51636102,74,216463.69652974402
90,1444267.9487537509,20,26141032.51636102,75,218670.11611385603
91,1444267.9487537509,20,26141032.51636102,76,223172.06898438404
92,1444267.9487537509,20,26141032.51636102,77,227942.85086678405
93,1444267.9487537509,20,26321091.12040054,78,230705.91065728004
94,1444267.9487537509,20,26531544.45135318,78,233796.09730364804
95,1444267.9487537509,20,26531544.45135318,79,237402.41617622404
96,1444267.9487537509,20,26531544.45135318,79,240988.52909931203
97,1444267.9487537509,20,26690043.66383936,80,245190.27413214403
98,1444267.9487537509,20,26690043.66383936,81,249719.81682822402
99,1509902.0915819646,20,26959199.286895152,81,253277.60927088003
100,1509902.0915819646,20,26964276.02627144,81,256243.40573249603
