accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
0,3-2-2-6-6-2-3-3-2-6-3-3-5-10,3-2-2-6-6-2-3-3-2-6-3-3-5-10|0000000000001,L14-I9-TSSSJ-R1-F29y,Agent,true,-213983.4107704518,213983.4107704518,1526296.3852836317,7.955532629351964,43.66379659349786,49.11932922284982,10687.319788313469,3520000,2568988,10035.333456912
1,3-3-3-3-5-3-3-2-6-3-2-6-5-10,3-3-3-3-5-3-3-2-6-3-2-6-5-10|0000000000011,L14-I9-TJSSJ-R1-F29y,Agent,true,-531895.5469614336,531895.5469614336,1696441.7686728323,0.00020708954267503429,29.38688345372502,29.38688345372502,10676.859726919718,3520000,2358253,7901.414681456
2,3-5-5-2-2-6-6-2-3-10,3-5-5-2-2-6-6-2-3-10|000000000,L10-I5-TJJSS-R0-F23y,Agent,true,-154125.37387589747,154125.37387589747,862151.7013726175,9.30393190394974,36.356973158515494,43.16090506246523,8674.49651136221,3520000,1958057,4880.927472848
3,3-2-5-2-6-5-3-2-6-3-3-10,3-2-5-2-6-5-3-2-6-3-3-10|00001000000,L12-I7-TJSJS-R2-F28y,Agent,true,-128596.46532695199,128596.46532695199,579169.4429839274,5.417967981026726,34.92898070696378,37.846948687990505,10471.294735017265,3520000,2160842,5723.416725664
4,3-6-5-5-2-5-3-2-2-10,3-6-5-5-2-5-3-2-2-10|010000000,L10-I5-TSJJJ-R2-F27y,Agent,true,-79032.14545673097,79032.14545673097,839854.1019770508,12.503714454312165,48.88972115611456,58.89343561042673,10123.144062441937,3520000,2134916,5822.16174544
5,3-3-2-2-6-5-2-2-3-2-6-5-3-10,3-3-2-2-6-5-2-2-3-2-6-5-3-10|0000100000100,L14-I9-TSJSJ-R4-F27y,Agent,true,-124686.41471683899,124686.41471683899,787340.2235577188,4.352995064357822,44.27917051299762,46.13216557735544,9916.166608145368,3520000,2250853,6470.267338784
6,3-2-3-2-6-5-2-2-3-2-6-5-3-10,3-2-3-2-6-5-2-2-3-2-6-5-3-10|0000100000100,L14-I9-TSJSJ-R4-F29y,Agent,true,-165186.19514468714,165186.19514468714,897854.6366778256,5.085977117277315,39.87056609364255,42.45654321091987,10682.800334625905,3520000,2231443,6348.53252664
7,3-5-2-5-2-6-6-2-3-10,3-5-2-5-2-6-6-2-3-10|000000000,L10-I5-TJJSS-R0-F29y,Agent,true,-88519.21199345183,88519.21199345183,515592.0247721477,10.716440047336478,35.93570487856676,44.15214492590324,10858.339994859121,3520000,1945325,4305.651530672
8,3-2-3-2-6-5-2-2-3-2-6-6-3-10,3-2-3-2-6-5-2-2-3-2-6-6-3-10|0000100000000,L14-I9-TSJSS-R2-F28y,Agent,true,-99546.75585591716,99546.75585591716,702295.1542844644,5.8910003130576465,45.45926868573858,48.850268998796224,10290.980572478953,3520000,2287357,7177.386890608
9,3-2-2-5-6-2-3-3-2-6-3-3-5-10,3-2-2-5-6-2-3-3-2-6-3-3-5-10|0000000000001,L14-I9-TJSSJ-R1-F27y,Agent,true,-330870.68427928706,330870.68427928706,1710082.67649691,3.961492849548135,39.7602581003586,41.221750949906735,10218.812360975591,3520000,2279011,7207.49461152
10,3-2-2-6-5-2-3-3-2-5-3-3-6-10,3-2-2-6-5-2-3-3-2-5-3-3-6-10|0001000000000,L14-I9-TSJJS-R2-F25y,Agent,true,-330181.49186205125,330181.49186205125,872018.904539317,4.837231092023289,22.42403931109411,24.761270403117397,9392.630694623458,3520000,2244201,6657.94980496
11,3-2-3-2-5-6-2-2-3-2-5-5-3-10,3-2-3-2-5-6-2-2-3-2-5-5-3-10|0000000000000,L14-I9-TJSJJ-R0-F27y,Agent,true,-240458.42628764632,240458.42628764632,889097.7118097557,3.949873659146712,31.561027909280234,33.010901568426945,10095.353815927734,3520000,2288269,5903.359420096
12,3-3-3-2-5-6-2-2-3-2-5-5-3-10,3-3-3-2-5-6-2-2-3-2-5-5-3-10|0000000000000,L14-I9-TJSJJ-R0-F27y,Agent,true,-235173.44189022962,235173.44189022962,889094.7014543435,4.389591918014325,31.666082114455012,33.55567403246934,10005.01759969203,3520000,2261248,5824.524011792
13,3-2-3-2-5-6-2-2-3-2-6-5-3-10,3-2-3-2-5-6-2-2-3-2-6-5-3-10|0000000000100,L14-I9-TJSSJ-R2-F22y,Agent,true,-282565.70755301527,282565.70755301527,898139.2336752155,5.0762024059424915,26.72665911194951,29.302861517892,8175.361064669992,3520000,2419944,7452.9352928
