accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
1,213983.4107704518,1,213983.4107704518,1,10035.333456912
2,531895.5469614336,2,745878.9577318854,2,17936.748138368
3,531895.5469614336,3,900004.3316077829,3,22817.675611216
4,531895.5469614336,4,1028600.7969347348,4,28541.09233688
5,531895.5469614336,5,1107632.942391466,5,34363.254082319996
6,531895.5469614336,6,1232319.3571083047,6,40833.52142110399
7,531895.5469614336,7,1397505.552252992,7,47182.05394774399
8,531895.5469614336,8,1486024.7642464438,8,51487.70547841599
9,531895.5469614336,9,1585571.5201023612,9,58665.092369023994
10,531895.5469614336,10,1916442.2043816485,10,65872.586980544
11,531895.5469614336,11,2246623.696243699,11,72530.536785504
12,531895.5469614336,12,2487082.122531345,12,78433.8962056
13,531895.5469614336,13,2722255.5644215746,12,84258.420217392
14,531895.5469614336,14,3004821.27197459,13,91711.355510192
15,531895.5469614336,15,3280845.585098825,14,98870.49554912001
16,531895.5469614336,16,3679792.1140886815,15,104947.80388843201
17,828246.9463945681,17,4508039.06048325,16,109956.66931939201
18,828246.9463945681,18,4785773.049125816,17,115752.118825632
19,885939.5842566524,19,5671712.6333824685,18,122729.354480304
20,885939.5842566524,20,5965949.869681676,18,128340.240273824
21,885939.5842566524,20,6757899.801494185,19,134598.79446032
22,885939.5842566524,20,7013549.725063771,20,139363.35571656
23,885939.5842566524,20,7172894.328418834,21,145127.723852064
24,885939.5842566524,20,7174317.78223086,22,152901.23988865598
25,885939.5842566524,20,7419566.965597737,23,159560.179600224
26,885939.5842566524,20,7964889.991242429,23,168427.75179780798
27,885939.5842566524,20,8691451.291727995,24,174645.82136799998
28,885939.5842566524,20,8691451.291727995,25,181493.67735857598
29,885939.5842566524,20,9149967.879071094,26,187722.46898935997
30,885939.5842566524,20,9346280.028032422,26,193763.96075537597
31,885939.5842566524,20,9346280.028032422,27,200000.41239399998
32,885939.5842566524,20,9456712.874746397,27,205900.07140915198
33,885939.5842566524,20,9509482.96390918,28,212274.48305687998
34,1046541.3785808537,20,10297132.983279053,29,217203.35652841598
35,1046541.3785808537,20,10934364.333707534,30,223853.72845486397
36,1046541.3785808537,20,10934364.333707534,31,229428.51219015996
37,1046541.3785808537,20,11670290.368491195,31,235476.51657756796
38,1046541.3785808537,20,12375245.210321086,32,241693.55024443197
39,1046541.3785808537,20,12375245.210321086,33,249537.76404171198
40,1046541.3785808537,20,13060217.380871527,33,255169.842564864
