accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
0,3-2-2-3-2-2-2-2-3-2-3-10,3-2-2-3-2-2-2-2-3-2-3-10|00000000000,L12-I11-Tnone-R0-F20y,Random,true,-356422.1376126029,356422.1376126029,409748.27095333266,3.2535402940454397,3.6162372527018567,4.369777546747296,7522.957426337141,3520000,2544234,2277.38380728
1,3-5-3-6-3-3-10,3-5-3-6-3-3-10|000000,L7-I4-TJS-R0-F21y,Random,true,-724150.7084059345,724150.7084059345,919192.4627120253,9.120541422770286,0.17806887731094181,6.7986103000812275,7795.560148049135,3520000,1743646,2129.548633472
2,3-5-3-3-6-3-3-5-2-2-10,3-5-3-3-6-3-3-5-2-2-10|0000000000,L11-I7-TJSJ-R0-F24y,Random,true,-488047.2211929421,488047.2211929421,866670.3378690718,8.950296997676968,8.57978265606908,15.030079653746048,8930.807715958254,3520000,2002192,3568.091078864
3,3-6-3-5-3-5-6-3-10,3-6-3-5-3-5-6-3-10|00000000,L9-I4-TSJJS-R0-F28y,Random,true,-381368.44433973054,381368.44433973054,833970.5622271071,12.126535224148247,10.507553839813916,20.134089063962165,10575.324554425999,3520000,1895282,3793.138300688
4,3-3-6-3-2-2-3-3-5-10,3-3-6-3-2-2-3-3-5-10|000000001,L10-I7-TSJ-R1-F28y,Random,true,-941829.7339160477,941829.7339160477,1741852.6224273958,5.781195520713125,12.745081327444904,16.02627684815803,10451.224688697372,3520000,1983612,3042.46458808
5,3-5-10,3-5-10|01,L3-I1-TJ-R1-F4y,Random,true,-945362.1847796211,945362.1847796211,1753566.5069935387,10.88674650078754,7.712071019399254,16.098817520186792,1716.3079661974928,3520000,1771596,399.112196016
6,3-2-3-5-3-3-5-2-5-3-10,3-2-3-5-3-3-5-2-5-3-10|0000000000,L11-I7-TJJJ-R0-F27y,Random,true,-133185.98873914575,133185.98873914575,836911.8200836342,3.269884207618451,45.242483168816555,46.01236737643501,9966.604970481414,3520000,2019789,3714.380121824
7,3-2-6-3-3-5-2-10,3-2-6-3-3-5-2-10|0000000,L8-I5-TSJ-R0-F17y,Random,true,-635936.4013833959,635936.4013833959,901138.9474843323,4.550155885642329,7.4468744107361315,9.497030296378462,6443.808363905565,3520000,1745896,2150.785761184
8,3-3-6-2-6-6-10,3-3-6-2-6-6-10|000000,L7-I3-TSSS-R0-F20y,Random,true,-68901.86171957948,68901.86171957948,912468.6383663964,5.097109382929362,61.6923619206493,64.28947130357867,7647.6344160055105,3520000,1702918,3677.473306224
9,3-6-3-2-6-2-3-6-6-10,3-6-3-2-6-2-3-6-6-10|000000000,L10-I5-TSSSS-R0-F22y,Random,true,-83443.95388291235,83443.95388291235,1191354.9186760534,11.324709135561063,57.308432283469244,66.13314141903031,8093.066841104013,3520000,2019475,6374.178642992
10,3-3-6-6-3-2-6-3-10,3-3-6-6-3-2-6-3-10|00000000,L9-I5-TSSS-R0-F27y,Random,true,-241160.24379259045,241160.24379259045,903468.9291866703,8.593729789091478,27.2388339428095,33.332563731900976,10113.709710196857,3520000,1721863,3732.90176648
11,3-2-10,3-2-10|00,L3-I2-Tnone-R0-F3y,Random,true,-286558.52084469656,286558.52084469656,327049.3287510768,5.141682665027925,1.5501298227665046,4.191812487794429,1421.577136143525,3520000,1713126,173.183880432
12,3-6-2-3-5-2-6-2-2-2-5-2-10,3-6-2-3-5-2-6-2-2-2-5-2-10|000000000000,L13-I8-TSJSJ-R0-F29y,Random,true,-191802.96228342407,191802.96228342407,814222.6160682788,11.133302782118355,27.76347402796608,36.39677681008443,10612.478125151516,3520000,2010334,4590.885176416
13,3-3-2-3-2-3-5-3-10,3-3-2-3-2-3-5-3-10|00000000,L9-I7-TJ-R0-F18y,Random,true,-795988.1593038047,795988.1593038047,891922.5307446861,4.546384074217933,1.694977939671423,3.741362013889356,6895.944043365885,3520000,1961811,1889.385601152
14,3-6-3-6-3-3-10,3-6-3-6-3-3-10|000000,L7-I4-TSS-R0-F23y,Random,true,-187790.8249385841,187790.8249385841,893614.2924548151,10.690933384574631,31.005159661225743,39.196093045800374,8486.430416708694,3520000,1822468,2871.986152928
15,3-3-2-3-3-6-3-3-6-6-10,3-3-2-3-3-6-3-3-6-6-10|0000000000,L11-I7-TSSS-R0-F25y,Random,true,-294376.19159869413,294376.19159869413,931960.4487463146,2.616350093934924,29.088883180471626,29.20523327440655,9205.154702892007,3520000,2004663,4880.900749824
16,3-5-3-5-6-2-10,3-5-3-5-6-2-10|000000,L7-I3-TJJS-R0-F28y,Random,true,-590358.6716305822,590358.6716305822,917170.2195786528,10.531413692025518,3.7211929668400447,11.752606658865563,10240.956445326989,3520000,1657376,2347.728828976
17,3-2-3-5-2-3-3-3-2-10,3-2-3-5-2-3-3-3-2-10|000000000,L10-I8-TJ-R0-F22y,Random,true,-621247.8402707705,621247.8402707705,863909.6067878179,4.039197662117209,7.496359649676004,9.035557311793212,8191.94624934885,3520000,1998651,1955.9214424
18,3-3-6-3-3-6-6-6-2-2-10,3-3-6-3-3-6-6-6-2-2-10|0000000000,L11-I6-TSSSS-R0-F28y,Random,true,-210328.220667338,210328.220667338,879452.8593583757,2.5000080391650155,36.025721701353525,36.02572974051854,10521.821694146343,3520000,2200312,5934.493791232
19,3-2-5-2-3-2-3-5-2-3-5-10,3-2-5-2-3-2-3-5-2-3-5-10|00000000001,L12-I8-TJJJ-R1-F29y,Random,true,-849724.2811641387,849724.2811641387,1776589.814536551,3.7891883059866482,17.744273414586004,19.033461720572653,10728.912293382442,3520000,2162332,3118.464577808
20,3-3-6-5-6-2-2-3-10,3-3-6-5-6-2-2-3-10|00100000,L9-I5-TSJS-R2-F22y,Random,true,-389254.8171145405,389254.8171145405,852021.9729951964,5.089645697981298,17.56763558058065,20.157281278561946,8349.411963977633,3520000,1978988,3667.018720176
21,3-5-6-10,3-5-6-10|000,L4-I1-TJS-R0-F9y,Random,true,-612907.9496496794,612907.9496496794,832388.6975373259,9.022391204987727,1.9332673818148396,8.455658586802567,3439.391018557462,3520000,1764813,1710.00953752
22,3-2-6-3-5-10,3-2-6-3-5-10|00001,L6-I3-TSJ-R1-F27y,Random,true,-955146.4949395136,955146.4949395136,1766690.1425256599,4.247898313350819,14.281279582250214,16.029177895601034,10220.625229841698,3520000,1836602,2113.021942432
23,3-5-3-2-5-10,3-5-3-2-5-10|00001,L6-I3-TJJ-R1-F15y,Random,true,-923045.5535098375,923045.5535098375,1680087.755049565,10.592365857308343,7.542691274736025,15.635057132044366,5667.59562628619,3520000,1844713,1353.816263504
24,3-3-5-6-3-3-5-10,3-3-5-6-3-3-5-10|0000001,L8-I4-TJSJ-R1-F19y,Random,true,-977085.5322063601,977085.5322063601,1566195.7948708683,5.058979004605613,9.960210837307429,12.519189841913041,7022.3728639934225,3520000,1730228,2461.78719192
25,3-3-6-5-3-6-10,3-3-6-5-3-6-10|001000,L7-I3-TSJS-R2-F25y,Random,true,-507233.867236946,507233.867236946,933091.2027659533,7.87746294428198,10.517667900186883,15.895130844468863,9321.299731660409,3520000,1685820,2840.866065904
26,3-6-5-3-3-3-2-3-6-2-3-10,3-6-5-3-3-3-2-3-6-2-3-10|01000000000,L12-I8-TSJS-R2-F28y,Random,true,-330790.13079469383,330790.13079469383,858900.3785422446,11.99502886373383,14.849463537759915,24.344492401493746,10524.503135961852,3520000,2070818,4489.960133344
27,3-5-5-2-10,3-5-5-2-10|0000,L5-I2-TJJ-R0-F22y,Random,true,-593584.3275345546,593584.3275345546,861979.2371564353,9.758140187417307,2.8393266369348655,10.097466824352173,8345.485737891393,3520000,1646116,1027.929986096
28,3-6-5-5-6-10,3-6-5-5-6-10|01000,L6-I1-TSJJS-R2-F24y,Random,true,-328988.298446272,328988.298446272,896514.6922461967,11.494430768429813,16.53479529946903,25.529226067898847,9032.480671254401,3520000,2108696,4232.98778664
29,3-2-6-6-6-2-6-10,3-2-6-6-6-2-6-10|0000000,L8-I3-TSSSS-R0-F21y,Random,true,-96235.65594976438,96235.65594976438,1208469.6209538726,4.757385402273922,60.72877258797397,62.98615799024789,7798.1735804044165,3520000,1909177,5218.99231064
30,3-6-3-3-5-3-3-2-5-3-2-5-10,3-6-3-3-5-3-3-2-5-3-2-5-10|000000000001,L13-I8-TSJJJ-R1-F29y,Random,true,-392698.1978307247,392698.1978307247,1573383.5518693195,11.730077998543628,25.749077186843632,34.979155185387256,10864.642279283009,3520000,2065408,5465.980589104
31,3-3-5-2-2-3-3-10,3-3-5-2-2-3-3-10|0000000,L8-I6-TJ-R0-F19y,Random,true,-638922.5157515462,638922.5157515462,882851.6520890386,4.884901762599525,6.494630596935841,8.879532359535366,7182.096452822181,3520000,1871017,1416.873828064
32,3-6-2-2-3-6-5-2-10,3-6-2-2-3-6-5-2-10|00000100,L9-I5-TSSJ-R2-F26y,Random,true,-349799.83272795624,349799.83272795624,911440.1965877754,10.737367900994336,16.192836693994778,24.430204594989114,9699.78525293538,3520000,1821298,3357.634572016
33,3-5-6-3-2-3-2-10,3-5-6-3-2-3-2-10|0000000,L8-I5-TJS-R0-F25y,Random,true,-610171.682307908,610171.682307908,840589.7041474322,9.242431994397878,2.0632885707487985,8.805720565146675,9183.51628468139,3520000,1981584,3191.986647136
34,3-5-5-2-3-5-2-5-2-2-10,3-5-5-2-3-5-2-5-2-2-10|0000000000,L11-I6-TJJJJ-R0-F27y,Random,true,-68942.43529150728,68942.43529150728,865966.6160922966,9.794134368481549,55.69850444359848,62.99263881208003,9864.47689403748,3520000,2047308,3325.29512456
35,3-2-5-5-10,3-2-5-5-10|0001,L5-I2-TJJ-R1-F20y,Random,true,-873851.7527250721,873851.7527250721,1753761.7962873697,4.363879083842475,16.16608202648203,18.029961110324507,7628.727856360266,3520000,2030917,1195.082092816
36,3-3-10,3-3-10|00,L3-I2-Tnone-R0-F6y,Random,true,-214532.26481454272,214532.26481454272,240771.3179014891,4.590339702325294,1.690064533873341,3.780404236198635,2221.0237946305897,3520000,1667986,201.387191776
37,3-2-2-10,3-2-2-10|000,L4-I3-Tnone-R0-F10y,Random,true,-306964.3180576655,306964.3180576655,325615.35247662105,4.729973462513658,0.16763973842382868,2.3976132009374864,3708.4730387183577,3520000,1705139,261.475508912
38,3-2-5-2-3-5-3-6-2-2-2-2-3-10,3-2-5-2-3-5-3-6-2-2-2-2-3-10|0000000000000,L14-I10-TJJS-R0-F23y,Random,true,-310536.22067078314,310536.22067078314,873902.0343383052,6.18244429224769,22.63560994544613,26.318054237693822,8504.957592018269,3520000,2258643,4588.695635296
39,3-5-6-6-10,3-5-6-6-10|0000,L5-I1-TJSS-R0-F18y,Random,true,-452260.22703970794,452260.22703970794,936120.1869760581,8.769750765533908,12.517247431895594,18.786998197429504,6772.524733518219,3520000,1685539,3880.889611056
40,3-3-3-3-5-6-3-6-10,3-3-3-3-5-6-3-6-10|00000000,L9-I5-TJSS-R0-F19y,Random,true,-210441.29445026492,210441.29445026492,864461.2796158608,5.066757846268403,33.0242698114114,35.5910276576798,7144.571887168417,3520000,1849958,3646.464984752
41,3-3-2-3-2-6-6-5-5-2-10,3-3-2-3-2-6-6-5-5-2-10|0000001000,L11-I6-TSSJJ-R2-F23y,Random,true,-86309.77105706959,86309.77105706959,897043.7878923756,2.499999539233694,58.34888088557214,58.34888088557214,8561.079403427519,3520000,2096094,4493.045101888
42,3-3-6-2-3-5-2-2-2-6-2-3-3-10,3-3-6-2-3-5-2-2-2-6-2-3-3-10|0000000000000,L14-I10-TSJS-R0-F25y,Random,true,-134683.27589187605,134683.27589187605,733671.037475658,4.15162513609639,40.85885330700734,42.51047844310373,9215.174509707886,3520000,2222860,5350.150414928
43,3-5-6-2-2-2-10,3-5-6-2-2-2-10|000000,L7-I4-TJS-R0-F26y,Random,true,-626607.3628840686,626607.3628840686,789967.0067110002,9.055913844093936,0.07537188262242125,6.631285726716357,9528.938450210597,3520000,1826011,2016.693285488
44,3-5-3-2-3-3-3-6-10,3-5-3-2-3-3-3-6-10|00000000,L9-I6-TJS-R0-F20y,Random,true,-661102.7236193324,661102.7236193324,889486.7868528591,9.279202301468903,1.447242094862398,8.226444396331301,7621.821145324661,3520000,1860511,2588.231479456
45,3-5-6-5-3-10,3-5-6-5-3-10|00100,L6-I2-TJSJ-R2-F17y,Random,true,-511144.6406900385,511144.6406900385,893655.3741645982,11.613282183104387,5.534855509179321,14.648137692283708,6561.318007634869,3520000,1755942,2790.994585456
46,3-6-5-2-2-3-3-6-3-3-5-2-10,3-6-5-2-2-3-3-6-3-3-5-2-10|010000000000,L13-I8-TSJSJ-R2-F28y,Random,true,-347782.5285565958,347782.5285565958,886165.6596661499,11.55932726911934,14.823216222348334,23.882543491467672,10419.154427243737,3520000,2132393,5050.494390784
47,3-5-6-3-3-10,3-5-6-3-3-10|00000,L6-I3-TJS-R0-F19y,Random,true,-607710.3628686599,607710.3628686599,814099.175551166,10.16343110194427,0.4563264060149688,8.119757507959237,7232.912598504617,3520000,1777821,2172.44587392
48,3-3-6-6-6-2-2-2-6-10,3-3-6-6-6-2-2-2-6-10|000000000,L10-I5-TSSSS-R0-F25y,Random,true,-204818.55907116737,204818.55907116737,895461.6469205864,3.8507133209210958,35.768070167596946,37.11878348851804,9180.31562470677,3520000,1885160,5484.218798464
49,3-2-6-10,3-2-6-10|000,L4-I2-TS-R0-F10y,Random,true,-694493.5512068423,694493.5512068423,905816.6059683075,3.704047963015328,6.2603846449153835,7.4644326079307115,3767.421542170846,3520000,1607915,1105.018049424
50,3-6-10,3-6-10|00,L3-I1-TS-R0-F6y,Random,true,-643231.0428246534,643231.0428246534,900447.7492902613,11.698595771985135,0,9.198595771985135,2423.6821435472943,3520000,1732205,1193.264689472
51,3-3-2-2-3-5-6-6-10,3-3-2-2-3-5-6-6-10|00000000,L9-I5-TJSS-R0-F19y,Random,true,-507834.15701300616,507834.15701300616,912468.6359026629,2.5000085804828927,15.318197219876174,15.318205800359067,7271.673477743274,3520000,1853334,3484.538741936
52,3-3-3-3-5-6-10,3-3-3-3-5-6-10|000000,L7-I4-TJS-R0-F19y,Random,true,-544752.9057508408,544752.9057508408,926142.3151480117,4.404348156520154,12.058010353889935,13.96235851041009,7149.965825183295,3520000,1701942,2052.292352944
53,3-2-5-5-3-3-10,3-2-5-5-3-3-10|000000,L7-I4-TJJ-R0-F19y,Random,true,-431031.1894554386,431031.1894554386,861080.5402384164,5.396955370088373,15.020228631621812,17.917184001710183,6991.7829584292895,3520000,1760170,1497.419926736
