accepted_candidates,best_mga_score,portfolio_size,portfolio_score_sum,niches,cumulative_worker_seconds
1,356422.1376126029,1,356422.1376126029,1,2277.38380728
2,724150.7084059345,2,1080572.8460185374,2,4406.932440752
3,724150.7084059345,3,1568620.0672114796,3,7975.023519615999
4,724150.7084059345,4,1949988.5115512102,4,11768.161820304
5,941829.7339160477,5,2891818.2454672577,5,14810.626408384
6,945362.1847796211,6,3837180.4302468784,6,15209.7386044
7,945362.1847796211,7,3970366.4189860243,7,18924.118726224
8,945362.1847796211,8,4606302.82036942,8,21074.904487408
9,945362.1847796211,9,4675204.682088999,9,24752.377793632
10,945362.1847796211,10,4758648.635971911,10,31126.556436624
11,945362.1847796211,11,4999808.879764502,11,34859.458203104
12,945362.1847796211,12,5286367.400609199,12,35032.642083536
13,945362.1847796211,13,5478170.362892623,13,39623.527259951996
14,945362.1847796211,14,6274158.522196428,14,41512.91286110399
15,945362.1847796211,15,6461949.347135012,15,44384.899014031995
16,945362.1847796211,16,6756325.538733707,16,49265.799763856
17,945362.1847796211,17,7346684.210364289,17,51613.52859283199
18,945362.1847796211,18,7967932.0506350575,18,53569.450035231996
19,945362.1847796211,19,8178260.2713023955,19,59503.943826464
20,945362.1847796211,20,9027984.552466536,20,62622.408404272
21,945362.1847796211,20,9348337.507861495,21,66289.427124448
22,945362.1847796211,20,9877801.503628261,22,67999.43666196801
23,955146.4949395136,20,10699762.00982863,23,70112.4586044
24,955146.4949395136,20,11435016.738399886,24,71466.27486790401
25,977085.5322063601,20,12220299.308322823,25,73928.062059824
26,977085.5322063601,20,12517204.95489243,26,76768.92812572801
27,977085.5322063601,20,12606834.841894535,27,81258.888259072
28,977085.5322063601,20,12913860.648584394,28,82286.818245168
29,977085.5322063601,20,12948472.75543197,29,86519.80603180801
30,977085.5322063601,20,12948472.75543197,30,91738.798342448
31,977085.5322063601,20,13012182.654816424,31,97204.778931552
32,977085.5322063601,20,13320315.039773274,32,98621.652759616
33,977085.5322063601,20,13320315.039773274,33,101979.287331632
34,977085.5322063601,20,13574064.584468579,34,105171.273978768
35,977085.5322063601,20,13574064.584468579,35,108496.569103328
36,977085.5322063601,20,14066547.892853921,36,109691.651196144
37,977085.5322063601,20,14066547.892853921,37,109893.03838792
38,977085.5322063601,20,14066547.892853921,38,110154.513896832
39,977085.5322063601,20,14066547.892853921,39,114743.20953212799
40,977085.5322063601,20,14129553.302779088,40,118624.099143184
41,977085.5322063601,20,14129553.302779088,41,122270.564127936
42,977085.5322063601,20,14129553.302779088,42,126763.609229824
43,977085.5322063601,20,14129553.302779088,43,132113.759644752
44,977085.5322063601,20,14363462.467832431,44,134130.45293024
45,977085.5322063601,20,14572304.964412056,45,136718.684409696
46,977085.5322063601,20,14595402.383909151,46,139509.678995152
47,977085.5322063601,20,14595402.383909151,47,144560.173385936
48,977085.5322063601,20,14695878.879540864,48,146732.619259856
49,977085.5322063601,20,14695878.879540864,49,152216.83805832
50,977085.5322063601,20,14879227.79005767,50,153321.85610774398
51,977085.5322063601,20,14932100.161251742,51,154515.120797216
52,977085.5322063601,20,14932100.161251742,51,157999.659539152
53,977085.5322063601,20,14932100.161251742,52,160051.951892096
54,977085.5322063601,20,14932100.161251742,53,161549.371818832
55,1021730.5761431757,20,15360246.409860363,54,163821.871432032
56,1021730.5761431757,20,15360246.409860363,54,167062.71947288
57,1021730.5761431757,20,15372622.795198591,55,169584.128553712
58,1021730.5761431757,20,15401253.29259723,56,173771.213765632
59,1021730.5761431757,20,15401253.29259723,57,177390.43771995202
60,1021730.5761431757,20,15401253.29259723,58,183382.76492534403
61,1021730.5761431757,20,15401253.29259723,58,188698.06026521605
62,1021730.5761431757,20,15401253.29259723,59,193314.94843403203
63,1021730.5761431757,20,15401253.29259723,60,197345.46921270405
64,1021730.5761431757,20,15401253.29259723,61,200832.96126128006
65,1021730.5761431757,20,15401253.29259723,62,205503.25343366407
66,1021730.5761431757,20,15401253.29259723,63,209333.28719912007
67,1231200.1137866538,20,16019545.456734207,64,212115.29476851207
68,1231200.1137866538,20,16159248.903455148,65,215165.88428886406
69,1231200.1137866538,20,16167588.277341174,66,215695.03467924806
