candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,sharpness,error_ratio,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.472020253255133,0.5493846046359308,0.13918708227554247,0.35942523675556787,0.7140086845138064,0.07092057059139766,0.08587257617728532,0.5535714285714286,0.028,0.1366601629163738,-1.115260062204484,75,990,2154622.6,1363.8,26164,0.16412742382271467,-0.986918,5,620,7.097824462,,124,10,22,48,0.48669464980417354,0.9901357077912836,1.0844919164193525,1
1,0,15.353830040882094,0.5102774784864348,0.13729400027218552,0.34196017800614587,0.6936523013323103,0.03264278180952289,0.11542012927054478,0.5434782608695652,0.03833333333333333,0.14811213196706757,-0.9565127419058933,105,958,1471932.6,577.2,16730,0.1345798707294552,-0.991635,5,175,2.612691866,,35,16,12,6,0.5999558188728016,0.8771957064222513,1.3080721122599022,0
2,0,15.760108895914412,0.47611871431951697,0.13979042997971086,0.3443715718150585,0.6939044087531696,0.06236839771929819,0.013850415512465374,0.4838709677419355,0.005166666666666667,0.1004146707944381,-1.7985287838305042,16,1068,3081558.4,1140,103265,0.23614958448753462,-0.9483675,5,475,3.439165549,,95,11,4,4,0.45335236873498064,0.6307005190976533,1.0443841065567976,0
3,1,0.5475087616779997,0.5475087616779997,0.1748305119463046,0.3476833789511854,0.6991020468869099,0.13764581116666677,0.4422899353647276,0.3409252669039146,0.23416666666666666,0.2713292252539995,0.18532435949202816,926,604,1083018.4,1232,22352,-0.1922899353647276,-0.988824,5,880,8.154433812,,176,6,8,10,0.9998599528945658,0.5806170052005367,3.502389223847827,1
4,0,15.571743244944884,0.9570513891216087,0.1465794787597437,0.3252509489127566,0.6836962647351389,0.10052035700000063,0.060941828254847646,0.515625,0.021333333333333333,0.127544654286838,-1.2084072285471583,62,1017,246004.2,252.4,1968,0.18905817174515235,-0.999016,5,120,0.516541798,,24,10,46,4,0.4024304261024773,0.6455676172606744,1.2102108425213498,0
5,0,15.79334989314433,0.5116200023298239,0.14715243971394054,0.35526084189357016,0.705259477220287,0.10463839179710273,0.00554016620498615,0.5454545454545454,0.0018333333333333333,0.07822529798757148,-2.254467510467076,5,1077,6415065.2,3441.8,338790,0.24445983379501385,-0.830605,5,1150,12.012326617,,230,14,4,37,0.6145820080939327,0.7150254406913682,0.5818177594784856,1
6,0,15.767495784187727,0.4333486208083338,0.13533714548950315,0.35861503425787766,0.7037181947944372,0.018216244725738007,0.012003693444136657,0.5909090909090909,0.0036666666666666666,0.09069890250485434,-2.029789470831856,9,1070,8431602.2,3186,132088,0.23799630655586335,-0.933956,5,790,6.107297751,,158,21,5,7,0.4362439867738384,0.5554798140844686,1.0211135583521582,1
7,1,0.5050503162252723,0.5050503162252723,0.14904485259546055,0.34793552020001534,0.6976027354171584,0.08267611633755283,0.2917820867959372,0.4,0.13166666666666665,0.21937007239986567,-0.20866761040664542,474,767,970048.2,1106,20066,-0.0417820867959372,-0.989967,5,790,5.608934491,,158,6,14,33,0.9190047133714492,0.5436698300364626,2.765338758442055,0
8,0,15.815510557964274,2.4812918160696085,0.1804685885800822,0.1802222362125409,0.498913262089748,0.18038487873188405,0,0,0,0.0012419163216550743,-3.0350292822023683,0,1083,114438.2,368,1380,0.25,-0.99931,5,460,1.3557658639999999,,92,3,12,46,0.8547112188567891,0.3624035473056715,0.5436570215973804,0
9,0,15.464633364981818,0.674058226534197,0.14246440177799555,0.3060315231172062,0.6678511490183021,0.052433111166666956,0.08771929824561403,0.46798029556650245,0.03383333333333333,0.14970018919245534,-0.9577697936565558,108,988,701892.8,282.6,115515,0.16228070175438597,-0.9422425,5,75,1.5006461359999999,,15,18,1,37,0.8024364438932172,0.8344883186719163,0.9584728774371509,1
10,0,15.630838351131402,1.1959177751761565,0.15305986466721117,0.2616448757209434,0.6247303577333881,0.096766127833334,0.046168051708217916,0.47619047619047616,0.0175,0.12270930245876209,-1.2663325117517232,55,1033,339366.4,130,24920,0.20383194829178208,-0.98754,5,50,0.639872531,,10,12,2,3,0.519494345427586,0.981435789394663,0.6243003157791729,0
11,0,15.726867898684496,0.4555825877842917,0.13676571521173025,0.3507640926138696,0.693541223835522,0.03447837422839507,0.0221606648199446,0.6666666666666666,0.006,0.10642423941374386,-1.9113625129579335,12,1059,1129084.6,648,11340,0.2278393351800554,-0.99433,5,270,1.33798078,,54,11,24,10,0.5277752652891262,0.3791975930194208,1.6069043093574913,0
12,0,15.132223392682649,0.486658565730715,0.1550473924251467,0.3112596508293727,0.6794701556455819,0.12613821121544688,0.17082179132040629,0.43023255813953487,0.07166666666666667,0.12257478578047393,-0.5628245846298496,245,898,2954785.6,738,168633,0.07917820867959371,-0.9156835,5,205,1.457025989,,41,17,1,5,0.42856393148427835,0.36086823794376344,3.0274718332134936,1
13,0,15.165464389912565,1.262607506197863,0.15418806128407817,0.30326166548450156,0.6557899919832657,0.12192001258730208,0.16251154201292706,0.4512820512820513,0.065,0.18350969874036172,-0.6256473886054797,214,907,73803.8,126,1323,0.08748845798707294,-0.9993385,5,105,0.624852842,,21,5,31,3,0.5124966836205977,0.867585489479143,1.6558335396267536,0
14,0,15.808123669690959,2.04633919767405,0.17049638233425127,0.23666400117859787,0.571761602715887,0.16556576316666663,0.0018467220683287165,0.6666666666666666,0.0005,0.053860513146237486,-2.7331972651065692,1,1081,108292.8,107,1010,0.24815327793167127,-0.999495,5,50,0.495349802,,10,10,49,8,0.5214849317573461,0.8161666423719135,0.5008512047532707,1
15,0,15.815510557964274,2.479572822894122,0.18045661725375545,0.18024919073242696,0.49916677793195297,0.1803128394539007,0,0,0,0.0025662452620753436,-3.0350292822023683,0,1083,126324.2,376,1410,0.25,-0.999295,5,470,3.880953705,,94,3,1,4,0.8922817952889448,0.8881822366342718,0.8115595115798927,0
16,0,15.767495784187727,0.6215712590555849,0.14640315711565954,0.3405085652162489,0.6855025181634712,0.09967458334946241,0.012003693444136657,0.6842105263157895,0.0031666666666666666,0.0904855721832383,-2.184691430817599,6,1070,1224931.4,620,33542,0.23799630655586335,-0.983229,5,310,3.660479715,,62,9,11,2,0.6222422760469111,0.5965426022603569,0.99086816326813,1
17,0,15.527421915304993,0.6671195590810689,0.14150378614044232,0.33541829216624663,0.6886748464022628,0.07085833585858524,0.07202216066481995,0.5909090909090909,0.022,0.1338723557058788,-1.2622352912256647,54,1005,280986.2,264,5544,0.17797783933518005,-0.997228,5,165,1.2968227319999999,,33,7,42,5,0.7402653058601352,0.4245686850050238,1.86138550999294,1
18,0,15.815510557964274,2.481184351808752,0.18048697865409155,0.1811997718755092,0.501612924124962,0.18047489219148935,0,0,0,0.0003193448370562956,-3.0350292822023683,0,1083,317902.4,940,3525,0.25,-0.9982375,5,1175,5.4226462810000005,,235,3,32,38,0.45922779089711574,0.9043016690158872,0.5135147381056657,1
19,0,15.483100585665104,0.6987277758623227,0.14078232147964612,0.3321353034969024,0.6906212847018588,0.06519667153030312,0.08310249307479224,0.5421686746987951,0.027666666666666666,0.13491844992801352,-1.1108956592248314,76,993,560799,329,5676,0.16689750692520777,-0.997162,5,110,1.708148609,,22,23,18,6,0.4871913902463204,0.914870615705885,0.923888600329287,1
20,0,15.73425478695781,1.3259532254607482,0.15506206388954044,0.29138375943636585,0.6461743238779436,0.1265993545000004,0.020313942751615882,0.5641025641025641,0.0065,0.10138557174158959,-1.7708520116421442,17,1061,334795,213.6,3375,0.22968605724838412,-0.9983125,5,75,1.309843477,,15,16,27,8,0.6374117917226261,0.9224577382276016,0.621396658972725,1
21,0,15.416618591205271,0.7660938749265458,0.14791327566696438,0.26452323282466034,0.6394642290085596,0.06863303616666884,0.0997229916897507,0.39416058394160586,0.04566666666666667,0.14750080453534953,-0.7667333465191085,166,975,319297,130,3470,0.15027700831024932,-0.998265,5,50,0.434431603,,10,12,20,37,0.726568005449271,0.3239600496716782,1.5336323350735,0
22,0,15.815510557964274,0.7883585324308952,0.1646994741362057,0.30209594176692695,0.6485303311048352,0.14835937280952374,0,0,0,0.03729704775507788,-3.0350292822023683,0,1083,1360413.4,1260,71540,0.25,-0.96423,5,700,2.58596173,,140,8,2,12,0.44225844354799326,0.35463696188130656,0.5634043967191786,0
