candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,sharpness,error_ratio,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.8044302255543,1.5957287409268575,0.16562685628058924,0.2624770750029939,0.6185056048596921,0.15406407598148184,0.002770083102493075,0.3333333333333333,0.0015,0.061064300847036825,-2.1887276539390537,6,1080,169517.6,144,4590,0.24722991689750692,-0.997705,5,90,0.845211425,,18,7,24,12,0.9822857906445495,0.5315970110608896,0.7390402806480971,1
1,0,15.774882672461041,0.5480479824295895,0.145975422165614,0.34137576295148175,0.6914833324601121,0.09695987298708135,0.010156971375807941,0.6470588235294118,0.0028333333333333335,0.09268853922437757,-2.185501681951694,6,1072,2187012.2,1419,264063,0.23984302862419205,-0.8679685,5,645,5.411579846,,129,10,3,50,0.6776205686816033,0.5801930943898356,0.9577816005384281,0
2,0,15.815510557964274,1.1945795140213658,0.16446726425395194,0.30025486633454895,0.6438152181240917,0.15215404528787993,0,0,0,0.049972223338590464,-3.0350292822023683,0,1083,492746.2,440,14025,0.25,-0.9929875,5,275,2.090239119,,55,7,23,9,0.9977717270687425,0.45951394200208195,0.7652518418235168,0
3,1,0.468936549223881,0.468936549223881,0.14955478361729146,0.32892621852877313,0.6951591243825715,0.09900000483333309,0.26685133887349954,0.39373297002724794,0.12233333333333334,0.16147266065089114,-0.2510322699443284,445,794,2791485.8,576,43092,-0.016851338873499544,-0.978454,5,180,4.201342296,,36,15,7,2,0.8740458597422949,0.6116673810065312,2.9705405755397636,1
4,0,15.612371130448114,1.0324094488709643,0.14711146191510246,0.29723900239262446,0.6583827078909716,0.08704496271212153,0.050784856879039705,0.5288461538461539,0.017333333333333333,0.1331958217289068,-1.3134453704264142,49,1028,362889.2,153.8,4378,0.19921514312096028,-0.997811,5,55,0.713231466,,11,13,17,15,0.7079564295288358,0.684563723096675,0.8578680637117402,0
5,1,0.4848044516624169,0.4848044516624169,0.14410601857397132,0.34633270867174076,0.7000298209746239,0.07199994900000009,0.28162511542012925,0.4277699859747546,0.11883333333333333,0.1932947033968636,-0.2798141496652226,408,778,540187.2,464,13630,-0.031625115420129246,-0.993185,5,290,2.191147312,,58,7,39,58,0.9610419307216455,0.44247018652902004,2.8460398076096904,0
6,1,0.5164136040486954,0.5164136040486954,0.17019548590447275,0.36814518543605096,0.7145447296779354,0.17325039123630673,0.4626038781163435,0.36173285198555954,0.23083333333333333,0.19624956836514587,0.1812747159388113,884,582,5655474.2,3141.8,43878,-0.21260387811634351,-0.978061,5,1065,14.513127291,,213,21,30,10,0.649868972313359,0.7612499037493311,3.882567443123976,1
7,0,15.73425478695781,0.7005397320337564,0.14374595408577706,0.32405620104433347,0.6811771623164287,0.08274665141357972,0.020313942751615882,0.5945945945945946,0.006166666666666667,0.11044340780420804,-1.8220045340895255,15,1061,830476,425,7290,0.22968605724838412,-0.996355,5,135,1.741558846,,27,16,33,2,0.9330457166368527,0.4865371986638324,1.0875814573666276,0
8,0,15.815510557964274,2.4814670011735753,0.18041324133434045,0.18107351374387384,0.5012996912177042,0.180325671,0,0,0,0.0026273453767555275,-3.0350292822023683,0,1083,32764.8,100,375,0.25,-0.9998125,5,125,0.451229633,,25,3,2,3,0.49253411836673455,0.7152617858929737,1.4367316957683514,1
9,0,15.302121822968891,0.4513540876055789,0.1382816279629748,0.3430675957515913,0.6950070148772486,0.03750443194444459,0.1283471837488458,0.4982078853046595,0.0465,0.14839119075967505,-0.826212695853883,140,944,5086986.2,1050,668325,0.1216528162511542,-0.6658375000000001,5,375,8.577375726,,75,13,1,13,0.9286066062372421,0.6869766788448466,2.000895501589314,0
10,0,15.302121822968891,0.837114849385435,0.15070774859706187,0.2758707046346021,0.6487667581013804,0.08114780348148204,0.1283471837488458,0.3746630727762803,0.06183333333333333,0.1808729576671096,-0.6080758874832439,232,944,305486.2,108,4374,0.1216528162511542,-0.997813,5,45,0.971096889,,9,11,16,11,0.8120443284059031,0.6509628740704917,1.5967679461576596,0
11,0,15.172851278185881,0.5524839152543941,0.16029062260888424,0.2523671323521994,0.6221213041380733,0.1040756944090921,0.16066481994459833,0.3378640776699029,0.08583333333333333,0.16171817118882645,-0.42501528626495855,341,909,1282003.4,198,84315,0.08933518005540167,-0.9578425,5,55,1.173442021,,11,17,1,7,0.7986529517523209,0.32211161008345013,2.6497947618055084,0
12,0,14.8847626355266,0.47904706096751337,0.1510436166648334,0.32377304532237683,0.6864912299480705,0.1019848438181831,0.23268698060941828,0.3968503937007874,0.10583333333333333,0.1576678872270261,-0.3357921019231931,383,831,1037498.8,396,69201,0.01731301939058172,-0.9653995,5,165,1.5187238280000002,,33,11,3,18,0.6557508672652921,0.2916224592514402,3.246607607856317,1
13,0,15.538502247714966,0.6288997511846888,0.14222685542819855,0.34431365975237377,0.6909961125692967,0.07981711985897455,0.06925207756232687,0.5033557046979866,0.024833333333333332,0.13112262724859705,-1.1288299028452105,74,1008,1044429,520,37492,0.18074792243767313,-0.981254,5,260,6.085618382,,52,9,13,48,0.9790058812619533,0.7946337820673163,1.2796426549095308,1
14,0,15.811817113827615,1.4052611348603201,0.16362173482713654,0.2849166561129136,0.646766987580165,0.15119629419697042,0.0009233610341643582,1,0.00016666666666666666,0.05725683512457535,-3.0346284566253203,0,1082,228856.8,198,4246,0.24907663896583565,-0.997877,5,110,0.648700856,,22,8,22,22,0.44677732966311046,0.5507590504023234,0.5524338521939871,1
15,0,15.571743244944884,0.45134510707378966,0.13634896852676537,0.34157146908001323,0.6927883756789295,0.016777759944443974,0.060941828254847646,0.5365853658536586,0.0205,0.12535598537613496,-1.2443197844378027,57,1017,2304292.4,761.8,41355,0.18905817174515235,-0.9793225,5,225,4.490368453,,45,16,5,3,0.47976785001316885,0.8299095404103751,1.0555192895127898,1
16,0,15.815510557964274,0.6370797972108232,0.15589445809581148,0.31991865113335716,0.6688957281829431,0.12543367812100573,0,0,0,0.05300627832318517,-3.0350292822023683,0,1083,1496469.6,949,184617,0.25,-0.9076915,5,365,2.579164411,,73,12,2,43,0.5271538581600027,0.38390085654216943,0.6706255206222282,1
17,0,15.708400678001208,1.1123370235631813,0.1499031708482298,0.27026198003299784,0.6284662422999258,0.08238840622222107,0.02677746999076639,0.5087719298245614,0.0095,0.12644377839633078,-1.5608544617347553,28,1054,200227.4,99,3420,0.22322253000923362,-0.99829,5,45,0.403715875,,9,10,13,11,0.5172821428827714,0.45235886867187936,1.134327148523032,1
18,0,15.79334989314433,0.5662356695583489,0.14438178255475173,0.2909323544990681,0.6498303979015648,0.061592489925925614,0.00554016620498615,0.6666666666666666,0.0015,0.09163583682371168,-2.4305587695227575,3,1077,1759048.2,576.6,73197,0.24445983379501385,-0.9634015,5,135,1.993051796,,27,21,2,5,0.565065606741765,0.502376039943685,0.5998542295551248,0
19,0,15.771189228324385,0.430840313766974,0.13454124270943355,0.3711264719923051,0.7101755249796671,0.02238230647709405,0.0110803324099723,0.6,0.0033333333333333335,0.09174845663301504,-2.0759522759174263,8,1071,7180916,3586.2,64988,0.2389196675900277,-0.967506,5,1055,9.788216505,,211,17,15,3,0.4843354734903078,0.364959442040958,1.5088005374768887,1
20,0,14.844134750023368,0.7377184346274366,0.14986713550026495,0.2829931263922874,0.6584785744372277,0.07427057333333334,0.24284395198522624,0.36426592797783935,0.12033333333333333,0.184957843508545,-0.2515853254378667,459,820,365168.8,132.6,3264,0.007156048014773764,-0.998368,5,40,0.529103311,,8,16,23,40,0.9808851675623446,0.4883003523811172,1.867989123706962,0
21,0,15.785963004871014,0.45338070602636915,0.14008961710193196,0.31190196029436257,0.6582019604849552,0.02285226789394019,0.007386888273314866,0.8888888888888888,0.0015,0.08390987288487164,-2.7307822756663893,1,1075,3946867.4,836,72204,0.24261311172668512,-0.963898,5,220,2.934879295,,44,18,5,3,0.8556284120599698,0.3376597354990085,1.1337022780996975,1
22,0,15.420312035341928,0.6908630615257928,0.14195307933357318,0.30830915338368947,0.6661721229848542,0.05110393050000036,0.09879963065558633,0.4863636363636364,0.03666666666666667,0.14259837480692342,-0.9329897123823004,113,976,917333.8,318.4,16368,0.15120036934441367,-0.991816,5,80,1.490714118,,16,21,6,6,0.6405146159961085,0.9679099386404897,0.8391269976445253,0
23,0,15.815510557964274,1.6290466729020066,0.16791223246257653,0.27361022444570027,0.6182110570089525,0.1604375296049388,0,0,0.00016666666666666666,0.04858491807227872,-2.733999286538387,1,1083,164583.8,189,3429,0.25,-0.9982855,5,135,1.296762587,,27,6,9,9,0.9637307502019477,0.6760088856152968,0.766073696250496,1
24,0,15.538502247714966,0.46270469617474974,0.1372313247692345,0.3356157033908455,0.6922911090491822,0.027398964565656287,0.06925207756232687,0.5681818181818182,0.022,0.12649068134629748,-1.2404631726739732,57,1008,5557689.8,1440.2,100254,0.18074792243767313,-0.949873,5,330,13.637747792999999,,66,22,6,7,0.9503328249284759,0.8776731797687517,0.97381097479138,0
25,0,15.02880695685624,0.6647626162780071,0.14453216504765043,0.310424810014128,0.6833190894987917,0.07093438102287611,0.19667590027700832,0.45610278372591007,0.07783333333333334,0.18160378426548443,-0.533477974573708,254,870,131848.2,459,1071,0.05332409972299168,-0.9994645,5,765,2.269838176,,153,2,22,61,0.9964156703662652,0.2999520348590011,2.677015645208959,0
26,0,15.435085811888559,0.47555824702608857,0.14358911670372407,0.29359607318895947,0.6594132967369131,0.052374983833332986,0.0951061865189289,0.4724770642201835,0.036333333333333336,0.1255956967409547,-0.92721101815303,115,980,855728.4,410,6936,0.15489381348107112,-0.996532,5,120,1.006321757,,24,24,21,21,0.6362506038121172,0.2796843379077804,2.0798513690335034,0
27,1,0.5929288884443865,0.5929288884443865,0.15861932123058958,0.28598608622020344,0.6556396664783137,0.10712950146296381,0.25392428439519854,0.3721244925575101,0.12316666666666666,0.1908402781325895,-0.2404955687223184,464,808,446912,126,5220,-0.003924284395198541,-0.99739,5,45,0.900318765,,9,13,16,5,0.9698692324957443,0.36628412307634495,2.797039431363557,1
28,0,15.808123669690959,0.9025527291003952,0.15713114307306528,0.33912150079296877,0.6966699849073569,0.13867019240196068,0.0018467220683287165,0.6666666666666666,0.0005,0.06936057982800314,-2.7331972651065692,1,1081,1665952.2,1176.6,13515,0.24815327793167127,-0.9932425,5,425,5.574520625,,85,21,54,57,0.9036839986189563,0.515786637979592,0.8726363660459279,0
29,0,15.815510557964274,2.4867000345986123,0.18044691924590658,0.18066978979957635,0.5005244961090952,0.18036805045238094,0,0,0,0.002604863029505585,-3.0350292822023683,0,1083,34900,112,420,0.25,-0.99979,5,140,0.582466791,,28,3,5,19,0.926667215706614,0.35738632552800925,0.7424618568870852,1
30,1,0.4784781623794174,0.4784781623794174,0.14980481774926405,0.35417676476716725,0.711986473145818,0.09050719671014523,0.358264081255771,0.40082644628099173,0.16133333333333333,0.21813075722901987,-0.07843310722023138,580,695,604647,531,4600,-0.10826408125577103,-0.9977,5,230,2.13769437,,46,13,42,4,0.4428961905617178,0.8183799574195971,2.6285419500777407,0
31,0,15.71948101041118,0.43638410157522645,0.13602261210606828,0.3586083696550339,0.694666834174912,0.023318027210885245,0.024007386888273315,0.7027027027027027,0.006166666666666667,0.10258343029509909,-1.945304421651542,11,1057,13549390.2,2940,1196972,0.2259926131117267,-0.40151400000000004,5,980,14.128758772,,196,14,1,7,0.6363079958255415,0.4296132691029005,1.7486318178722515,0
