niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_precision_train,descriptor_sharpness_train,descriptor_precision_validation,descriptor_sharpness_validation,visit_count,retained_niche,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index,selection_feasible
96,16,4,0.4376551512645725,0.42959318586815515,0.4714038128249567,0.17541378926249065,0.48011565616433904,0.17187915552862487,4,0,256,14,64,5,0.7694368236275685,0.5615368672897881,2.4552901839909826,1,0
95,15,4,0.43883888884887595,0.43070434439492084,0.4602368866328257,0.17837465400071822,0.4840881932630693,0.1751743605488533,50,0,247,13,64,5,0.7822586558262874,0.5388004623817135,2.4896323416846444,0,0
94,14,4,0.4397694724379338,0.4311935649442337,0.4444444444444444,0.17851898240577455,0.4702031937744689,0.17632627885087931,140,0,250,11,45,4,0.8415870330490602,0.6390587138908427,2.4229815410663504,0,0
75,15,3,0.44076331854257433,0.43362552933637966,0.459866220735786,0.16850218505706252,0.47684393399119135,0.16452865071496076,47,0,184,12,64,3,0.6031578042835839,0.4252945829974428,2.752307570270897,0,1
115,15,5,0.442545336316069,0.4339310747560922,0.45714285714285713,0.18797835368553337,0.4727097831814178,0.18622780400141298,8,0,256,13,60,2,0.7474330412431225,0.631578204570214,2.4071556979607296,0,1
76,16,3,0.4431969556130379,0.4349275015714547,0.46812080536912754,0.16850232781319566,0.4723142603524545,0.16673788489845207,9,0,233,17,31,15,0.5986445871315837,0.6688752119613899,2.3980778938376157,1,0
74,14,3,0.4437930031590573,0.4343964704878171,0.44861337683523655,0.16826389125660082,0.46882853553521187,0.165071241520015,102,0,256,11,64,2,0.5807986043724692,0.4356957169647816,2.8136819424958817,0,1
114,14,5,0.4441181199156777,0.43354984746764824,0.44011976047904194,0.1882110809032365,0.46655694282577304,0.18426435195056123,41,0,226,13,59,3,0.6313205318944144,0.6041153729306056,2.499400825496517,0,1
93,13,4,0.4442057073741884,0.4345843106914318,0.43051359516616317,0.17485403012351022,0.4683325910636378,0.17344630187012716,123,0,256,11,64,4,0.6005314436766562,0.44515085115044106,2.769261634613773,0,1
113,13,5,0.4442817774049581,0.4337939446342988,0.4334828101644245,0.18893425579471604,0.46564308391548337,0.185668168931741,123,0,256,13,64,3,0.6621065430597515,0.5905412456124988,2.46865923515112,0,1
112,12,5,0.4474253848157452,0.4362483027515116,0.42141863699582754,0.18963919137133295,0.45875347402328603,0.18663760617609743,160,0,144,12,62,2,0.7689654782241426,0.5785403209550721,2.595796043617222,0,1
73,13,3,0.447793555362041,0.4363626869886492,0.4325581395348837,0.16806369574989036,0.4786793869151925,0.16377500644503462,107,0,256,10,64,2,0.4107874036780703,0.3781572953731146,2.9343760341974394,0,1
92,12,4,0.4484157842802975,0.43892776062089417,0.4185733512786003,0.1804258892013087,0.459585224062836,0.17510039244602843,111,0,156,12,58,2,0.6698452663333943,0.5179938970526585,2.7787011515661044,0,1
132,12,6,0.4525014809967378,0.44179165746652077,0.41935483870967744,0.20514722976419142,0.45392434391164393,0.20019868661467152,99,0,256,24,60,22,0.6273825720825853,0.6997961184084301,2.477966817917016,1,1
111,11,5,0.4530010252221278,0.44245516277064634,0.4068627450980392,0.19923247289841964,0.4393299092513717,0.19686854397654546,134,0,140,11,64,2,0.7617690658436997,0.6221030485553741,2.6839913278450305,1,1
55,15,2,0.4531100821064626,0.44503460551979945,0.4601018675721562,0.15218617301082119,0.4766137479064758,0.15182160779071868,38,0,256,18,19,3,0.7390367404786102,0.6241487461129207,2.620259211263622,0,0
56,16,2,0.4534701037043733,0.44608153558000896,0.4772727272727273,0.15010108339106634,0.4777146839434912,0.15043692809481404,6,0,256,16,17,4,0.7365438499099983,0.622531375815587,2.6624906716408794,0,0
91,11,4,0.45382596323667435,0.4410062119430856,0.4059662775616083,0.18478353476139853,0.44683899437789154,0.1787235837511672,104,0,153,12,64,2,0.6698433565256038,0.518515833689592,2.8326511117195907,1,1
133,13,6,0.4539932584868889,0.44389529605579514,0.4225,0.20594544649764382,0.4441133111356817,0.20178052863323304,21,0,215,13,61,2,0.7401029058092157,0.7045012597861193,2.5562567423284293,1,1
72,12,3,0.45586124518400273,0.44503968238269054,0.41810344827586204,0.16495098237833208,0.4666052016740281,0.16207329302940718,127,0,137,12,47,2,0.7033416264542685,0.4671326332112775,2.931657197117275,0,1
131,11,6,0.45593372818949457,0.44551351889735175,0.40714285714285714,0.20718425165454635,0.4407874411742669,0.2034050888727795,157,0,242,14,61,16,0.5787690645613672,0.6689071785780238,2.6630486206887545,1,1
54,14,2,0.4575341787852298,0.4495631109390822,0.44642857142857145,0.1505768604713453,0.4737792249739556,0.1508850946943264,66,0,256,15,15,3,0.7118405220883731,0.629265575520126,2.772120669583531,0,1
110,10,5,0.4622952562941755,0.4545377268579929,0.39186295503211993,0.19337188579854023,0.43264483931068093,0.18834226200425833,154,0,150,12,58,2,0.6786881769953146,0.5304613567266546,3.0290942623555495,0,1
90,10,4,0.46235287589898877,0.45011144301906625,0.38922888616891066,0.18397524046625022,0.4431558798928267,0.1841086778964874,121,0,119,5,10,35,0.5122588003392028,0.25,3.5623503107966132,0,1
130,10,6,0.46309165644708633,0.45172612130177486,0.3902714932126697,0.20698139170932295,0.42662122909848293,0.21277143863800535,131,0,162,10,18,9,0.6626367910886162,0.9757846570023936,2.610020101994192,1,1
53,13,2,0.4651074673564131,0.4549105258877815,0.434715821812596,0.14691318309633097,0.47540821063605876,0.14782419890847234,89,0,256,16,20,3,0.729706604751253,0.580272231172924,2.930907683853216,1,1
89,9,4,0.46614279232017664,0.4479951428502291,0.36942675159235666,0.18572609146844318,0.4405901982971693,0.18614415782228383,135,0,68,5,16,35,0.5251807693524375,0.25,3.4839686091264834,0,1
71,11,3,0.4671203226418937,inf,0.4035928143712575,0.16865426134148406,NaN,NaN,102,0,182,13,1,10,1,0.613330921148513,3.350763853747342,1,0
134,14,6,0.46805337284763227,0.456435739612384,0.43870014771048743,0.20677226791480546,0.4522171536657199,0.20539960982627062,2,0,208,8,64,7,0.8601103960682032,0.6906055667099167,2.3568538095054667,1,1
151,11,7,0.468744592836287,0.4585205762487709,0.402555910543131,0.22713864807051456,0.42673834461779736,0.2227200869600913,104,0,256,16,64,16,0.5915049663104658,0.8100596168664589,2.6457047676178105,1,1
52,12,2,0.46944695926645846,0.45830964370162897,0.4166666666666667,0.1515908333682975,0.4662288518113315,0.15413047113994724,89,0,256,15,4,6,0.5108326179322641,0.7192650378615307,3.0830006162908066,1,1
129,9,6,0.4697435587790475,0.45776460670610974,0.3780369290573372,0.20711458823292644,0.41275447407617466,0.21013288960951731,118,0,214,10,19,8,0.7969745524458915,0.7446864879310879,3.0837005220881193,1,1
150,10,7,0.4703629035263073,0.4637655135573279,0.39271255060728744,0.22744388915172745,0.4230065749470827,0.2262116360703697,133,0,244,11,45,9,0.4688045557399266,0.9537253918570754,2.617698044408357,1,1
152,12,7,0.47205290338756906,0.45736713359181946,0.41183431952662725,0.2241367600695353,0.4344349257845305,0.22000758706912465,18,0,245,16,58,7,0.5745154185194267,0.8888300336482876,2.418540806992784,1,1
70,10,3,0.47237265675820883,0.46094293931187313,0.3908450704225352,0.16703924304396633,0.43316441071675305,0.16991186699976651,93,0,108,16,2,8,0.9826279912667957,0.826046532793421,3.695192774547897,1,1
35,15,1,0.4733143207111806,0.46339014935909717,0.45,0.13440643089648074,0.47827941725929995,0.1337068867772493,35,0,252,18,4,7,0.50151770955465,0.6333842059037419,3.1421946143447403,1,0
109,9,5,0.47425900813133537,0.4598306881943134,0.37690839694656486,0.2006130066320677,0.41968938165690395,0.19629104277633674,137,0,163,12,64,2,0.6630239079089773,0.5474099594253827,3.1811706309715375,0,1
51,11,2,0.4755512859925027,0.45248408847713656,0.39710144927536234,0.15180290673010596,0.42434531489995087,0.15296615847765221,67,0,28,15,4,8,0.6410427286142205,0.5595622238080457,3.0034400014709175,0,0
108,8,5,0.47566063995631536,0.45963277915650064,0.358148893360161,0.19317129423672583,0.4084000963402251,0.19871899207227267,148,0,56,5,10,28,0.5006048240589133,0.25,3.6784744170561647,0,1
33,13,1,0.4761060027918385,0.46656329793994433,0.4356120826709062,0.13443585858913704,0.4761175626719415,0.13518359181712808,72,0,256,18,4,9,0.4986866613194073,0.6110455053421827,3.18905058808779,1,1
149,9,7,0.4767525459496475,0.4656919313702953,0.37582625118035884,0.22351492448139743,0.4050724319762752,0.22755728528853622,140,0,256,9,9,6,0.47338673975593715,0.9366907343854041,2.9531124887388804,1,1
69,9,3,0.4780074739984455,0.45595053335465646,0.379746835443038,0.1602380989933638,0.4088260040568993,0.1627872365198678,104,0,24,15,3,6,0.5912936365224791,0.5372520675595979,2.96540641638932,1,0
34,14,1,0.47820106105961063,0.4670543362805244,0.445141065830721,0.13197855293996366,0.47948515171727896,0.1329486803152353,73,0,256,19,3,5,0.45383251311009415,0.6228873300695547,2.975739577245472,1,1
36,16,1,0.4832266593308615,0.4758821072798253,0.4684385382059801,0.1260177918223348,0.4820014498570603,0.12410913534372428,2,0,256,19,14,2,0.8844671692036361,0.44631142367703736,3.497601762627181,0,0
50,10,2,0.48396240921501027,0.46262397486066437,0.3812754409769335,0.14907537134788748,0.3819513566543714,0.15377783597998432,77,0,20,19,3,10,0.6129228688570831,0.5144160433864918,2.8944469255100187,1,0
88,8,4,0.4843221135039762,0.47511501843559445,0.36528028933092227,0.18490181988969756,0.3928954356153251,0.1872117333603513,98,0,122,14,1,9,0.9958961752723127,0.8268777990413069,3.7804061172485914,1,1
128,8,6,0.48546475771119163,0.4769330853823734,0.3654320987654321,0.20798315053854016,0.3935655984436643,0.2132274124530789,145,0,175,10,9,6,0.4028173438578353,0.8379340630969648,3.3220687991636195,1,1
48,8,2,0.48571579168747386,0.4604963343491083,0.35995085995085996,0.1516562987816288,0.42004239944028887,0.1549524342033644,49,0,30,16,2,10,0.5100208441520391,0.5517142596577332,3.0524512345521853,1,1
170,10,8,0.4857437821395695,0.4750035352396317,0.38741396263520156,0.24027910051329282,0.4153445310942219,0.23653395160049562,122,0,196,12,64,2,0.736122021140803,0.9309247297515865,2.6472665539653284,0,1
148,8,7,0.4867518268978077,0.4721864048472847,0.3655913978494624,0.22780062658444303,0.3946202586561269,0.2310491666013364,145,0,154,9,10,6,0.4854302959499722,0.8576181013852218,3.1377086308134956,1,1
107,7,5,0.4890206226207781,0.4797038053333937,0.35161290322580646,0.2042912028279868,0.3811717443457481,0.20990890479151797,123,0,142,12,2,9,0.9264192311400452,0.8497372001276181,3.565853006492003,1,1
169,9,8,0.48940804328996235,0.4731171734781182,0.37580794090489383,0.2421344908609134,0.40447360983975766,0.23751441164514425,122,0,256,14,64,8,0.5894237429083355,0.882226823053864,2.8021633253948828,1,1
168,8,8,0.4901705109796939,0.48401493147117575,0.36576576576576575,0.24100016735922006,0.3939507836615424,0.24754504925692564,147,0,248,8,5,8,0.43272236262230884,0.9611814749711872,2.9433601849122937,1,1
68,8,3,0.4903197780298065,0.46174804009912096,0.36459430979978924,0.1675527793825182,0.3876254243227336,0.16815965110227654,77,0,20,15,2,11,0.5212255718883727,0.5652736709536983,3.0209794833556205,1,1
127,7,6,0.49047029631756217,0.4804173540592795,0.35007974481658694,0.20711135669983993,0.3819501931022934,0.21124028534124495,184,0,140,12,2,8,1,0.8388221547476404,3.6248781727200243,1,1
32,12,1,0.4908461894346961,0.4727797504547176,0.4171511627906977,0.13214031964982229,0.4589637083891304,0.13328481409497803,61,0,58,16,5,7,0.4,0.46440690434562737,3.107147645319988,1,1
49,9,2,0.49241004814782846,0.4682520592074507,0.3791773778920309,0.14541910930799762,0.4159561090217279,0.1466856205435364,63,0,26,20,3,10,0.6195739158684788,0.49020282867597775,3.240488011860544,1,0
67,7,3,0.4934944493321611,0.45813645021087523,0.3467153284671533,0.1588995384394089,0.39683958201525316,0.16149443115531986,74,0,18,17,2,7,0.5673476233791742,0.5470485783585902,2.857339474102584,1,0
171,11,8,0.494081622025426,0.47805148597882746,0.39613034623217924,0.2410845366437944,0.41629348860730275,0.23579606944532122,46,0,256,14,61,14,0.6311698467744824,1,2.5242242921512665,1,1
15,15,0,0.4947264846309532,0.4897700717938073,0.4535073409461664,0.11589177571264722,0.48430607112062285,0.11240597095000333,13,0,232,23,12,12,0.44559445017422783,0.3655303457939998,3.4095555757895313,0,0
31,11,1,0.4947551326161206,0.47973894769017433,0.4025974025974026,0.13275206543147655,0.42868554499217915,0.131232960559115,47,0,36,23,6,4,0.5626834596883612,0.4166114561532615,3.458898627471215,0,0
87,7,4,0.4968013307438741,0.46996929805506693,0.3487133984028394,0.18185155414370385,0.39867241780224955,0.18912599337408992,73,0,36,7,12,8,0.6573896254179556,0.2597607819875655,3.9037177855661613,0,1
47,7,2,0.4977217235155407,0.46838364521825193,0.34658385093167704,0.14340894601881046,0.37928276593582566,0.1460565221673941,57,0,20,18,27,4,0.8770120843400041,0.30632266338330927,3.0784195302460557,1,0
29,9,1,0.498070425533244,0.47854691190681664,0.37830319888734354,0.130819268030751,0.38840657558292324,0.1284333145715454,34,0,26,20,4,4,0.4742478859973534,0.31287883032847796,3.233868888078207,1,0
30,10,1,0.4988434609854956,0.4845046719095062,0.3918918918918919,0.12833522675190664,0.40789491660979166,0.12675604908322663,39,0,36,24,3,5,0.5495440544298744,0.40171589231615784,3.369478960379188,1,0
147,7,7,0.4994777469685718,0.48790948455396044,0.35126825518831667,0.23871130705899843,0.37658708014100173,0.24349338145765112,182,0,140,9,6,13,0.8780860310030743,0.7472084636172445,3.3905088250413646,1,1
46,6,2,0.49965007928980193,0.4709240331491433,0.33695652173913043,0.15192742328731726,0.3785676862390335,0.15368547473973343,36,0,18,20,26,6,0.8075697802029307,0.35351705941267314,3.1057151200696165,1,0
13,13,0,0.4996899617670671,0.49326375417935436,0.43188854489164086,0.11689465866822428,0.47464273334295737,0.1132583783304538,33,0,182,20,11,13,0.4143500332442652,0.36874744130980863,3.410874385497089,0,0
14,14,0,0.5003652665868842,0.49209445031052734,0.4484375,0.11551595105681152,0.4796527234630987,0.1130745944131418,36,0,180,23,7,12,0.40024305068044574,0.4298142834350728,3.4311547653199326,0,1
66,6,3,0.5015484379137197,0.4688183138752861,0.3333333333333333,0.1588701923193747,0.340972198857722,0.16653771249767896,53,0,14,16,1,15,0.55475919045466,0.4427495066450602,2.935289166659312,0,0
16,16,0,0.5016918642004177,0.4931306627179126,0.464041095890411,0.11258146466262361,0.4881077544929863,0.11219760047208567,5,0,179,19,15,12,0.46839366109981195,0.31655287878024446,3.4452009260269962,0,0
17,17,0,0.5052327152104797,0.5000958803022432,0.4787985865724382,0.10651197437907757,0.4883967675001754,0.10549638025442858,3,0,227,20,11,13,0.45564692874303403,0.3439333646105296,3.564116405874746,0,0
167,7,8,0.5060233064288465,0.4965577770586001,0.3506787330316742,0.24330311447598454,0.3724114403229146,0.24825060882136304,163,0,256,8,11,2,1,0.6427769981646747,3.551995739496941,1,1
