candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.565510557964274,0.43090307937469646,0.13692329873132383,0.25209333252531785,0.673625,0.04093130588235281,0.025,0.16666666666666666,0.025,5,39,42090.8,106.6,425,0.07500000000000001,-0.9997875,5,85,0.00789274,,17,14,6,11,0.4102176972238708,0.6545733650221897,1.4888282533314927,1
1,0,15.815510557964274,0.5897859081764589,0.13912960462977117,0.24684614966716031,0.628625,0.06555541388888891,0,0,0,0,40,65592.2,193.8,1410,0.1,-0.999295,5,150,0.009670347,,30,19,6,38,0.7562771343477545,0.26092653969649576,1.105797119425856,0
2,1,0.4605842312642369,0.4605842312642369,0.147309027777786,0.2809717910281466,0.6629375,0.10156250833333333,0.2,0.36363636363636365,0.09166666666666666,14,32,156702.6,341,1440,-0.1,-0.99928,5,240,0.052967035,,48,21,8,6,0.6549294901619629,0.8817476028920834,2.778290470029995,1
3,1,0.46585012193764314,0.46585012193764314,0.1528851486621756,0.29766735470256744,0.6930625,0.10304054054054053,0.3,0.2926829268292683,0.17083333333333334,29,28,287152.8,888,3330,-0.19999999999999998,-0.998335,5,1110,0.21109907,,222,3,17,4,0.9040985867425687,0.843924058583369,2.433321101563621,0
4,0,15.815510557964274,1.0537086968783036,0.1629519905329789,0.20218888575894156,0.55325,0.1563556863700565,0,0,0,0,40,258332.8,802.8,2301,0.1,-0.9988495,5,885,0.072450331,,177,12,15,21,0.5761719412588859,0.5886066980136728,0.50117288234533,0
5,1,0.4711052745928868,0.4711052745928868,0.14979684075967858,0.2582130926377139,0.61775,0.09724099099099101,0.1,0.23529411764705882,0.07083333333333333,13,36,115943.4,351.8,740,0,-0.99963,5,370,0.037376807,,74,20,28,9,0.8161495372838801,0.3859992854481725,2.9246263251982456,1
6,0,15.815510557964274,0.7066700505204668,0.15414655092793003,0.24991942066948492,0.6774375,0.13583964791666664,0,0,0,0,40,137269.8,478.4,7296,0.1,-0.996352,5,640,0.032015694,,128,17,3,64,0.4578095171644769,0.4827538549192153,0.6715133932674091,1
7,0,15.815510557964274,0.6750571574403602,0.1539116652857224,0.23882217965857672,0.6200625,0.13299532882882883,0,0,0,0,40,143442.2,444,1554,0.1,-0.999223,5,555,0.085643074,,111,3,17,17,0.6935100181254354,0.9253292671936489,0.8901319752209179,0
8,0,15.815510557964274,2.3025859263278,0.16666633333433287,0.16666666666666666,0.5,0.16666566666666666,0,0,0,0,40,3854,8,16,0.1,-0.999992,5,40,0.00191764,,8,9,51,3,0.5159427650881331,0.40023498546148184,1.309474236259834,0
9,1,0.9119538689702528,0.9119538689702528,0.2530302696970405,0.22508067885042404,0.5675625,0.2712120503787878,0.525,0.2413793103448276,0.3625,66,19,10196.6,33,44,-0.42500000000000004,-0.999978,5,55,0.00698837,,11,15,47,54,0.621158837004321,0.9513052268290731,3.9240451169648263,1
10,1,0.5090190741739866,0.5090190741739866,0.14848124318847533,0.2758828177640996,0.67475,0.11632881216216215,0.1,0.26666666666666666,0.0625,11,36,174369.6,294.6,9435,0,-0.9952825,5,185,0.048815233,,37,7,1,5,0.9483660938883589,0.6823876739076418,3.1751348892049736,1
11,1,0.5795731474161714,0.5795731474161714,0.197379112168054,0.23432598927875078,0.59425,0.2202586206896552,0.35,0.23333333333333334,0.25,46,26,53679.8,170.2,4901,-0.24999999999999997,-0.9975495,5,145,0.008799618,,29,24,1,35,0.4405735818896245,0.44475081317555776,3.6883078980682926,0
