candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.815510557964274,0.5106787074551508,0.14198165757886497,0.2016267766202277,0.562625,0.04937941179078015,0,0,0,0,40,116929.8,282,2961,0.1,-0.9985195,5,235,0.021571349,,47,5,1,4,0.6230769709295297,0.35857551056628467,1.1046294736380367,1
1,1,0.5106538892153474,0.5106538892153474,0.16636382778438372,0.28055594283437424,0.66725,0.17808908045977015,0.275,0.3055555555555556,0.15,25,29,190452.8,626.2,5104,-0.17500000000000002,-0.997448,5,580,0.031349518,,116,10,4,38,0.4671544863086933,0.3396218754339656,3.34206763502733,1
2,1,0.427040091445378,0.427040091445378,0.1332763236169279,0.3137141868663249,0.70525,0.06554874715447158,0.1,0.4444444444444444,0.0375,5,36,195903.2,365.8,7052,0,-0.996474,5,205,0.045485651,,41,16,2,10,0.9017052295013397,0.6580444828375969,1.9434725465239517,0
3,0,15.815510557964274,0.4747573393861584,0.14092732607691966,0.24880682438284354,0.6255625,0.07873929540598296,0,0,0,0,40,143775,497.2,1521,0.1,-0.9992395,5,585,0.029174385,,117,6,14,53,0.517890689635072,0.39991242948547245,1.3830060010295981,0
4,1,0.5147591915642485,0.5147591915642485,0.13447998333341232,0.2913417436755819,0.6830625,0.053999920833333374,0.1,0.36363636363636365,0.04583333333333333,7,36,85686.6,196.2,6375,0,-0.9968125,5,125,0.022800631,,25,7,1,17,0.9171447545141875,0.5747904054091466,1.291753125866814,0
5,0,15.815510557964274,0.42388989647232406,0.1326025562640115,0.30039123578343463,0.6688125,0.051168224299065444,0,0,0,0,40,428767,895.6,12840,0.1,-0.99358,5,535,0.05625058,,107,9,2,3,0.6325253296688619,0.43607364700791706,0.8246695099123904,1
6,1,0.4642703252289664,0.4642703252289664,0.14678195888468804,0.29442910285817553,0.677125,0.12531702898550726,0.125,0.35714285714285715,0.058333333333333334,9,35,263922.2,715.6,26220,-0.024999999999999994,-0.98689,5,460,0.037833084,,92,14,1,34,0.74350229618329,0.29308776093874034,2.543475081162785,0
7,1,0.5602312918392588,0.5602312918392588,0.18957754629629625,0.27119499356147014,0.60875,0.17446759259259256,0.4,0.24242424242424243,0.275,50,24,190313.6,631.4,900,-0.30000000000000004,-0.99955,5,900,0.103380748,,180,18,35,14,0.6039525925852424,0.7413245705143342,3.0240867747048243,1
8,0,15.065510557964274,0.4765359846602894,0.15074404761905585,0.22416317948630682,0.609875,0.09940475357142858,0.075,0.21428571428571427,0.058333333333333334,11,37,68383.2,187.2,1876,0.02500000000000001,-0.999062,5,140,0.011273564,,28,8,3,23,0.5331023949752417,0.3747172555843057,2.2785372261679413,1
9,1,0.5172856444532262,0.5172856444532262,0.1693110024165139,0.2766943286167172,0.6221875,0.16191588785046726,0.325,0.2826086956521739,0.19166666666666668,33,27,91273.8,321,749,-0.225,-0.9996255,5,535,0.045654532,,107,2,1,4,0.9711505205737452,0.3168628629429553,3.905566548264388,1
10,0,15.815510557964274,1.4593800501676835,0.1540976128106504,0.21758996212121212,0.609625,0.13825684242424238,0,0,0,0,40,9612.6,33,77,0.1,-0.9999615,5,55,0.005682518,,11,2,2,2,0.8680562091071653,0.4703606613271404,1.1392238131262233,1
11,1,0.4954835372327187,0.4954835372327187,0.16190740740740744,0.24975889978214794,0.6273125,0.12983333333333336,0.25,0.23809523809523808,0.175,32,30,67712.8,225,225,-0.15,-0.9998875,5,375,0.044891025,,75,22,55,30,0.6469659018744128,0.8329356371645933,2.8124539220318328,1
12,0,15.815510557964274,0.43906433330796096,0.13488873499542908,0.28605563798646166,0.6860625,0.05723679627192982,0,0,0,0,40,254611.6,656.6,5225,0.1,-0.9973875,5,475,0.085679678,,95,14,6,21,0.8741088164661059,0.7118265957977036,0.8097933633217054,0
13,1,0.6089578763502429,0.6089578763502429,0.20831434009737604,0.24450529360406514,0.6225,0.22904290429042906,0.525,0.2692307692307692,0.325,57,19,164410.4,606,606,-0.42500000000000004,-0.999697,5,1010,0.068291082,,202,12,64,10,0.7442617342092881,0.38890855548365777,3.7001819836355527,1
14,1,0.5914529883490739,0.5914529883490739,0.2013613237213718,0.25464788097553115,0.6180625,0.2053852201257862,0.5,0.273972602739726,0.30416666666666664,53,20,94014,318,424,-0.4,-0.999788,5,530,0.056354292,,106,17,41,16,0.6172857437366039,0.7408840550975497,3.28478014653844,1
15,1,0.43700173195481606,0.43700173195481606,0.13861811271147687,0.2983932437022695,0.6955625,0.07600308641975305,0.2,0.42105263157894735,0.07916666666666666,11,32,851057.6,1843,38880,-0.1,-0.98056,5,1080,0.275418172,,216,19,2,21,0.9451387155122998,0.7948699381356472,2.0322505922623555,0
