candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,sharpness,error_ratio,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,1,0.4877560234495536,0.4877560234495536,0.15733254062623866,0.2533943253281242,0.62875,0.12227011494252875,0.25,0.2857142857142857,0.14583333333333334,0.1683123272468088,-0.07638834586345469,25,30,71407.6,234.6,406,-0.15,-0.999797,5,290,0.021441728,,58,12,21,24,0.4552760612148806,0.5989829937649993,2.570749778265393,1
1,0,15.815510557964274,0.4457826345377463,0.1376781919370532,0.2556028409541144,0.6638125,0.07188669578651688,0,0,0,0.08661490125335333,-1.6127838567197355,0,40,528822.4,1209.8,11214,0.1,-0.994393,5,890,0.222604116,,178,23,5,7,0.8349188332071213,0.9871857173396251,0.5423977148929949,1
2,0,15.815510557964274,2.3025859263278,0.16666633333433287,0.16666666666666666,0.5,0.16666566666666666,0,0,0,0.000000000000000000002329340604949326,-1.6127838567197355,0,40,24898.6,93,93,0.1,-0.9999535,5,155,0.005923767,,31,22,40,35,0.4635516738483337,0.34293643373367205,0.9337082587354472,0
3,1,0.7339140042390883,0.7339140042390883,0.15123451790145942,0.251818536022242,0.6428125,0.10925903425925926,0.15,0.3333333333333333,0.075,0.18808808419046782,-0.43012469204343884,12,34,41883.8,78.6,1665,-0.04999999999999999,-0.9991675,5,45,0.008573104,,9,19,2,15,0.971212528429263,0.4843539064373851,2.0911235120660523,0
4,0,15.815510557964274,0.45357856165689364,0.13861649659865194,0.2313571796248913,0.63325,0.04529760654761912,0,0,0,0.10628342406685871,-1.6127838567197355,0,40,200728.4,465,2170,0.1,-0.998915,5,350,0.075439634,,70,12,10,5,0.8455449389213896,0.6890804903309377,1.068799897140817,1
5,1,0.43745488680888034,0.43745488680888034,0.13863372802734789,0.29245406459603607,0.692875,0.0825520875,0.1,0.25,0.06666666666666667,0.14954514276884034,-0.45425837176015815,12,36,592998.6,1017.4,7680,0,-0.99616,5,640,0.180160352,,128,12,6,4,0.957601814884247,0.7585909496685552,2.4954245795915986,0
6,0,15.565510557964274,0.43159480884408535,0.13530374753453353,0.2658052576210538,0.6629375,0.026410239743589786,0.025,0.25,0.016666666666666666,0.12403941464027896,-1,3,39,239787.2,507.8,4680,0.07500000000000001,-0.99766,5,325,0.054241478,,65,21,4,11,0.7680407843616397,0.6287139817023193,1.369331842132425,0
7,0,15.815510557964274,0.5844303792248859,0.13933580488993216,0.28670936705120514,0.65475,0.08513245075757574,0,0,0,0.06494836060610333,-1.6127838567197355,0,40,103087.6,265.8,968,0.1,-0.999516,5,220,0.028653409,,44,10,15,14,0.9112632840979006,0.42008137294931014,0.9178121924489779,0
8,1,0.45971935027384353,0.45971935027384353,0.14969457304528433,0.31905922255935326,0.71,0.1336805722222222,0.3,0.35294117647058826,0.14166666666666666,0.1680360352338297,-0.10067016188136318,22,28,106409.2,246.8,2016,-0.19999999999999998,-0.998992,5,180,0.03705078,,36,20,5,26,0.7513610874027574,0.8848631568762932,3.061552815987512,0
9,0,15.565510557964274,0.43387113650924525,0.13522249999999997,0.30019401741225454,0.6459375,0.036333333333333336,0.025,1,0.004166666666666667,0.10767879188689955,-1.6020599913279623,0,39,228185.6,600.8,2000,0.07500000000000001,-0.999,5,500,0.050858865,,100,19,13,29,0.7181692496539211,0.40288054211734825,1.6987365293865035,1
