candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.815510557964274,0.4327615367210934,0.13451730103806234,0.2630367115809863,0.670125,0.03049019607843143,0,0,0.0125,3,40,643154.4,1393.2,29920,0.1,-0.98504,5,850,0.164020972,,170,22,2,14,0.920954539723735,0.5607482064364779,1.070333821372109,1
1,1,0.6216721044298299,0.6216721044298299,0.21363848926980242,0.27679960237425827,0.6184375,0.2311868686868687,0.5,0.25316455696202533,0.32916666666666666,59,20,87649.4,297,396,-0.4,-0.999802,5,495,0.047882705,,99,8,39,17,0.5512123310711816,0.7468843205485844,3.915251365221712,1
2,0,15.065510557964274,0.6599396090196569,0.156121365843767,0.20140521170567124,0.5825625,0.09675911342592594,0.075,0.21428571428571427,0.058333333333333334,11,37,12283.2,39.2,72,0.02500000000000001,-0.999964,5,45,0.00297964,,9,4,20,3,0.48067745046674015,0.3936680164287164,2.0988094898245357,0
3,1,0.49013807118399694,0.49013807118399694,0.14028355303896145,0.2691975337327156,0.6609375,0.06565031067073172,0.1,0.36363636363636365,0.04583333333333333,7,36,154692,371.2,11849,0,-0.9940755,5,205,0.045090067,,41,17,1,8,0.7550976858875965,0.895892513738728,0.8500566400513851,0
4,0,15.815510557964274,0.5490597659586254,0.14006628420224493,0.2892023583721849,0.6580625,0.08641961141975309,0,0,0,0,40,59207.4,164.6,675,0.1,-0.9996625,5,135,0.008390225,,27,6,10,24,0.6805213330510085,0.26556606682091377,0.7619702730164576,1
5,1,0.4396277946710066,0.4396277946710066,0.13895041322315302,0.29832655660947843,0.6846875,0.07833332083333332,0.15,0.42857142857142855,0.058333333333333334,8,34,279839.6,473.8,6105,-0.04999999999999999,-0.9969475,5,275,0.060316901,,55,20,3,7,0.8800467107939891,0.6765737843162781,2.236881349451932,0
6,0,15.315510557964274,0.5895726927183756,0.14667157263326516,0.23302932054148312,0.6316875,0.06826910160256411,0.05,0.16666666666666666,0.05,10,38,64242.8,113.6,1911,0.05,-0.9990445,5,65,0.017011192,,13,19,2,3,0.7714442097428014,0.8145150117306453,1.658004744273106,1
7,0,15.815510557964274,1.9504753659119671,0.16383306666746636,0.16666666666666666,0.5,0.15666586666666665,0,0,0,0,40,9334.8,20,40,0.1,-0.99998,5,100,0.003488496,,20,14,57,2,0.5247758336456104,0.3281644424718102,3.273421295700914,0
8,0,15.815510557964274,0.43865286092358874,0.1349605555555555,0.2606027011360505,0.6486875,0.060472222222222205,0,0,0,0,40,280986,807.6,2100,0.1,-0.99895,5,750,0.069851867,,150,9,15,5,0.6077189655997237,0.4716578773697217,1.180473478764594,1
9,0,15.315510557964274,0.45721600487314634,0.1310070317647158,0.3051158422230603,0.711875,0.04823222323232323,0.05,0.3333333333333333,0.025,4,38,79049.4,221.2,1353,0.05,-0.9993235,5,165,0.043084567,,33,24,9,42,0.9832850049718929,0.9512145315661279,1.325695252310494,0
10,1,0.48154217923102943,0.48154217923102943,0.15881852145738273,0.28976617373146013,0.6940625,0.13773474178403752,0.35,0.3181818181818182,0.18333333333333332,30,26,87376.2,284,1065,-0.24999999999999997,-0.9994675,5,355,0.050711124,,71,3,4,55,0.8321766586812227,0.6106118288997655,2.7951660773063254,1
11,0,15.815510557964274,0.6399681376794236,0.15729394436351363,0.2345446943802494,0.6390625,0.14334603426870748,0,0,0,0,40,255917,869,4900,0.1,-0.99755,5,980,0.044527922,,196,12,6,31,0.4068188390175677,0.49664092372516966,0.5094357909347617,0
12,0,15.815510557964274,2.2123234857368312,0.165740424075032,0.16833333333333333,0.505,0.16388793055555553,0,0,0,0,40,20380.6,64,120,0.1,-0.99994,5,75,0.010093403,,15,15,25,12,0.6369052192317822,0.8463366184572065,0.6248659367185189,1
