comparison,budget,target_wall_seconds,method,actual_evaluations,wall_seconds,model_fits,tuning_model_fits,selection_model_fits,trees_fitted,tuning_trees_fitted,selection_trees_fitted,tuning_log_loss,selection_log_loss,selection_log_loss_sdev
equal-calls,8,,fcmaes-biteopt,8,0.159716948,44,40,4,3952,3695,257,0.5106538892153474,0.5472733316714206,0
calibrated-wall,8,0.159716948,fcmaes-biteopt,8,0.159716948,44,40,4,3952,3695,257,0.5106538892153474,0.5472733316714206,0
equal-calls,8,,random,8,0.195486451,43,40,3,3042,2735,307,0.48255683030485835,0.5113263623518536,0
calibrated-wall,8,0.159716948,random,7,0.21911388,38,35,3,2907,2600,307,0.48255683030485835,0.5113263623518536,0
equal-calls,8,,lhs,8,0.100047363,42,40,2,2819,2780,39,0.43527798647906496,0.603841187256706,0
calibrated-wall,8,0.159716948,lhs,13,0.180791342,69,65,4,4761,4495,266,0.4396277946710066,0.48401376760741843,0
equal-calls,16,,fcmaes-biteopt,16,0.505088079,84,80,4,8249,7825,424,0.43700173195481606,0.47734440764507996,0
calibrated-wall,16,0.505088079,fcmaes-biteopt,16,0.505088079,84,80,4,8249,7825,424,0.43700173195481606,0.47734440764507996,0
equal-calls,16,,random,16,0.230562627,84,80,4,4477,4095,382,0.48255683030485835,0.5113263623518536,0
calibrated-wall,16,0.505088079,random,35,0.393065365,179,175,4,10395,10035,360,0.43783303765662634,0.4920347423504346,0
equal-calls,16,,lhs,16,0.253975765,84,80,4,5714,5585,129,0.5211009459919088,0.5370040000894252,0
calibrated-wall,16,0.505088079,lhs,32,0.566763596,164,160,4,11984,11620,364,0.4711052745928868,0.4871260944461648,0
equal-calls,32,,fcmaes-biteopt,32,0.98334944,164,160,4,17989,17380,609,0.4366148298560449,0.465214977889918,0
calibrated-wall,32,0.98334944,fcmaes-biteopt,32,0.98334944,164,160,4,17989,17380,609,0.4366148298560449,0.465214977889918,0
equal-calls,32,,random,32,0.361135272,164,160,4,9527,9205,322,0.48255683030485835,0.5113263623518536,0
calibrated-wall,32,0.98334944,random,87,1.159900773,439,435,4,30357,30065,292,0.43783303765662634,0.4920347423504346,0
equal-calls,32,,lhs,32,0.4959319,164,160,4,11984,11620,364,0.4711052745928868,0.4871260944461648,0
calibrated-wall,32,0.98334944,lhs,63,0.949143758,319,315,4,22995,22460,535,0.45842838061042535,0.47279292813204676,0
