node,cost,block
0,0.19222266780051800,0
1,0.13206578551617018,1
2,0.16767581127611517,2
3,0.09070948084434927,3
4,0.14790566437969899,4
5,0.40626217300688711,5
6,0.11217739461199069,6
7,0.35490525288314551,7
8,0.20638343055829611,8
9,0.13498755559812423,9
10,0.18038629406241408,0
11,0.46913678648796653,1
12,0.11711312261180480,2
13,0.33787730209935313,3
14,0.13455093405741053,4
15,0.23218168146375262,5
16,0.08148692725460077,6
17,0.13006749249481531,7
18,0.11814238932276505,8
19,0.11970968133848649,9
20,0.20637185283462867,0
21,0.23191641449788858,1
22,0.18043428190634542,2
23,0.16686291266335335,3
24,0.20023638541688871,4
25,0.13822727168127696,5
26,0.14207773710758237,6
27,0.17104436844825194,7
28,0.12324589285562659,8
29,0.24335689138844707,9
30,0.16610649731315014,0
31,0.10856267656720223,1
32,0.39144990272126096,2
33,0.36120362527020644,3
34,0.10279881971564087,4
35,0.15690048573929813,5
36,0.12199434253309663,6
37,0.07464741263523419,7
38,0.14915857082126582,8
39,0.13194603207195010,9
40,0.08052908674570283,0
41,0.12386347444552247,1
42,0.12598571759909685,2
43,0.17287003559508951,3
44,0.13840419160715201,4
45,0.09455068432952470,5
46,0.26368780486704729,6
47,0.22836156987497613,7
48,0.11188422041259022,8
49,0.11441739870221528,9
50,0.34252593500157141,0
51,0.15085183946961739,1
52,0.15287836769383134,2
53,0.27947897688508871,3
54,0.17836971970490928,4
55,0.10875230990779414,5
56,0.16128914863715488,6
57,0.16099049863413989,7
58,0.08994093638475396,8
59,0.13302264067924058,9
60,0.13027148725218457,0
61,0.27921011373068633,1
62,0.20926292911259692,2
63,0.10695351945338985,3
64,0.12456318185248103,4
65,0.39488451826720739,5
66,0.26655053890955011,6
67,0.27993804615714285,7
68,0.08804774377640714,8
69,0.11930814843110983,9
70,0.16385935936101431,0
71,0.20980052788579151,1
72,0.26972356809856063,2
73,0.18110616007410307,3
74,0.12676435185957002,4
75,0.58603296783779413,5
76,0.17127887096148361,6
77,0.25291277209532353,7
78,0.32479144530610771,8
79,0.26159916567248698,9
80,0.08618361747813086,0
81,0.23183810717190151,1
82,0.17303842989717894,2
83,0.13701342078438489,3
84,0.17970403073870694,4
85,0.33014648634486832,5
86,0.23843459828688834,6
87,0.36959362350160507,7
88,0.36153302061215298,8
89,0.14326779264309170,9
90,0.35738744433284841,0
91,0.10238571833713797,1
92,0.23366052096610845,2
93,0.11695936812804196,3
94,0.15689916889028524,4
95,0.25977265312126990,5
96,0.27934384913004362,6
97,0.12431695422852113,7
98,0.20157721005806145,8
99,0.13134339745609555,9
100,0.24020878499184567,0
101,0.26749028671183517,1
102,0.19058314130027348,2
103,0.22045998593919297,3
104,0.40122293903138051,4
105,0.15620362872391086,5
106,0.36135554378548662,6
107,0.13000573289016695,7
108,0.07282962912916402,8
109,0.16402747008307145,9
110,0.19811896896688475,0
111,0.14525809925475264,1
112,0.23851915959544490,2
113,0.20741199876560740,3
114,0.15419745729299122,4
115,0.10242008530628258,5
116,0.35763216066900566,6
117,0.12883209964040193,7
118,0.21193384202682286,8
119,0.16867711988318418,9
120,0.11166213595917335,0
121,0.20357579475189852,1
122,0.19178362178440894,2
123,0.21803351527584780,3
124,0.15213632367827984,4
125,0.09380429424437722,5
126,0.18968209317610296,6
127,0.12219512042073212,7
128,0.15893726523259269,8
129,0.25053844302735939,9
130,0.29048314056510482,0
131,0.14621567609370847,1
132,0.30141544529478875,2
133,0.17617489790887764,3
134,0.36881876605638880,4
135,0.30253569790993762,5
136,0.10895483474017915,6
137,0.17381522165753241,7
138,0.12591326988325824,8
139,0.10307945061468460,9
140,0.14732867384214288,0
141,0.15184455572015565,1
142,0.06905060849329640,2
143,0.15212339781988271,3
144,0.41496332813476616,4
145,0.21792544107456446,5
146,0.18312843132792805,6
147,0.11964359463492942,7
148,0.36064560070334739,8
149,0.37492528035486455,9
150,0.16884723235576266,0
151,0.19836138278745546,1
152,0.17276245735563989,2
153,0.11753770585531442,3
154,0.14774220860106457,4
155,0.15725907955367519,5
156,0.20273083570971234,6
157,0.18963567582988022,7
158,0.14855319263802513,8
159,0.26292069321588019,9
160,0.08835793832958821,0
161,0.22982283874985260,1
162,0.22317569424590300,2
163,0.14144045114486464,3
164,0.23716983232448469,4
165,0.29179312639258137,5
166,0.29794628293943842,6
167,0.17708908649333155,7
168,0.15742124688771214,8
169,0.21025955014510384,9
170,0.27709652597994833,0
171,0.09234377285348792,1
172,0.16784193623890631,2
173,0.09654982963153486,3
174,0.16836493003878006,4
175,0.22218267270433972,5
176,0.19506356540856989,6
177,0.33357771671710074,7
178,0.14759478032600420,8
179,0.30089742709890760,9
180,0.35097210833799980,0
181,0.07879593149051671,1
182,0.11639425564965877,2
183,0.14045355132242424,3
184,0.16747794998850046,4
185,0.35361046810020991,5
186,0.19792430362448382,6
187,0.16079892994736250,7
188,0.11479659254407505,8
189,0.44979196000624011,9
190,0.13967485801192309,0
191,0.10971081204631178,1
192,0.22995541450777240,2
193,0.26581789039938347,3
194,0.11788461990601085,4
195,0.22094976502080216,5
196,0.11845173228657110,6
197,0.18710919297858469,7
198,0.10925182048580484,8
199,0.19048416763097442,9
200,0.12511293573705518,0
201,0.13730361416829223,1
202,0.38267799562503513,2
203,0.35327967976514463,3
204,0.21423903068250605,4
205,0.10433234518864090,5
206,0.37932886865317217,6
207,0.09104715465181505,7
208,0.20073141156116764,8
209,0.12890099357243645,9
210,0.13691399838686075,0
211,0.13943675696665608,1
212,0.27095487547571689,2
213,0.12234324550714570,3
214,0.35330590129021566,4
215,0.23310485989566082,5
216,0.11783142515711351,6
217,0.14894054543221169,7
218,0.33714287049820585,8
219,0.14915505896094949,9
220,0.30887607510713300,0
221,0.19806449397059073,1
222,0.14899895431624485,2
223,0.12714073398833994,3
224,0.16897484160946730,4
225,0.07432460169929832,5
226,0.55715920207965319,6
227,0.16413141837890727,7
228,0.09717829568634177,8
229,0.19243518704963342,9
230,0.25525295084026739,0
231,0.35601006173423411,1
232,0.55459381001586183,2
233,0.29653078812333172,3
234,0.11734267690706950,4
235,0.30540375668173492,5
236,0.24227438708727045,6
237,0.23728398445936916,7
238,0.36668915722167894,8
239,0.21132003397398785,9
240,0.70963606575832072,0
241,0.20135780909456741,1
242,0.10389851582602855,2
243,0.19195238978303253,3
244,0.47413160065325932,4
245,0.19224820062584497,5
246,0.09603913719820886,6
247,0.29370393823967522,7
248,0.43534143709253897,8
249,0.13555577660190649,9
250,0.08252208172047912,0
251,1.00000000000000000,1
252,0.08979830860702565,2
253,0.30956073878084411,3
254,0.18562794599097598,4
255,0.46849684250215662,5
256,0.18387870430317288,6
257,0.16277520293865672,7
258,0.25630678814373897,8
259,0.15123780096580494,9
260,0.14331414248756813,0
261,0.15643422013395347,1
262,0.11040548896357692,2
263,0.10745564233127766,3
264,0.12149876927480870,4
265,0.13902795496811066,5
266,0.10242323573839757,6
267,0.06725157933933655,7
268,0.16119678188300146,8
269,0.26474466143132008,9
270,0.12562544435469636,0
271,0.26771334787317391,1
272,0.17578583152826094,2
273,0.28129468907296540,3
274,0.17594922312364220,4
275,0.09525543048241727,5
276,0.20732209872073548,6
277,0.16047897107138087,7
278,0.15272679803418451,8
279,0.28266574773910591,9
280,0.25389896375238080,0
281,0.30710850677731416,1
282,0.19638570003826661,2
283,0.21295756486719764,3
284,0.12680804453535791,4
285,0.24858460217700024,5
286,0.20466664281361813,6
287,0.15302267524911259,7
288,0.17680428707002560,8
289,0.11407938245160817,9
290,0.17929280278936977,0
291,0.12073263693711411,1
292,0.27861702402042243,2
293,0.19404034371305534,3
294,0.10302510781504158,4
295,0.31943912979751288,5
296,0.54050985499880111,6
297,0.13335850797003362,7
298,0.16722365097801190,8
299,0.20263979043077113,9
300,0.19875515636886126,0
301,0.29968040581629979,1
302,0.23927365165573150,2
303,0.53831767171036526,3
304,0.24051290719267221,4
305,0.19560993664078619,5
306,0.14296444378144552,6
307,0.24342900888090274,7
308,0.15710679851523096,8
309,0.11859243525796510,9
310,0.47885332470808595,0
311,0.13999990111484178,1
312,0.10785277734311653,2
313,0.15874595732595398,3
314,0.23943885004567250,4
315,0.15365178799381082,5
316,0.16492448141404029,6
317,0.11648905849902566,7
318,0.12918179077727654,8
319,0.34146505752319617,9
320,0.25381872602858463,0
321,0.46795237611713375,1
322,0.21806683455149978,2
323,0.20440485277853937,3
324,0.14581428967258733,4
325,0.12205926087799174,5
326,0.29366299571033322,6
327,0.17435605830898651,7
328,0.21858712955460474,8
329,0.15423884110698255,9
330,0.25241561631504872,0
331,0.17445809928502309,1
332,0.31352593800106598,2
333,0.09212355177253347,3
334,0.14049711069021881,4
335,0.15132213508434519,5
336,0.31987845057102721,6
337,0.11133821940451348,7
338,0.21739792064718494,8
339,0.34969759291786645,9
340,0.30724265237454407,0
341,0.13911297652375673,1
342,0.25736609643002772,2
343,0.16478490002820187,3
344,0.18447358509888340,4
345,0.14994750796303491,5
346,0.08836629304680370,6
347,0.30187749808221331,7
348,0.61138537383998248,8
349,0.24292552120678179,9
350,0.21856869152109437,0
351,0.11896881894108030,1
352,0.09935322071988434,2
353,0.47177841793991537,3
354,0.16020428133240516,4
355,0.41284447012855863,5
356,0.13504802669375016,6
357,0.12837222118400715,7
358,0.19148127249268998,8
359,0.14512471908486768,9
360,0.11653382170239331,0
361,0.95870179350043594,1
362,0.27400587223877682,2
363,0.29204952490957475,3
364,0.16548955297783391,4
365,0.24978664828047092,5
366,0.21952876223529016,6
367,0.09108694922847037,7
368,0.09744176659431919,8
369,0.10569129275633748,9
370,0.16642627738183874,0
371,0.15150200169047479,1
372,0.18730959013630205,2
373,0.14535309260038953,3
374,0.16213630579051308,4
375,0.22930786567297057,5
376,0.09342832724613906,6
377,0.17438239233430097,7
378,0.23968158247761517,8
379,0.08733688087868757,9
380,0.10695557778334334,0
381,0.25327766559849008,1
382,0.16569954355313304,2
383,0.16486832975210300,3
384,0.20299617920098706,4
385,0.15696478614243889,5
386,0.18434740108807440,6
387,0.62473354065907483,7
388,0.45148209873501849,8
389,0.11233184203980615,9
390,0.12974075929285236,0
391,0.23250368926527470,1
392,0.16992347115662876,2
393,0.10786076318856669,3
394,0.31257260512643448,4
395,0.28471657650618598,5
396,0.33582749190709699,6
397,0.25317255622765195,7
398,0.13210252428616615,8
399,0.10490809826555826,9
400,0.22947049362851907,0
401,0.20831658189130708,1
402,0.12580796955398410,2
403,0.14834595669887762,3
404,0.16294696112229440,4
405,0.12407933222728346,5
406,0.10696469260569355,6
407,0.25772036350748823,7
408,0.36317571839512969,8
409,0.14125483641448228,9
410,0.65132553539716276,0
411,0.32773398878712823,1
412,0.11244874331315168,2
413,0.20028130666624672,3
414,0.08887884164745563,4
415,0.33991846801298015,5
416,0.19170651361613938,6
417,0.17179329341277194,7
418,0.31690057967642432,8
419,0.29723952046169416,9
420,0.20098503460690897,0
421,0.12372375589046423,1
422,0.19620242784849251,2
423,0.17290993265040411,3
424,0.24182558641467866,4
425,0.09342547336966442,5
426,0.69578870111812874,6
427,0.20368158463862523,7
428,0.16344428732317801,8
429,0.32655258694698075,9
430,0.20007010082358989,0
431,0.28098761733742034,1
432,0.18712341585549924,2
433,0.13178763512577141,3
434,0.13593140666561582,4
435,0.19951001794221718,5
436,0.19874108948531938,6
437,0.17402518114964827,7
438,0.42063558614590674,8
439,0.52487261598799184,9
440,0.27311691012771994,0
441,0.12296807596200159,1
442,0.18027614309882528,2
443,0.15443452397842400,3
444,0.12480226463806965,4
445,0.09588190112346551,5
446,0.29648853130954989,6
447,0.18638104182167065,7
448,0.10710387901145646,8
449,0.16322594939833046,9
450,0.16868368758593838,0
451,0.15534497526865149,1
452,0.19700207851314194,2
453,0.26256415599766342,3
454,0.61644207281924934,4
455,0.31924586721432829,5
456,0.19069553687328217,6
457,0.14572620752058968,7
458,0.18424440531150688,8
459,0.09012769272415413,9
460,0.12707896476052583,0
461,0.25998319815381815,1
462,0.10828766167112998,2
463,0.20151308844111943,3
464,0.19720923879349378,4
465,0.22484861657412830,5
466,0.22149221564017274,6
467,0.11640782171917230,7
468,0.07891046897649120,8
469,0.12508938211425924,9
470,0.44558505456832248,0
471,0.15279292763891811,1
472,0.48108625317953219,2
473,0.38188433887684620,3
474,0.14679474738995460,4
475,0.18824309464875488,5
476,0.16207155905019316,6
477,0.26710870921341867,7
478,0.09148875529234346,8
479,0.11664505986604207,9
480,0.18554526318028824,0
481,0.15852368861295441,1
482,0.15058561301093115,2
483,0.17184928350428752,3
484,0.18220004881215551,4
485,0.16274407921328660,5
486,0.16713197751038528,6
487,0.16750591436768553,7
488,0.18021563687411124,8
489,0.22464157925109568,9
490,0.09349920726295133,0
491,0.15635629435073820,1
492,0.27690468516343025,2
493,0.40514320520572750,3
494,0.15014984883917426,4
495,0.20807802509616452,5
496,0.20151804287774899,6
497,0.42168954165743422,7
498,0.17903529141954549,8
499,0.37450351204320004,9
500,0.10007334817513472,0
501,0.17468930727379584,1
502,0.11808059410616467,2
503,0.19839006800974596,3
504,0.08942407901761618,4
505,0.12508080437313629,5
506,0.15356776778066905,6
507,0.13896566797645313,7
508,0.23783421051004949,8
509,0.34668959038869335,9
510,0.10336856779719403,0
511,0.27347278376332601,1
512,0.14244902334836324,2
513,0.12518173800409135,3
514,0.13136660251308330,4
515,0.11211936349788194,5
516,0.12561752650140734,6
517,0.25720241732227561,7
518,0.31844478113036806,8
519,0.19465886475583821,9
520,0.39015245047794400,0
521,0.39005937392151296,1
522,0.25594405341967524,2
523,0.55358325862058999,3
524,0.27271524059556845,4
525,0.28160102108423019,5
526,0.26299397611210795,6
527,0.15142163756839189,7
528,0.22361519222712528,8
529,0.19989296908467769,9
530,0.51884217118797948,0
531,0.23574241601035306,1
532,0.18504218308938636,2
533,0.21042699591919567,3
534,0.60284858243754302,4
535,0.22069033447235448,5
536,0.32512007439149415,6
537,0.17292912098713664,7
538,0.10206876538660616,8
539,0.28503210950253133,9
540,0.26643240344581259,0
541,0.16972928447979957,1
542,0.30234219809140961,2
543,0.11840838181515331,3
544,0.40464616337227388,4
545,0.10736920541698020,5
546,0.23512016172712780,6
547,0.14746343541491866,7
548,0.44959626388252583,8
549,0.54779891137741255,9
550,0.21904535083992721,0
551,0.09203251512969024,1
552,0.18410245890025212,2
553,0.21963189186276616,3
554,0.46659798621480908,4
555,0.13765551533222481,5
556,0.08040928973508461,6
557,0.18350848622949106,7
558,0.20702866195070457,8
559,0.26023649731991549,9
560,0.09241374160368751,0
561,0.12735694137266773,1
562,0.28905697098522215,2
