group,node
0,708
0,808
0,1548
0,2117
0,3848
1,530
1,990
1,1330
1,2950
1,2970
1,3810
2,253
2,1038
2,1193
2,1493
2,1599
2,1653
2,2133
3,684
3,1173
3,1484
3,1964
3,2124
3,2404
3,2704
3,3202
3,3384
4,6
4,146
4,288
4,361
4,966
4,1126
4,2286
4,2910
4,3586
4,3606
5,137
5,548
5,568
5,788
5,868
5,1608
5,1922
5,2208
5,2388
5,2468
5,3348
5,3988
6,2
6,742
6,1382
6,1822
6,1942
6,2062
6,3002
6,3122
6,3222
6,3282
6,3422
6,3542
6,3962
7,48
7,148
7,428
7,948
7,1150
7,1318
7,1348
7,2266
7,2268
7,2308
7,2428
7,2888
7,3118
7,3408
7,3788
8,182
8,482
8,1009
8,1295
8,1762
8,1842
8,2262
8,2422
8,2542
8,2662
8,2696
8,2745
8,3442
8,3742
8,3974
8,3982
9,46
9,646
9,686
9,746
9,766
9,1086
9,1346
9,1486
9,2006
9,2559
9,2806
9,3106
9,3286
9,3439
9,3466
9,3731
9,3766
9,3886
10,102
10,502
10,1062
10,1102
10,1422
10,1442
10,1482
10,1842
10,1862
10,2082
10,2522
10,2642
10,2802
10,2838
10,2842
10,3022
10,3142
10,3742
10,3895
11,116
11,316
11,416
11,816
11,976
11,1176
11,1396
11,1496
11,1536
11,2036
11,2076
11,2096
11,2216
11,2236
11,2276
11,2456
11,3136
11,3376
11,3456
11,3616
11,3736
12,202
12,362
12,528
12,662
12,712
12,922
12,1362
12,1442
12,1502
12,1882
12,2102
12,2422
12,2442
12,2502
12,2642
12,2862
12,2882
12,3042
12,3143
12,3422
12,3522
12,3642
13,11
13,263
13,323
13,483
13,503
13,603
13,623
13,762
13,1023
13,1123
13,1383
13,1483
13,1543
13,1663
13,1743
13,2383
13,2553
13,2903
13,3103
13,3116
13,3343
13,3623
13,3785
13,3963
14,17
14,221
14,232
14,392
14,632
14,772
14,1032
14,1132
14,1192
14,1321
14,1512
14,1563
14,1592
14,1672
14,2292
14,2372
14,2432
14,2692
14,3032
14,3332
14,3402
14,3432
14,3632
14,3766
14,3812
15,130
15,260
15,420
15,455
15,764
15,802
15,860
15,940
15,1140
15,1322
15,1380
15,1680
15,1760
15,1800
15,1820
15,2045
15,2120
15,2220
15,2440
15,2500
15,2540
15,2600
15,2880
15,2960
15,3180
15,3600
15,3980
16,107
16,239
16,579
16,659
16,883
16,939
16,1079
16,1105
16,1593
16,1659
16,1679
16,1739
16,1859
16,1899
16,1919
16,2059
16,2279
16,2413
16,2479
16,2599
16,2859
16,2939
16,2999
16,3019
16,3039
16,3459
16,3659
16,3942
17,32
17,72
17,232
17,332
17,832
17,852
17,972
17,1212
17,1252
17,1292
17,1312
17,1332
17,1512
17,1631
17,1852
17,2032
17,2072
17,2192
17,2272
17,2572
17,2912
17,2917
17,3014
17,3112
17,3172
17,3432
17,3632
17,3772
17,3790
17,3812
18,42
18,47
18,82
18,262
18,322
18,402
18,442
18,762
18,982
18,1182
18,1303
18,1310
18,1322
18,1442
18,1570
18,1762
18,1858
18,1862
18,2002
18,2322
18,2406
18,2422
18,2542
18,2793
18,2842
18,3402
18,3422
18,3622
18,3727
18,3782
18,3802
19,14
19,174
19,294
19,414
19,434
19,658
19,954
19,1052
19,1076
19,1094
19,1114
19,1154
19,1214
19,1294
19,1325
19,1454
19,1514
19,1645
19,1734
19,1974
19,2090
19,2114
19,2183
19,2254
19,2401
19,2634
19,2854
19,2974
19,3334
19,3400
19,3458
19,3549
19,3934
20,62
20,302
20,422
20,458
20,482
20,502
20,862
20,904
20,1022
20,1120
20,1242
20,1382
20,1651
20,1782
20,1802
20,1822
20,2002
20,2182
20,2222
20,2354
20,2362
20,2365
20,2440
20,2802
20,2814
20,2869
20,3122
20,3262
20,3402
20,3442
20,3529
20,3626
20,3642
20,3662
21,161
21,521
21,701
21,829
21,881
21,921
21,1181
21,1201
21,1261
21,1561
21,1566
21,1681
21,1781
21,1921
21,2041
21,2261
21,2350
21,2361
21,2473
21,2501
21,2504
21,2561
21,2581
21,2641
21,2821
21,2961
21,3001
21,3041
21,3121
21,3134
21,3321
21,3350
21,3401
21,3701
21,3757
21,3781
22,103
22,108
22,168
22,208
22,328
22,628
22,688
22,898
22,932
22,948
22,1035
22,1048
22,1099
22,1208
22,1268
22,1368
22,1402
22,1468
22,1608
22,1768
22,2068
22,2168
22,2545
22,2568
22,2628
22,2721
22,2728
22,3040
22,3108
22,3288
22,3350
22,3428
22,3548
22,3788
22,3928
22,3948
22,3968
23,43
23,98
23,137
23,183
23,184
23,263
23,363
23,383
23,423
23,443
23,463
23,503
23,683
23,863
23,903
23,1003
23,1163
23,1283
23,1323
23,1366
23,1657
23,1737
23,1763
23,1943
23,2043
23,2068
23,2083
23,2103
23,2543
23,2683
23,2964
23,3163
23,3223
23,3263
23,3361
23,3543
23,3763
23,3844
23,3863
24,5
24,185
24,205
24,245
24,272
24,525
24,645
24,825
24,1085
24,1198
24,1405
24,1725
24,1745
24,1825
24,1925
24,1944
24,1965
24,1985
24,2105
24,2145
24,2325
24,2385
24,2425
24,2445
24,2485
24,2525
24,2538
24,2845
24,2865
24,2906
24,3085
24,3125
24,3285
24,3345
24,3365
24,3585
24,3586
24,3605
24,3645
24,3824
25,65
25,105
25,107
25,175
25,210
25,365
25,495
25,1025
25,1045
25,1125
25,1205
25,1245
25,1287
25,1365
25,1405
25,1445
25,1605
25,1885
25,1901
25,2005
25,2125
25,2245
25,2254
25,2425
25,2525
25,2566
25,2625
25,2765
25,2781
25,2805
25,2885
25,2945
25,3065
25,3145
25,3225
25,3325
25,3385
25,3425
25,3565
25,3765
25,3945
25,3965
26,163
26,203
26,508
26,563
26,623
26,683
26,1063
26,1083
26,1123
26,1243
26,1283
26,1343
26,1378
26,1473
26,1523
26,1563
26,1628
26,2003
26,2063
26,2186
26,2283
26,2313
26,2343
26,2423
26,2523
26,2703
26,2723
26,2743
26,2963
26,2983
26,3046
26,3183
26,3263
26,3383
26,3403
26,3483
26,3503
26,3563
26,3583
26,3723
26,3783
26,3863
26,3903
27,9
27,49
27,327
27,469
27,649
27,889
27,930
27,989
27,1004
27,1009
27,1169
27,1175
27,1249
27,1329
27,1376
27,1709
27,1729
27,1969
27,2049
27,2089
27,2229
27,2269
27,2309
27,2409
27,2469
27,2609
27,2709
27,2789
27,2949
27,3029
27,3049
27,3089
27,3266
27,3309
27,3549
27,3569
27,3612
27,3649
27,3689
27,3709
27,3729
27,3742
27,3809
27,3849
27,3989
28,76
28,92
28,188
28,192
28,212
28,292
28,412
28,552
28,610
28,632
28,732
28,752
28,812
28,852
28,872
28,892
28,912
28,1012
28,1072
28,1212
28,1244
28,1252
28,1572
28,1652
28,1659
28,1699
28,1812
28,1932
28,2069
28,2212
28,2332
28,2672
28,2912
28,3146
28,3172
28,3192
28,3232
28,3312
28,3332
28,3432
28,3452
28,3460
28,3491
28,3552
28,3590
28,3641
29,278
29,281
29,458
29,598
29,708
29,738
29,798
29,938
29,1038
29,1202
29,1238
29,1263
29,1458
29,1638
29,1658
29,1697
29,1838
29,1958
29,2098
29,2138
29,2158
29,2236
29,2338
29,2340
29,2355
29,2598
29,2718
29,2738
29,2778
29,2818
29,2929
29,2936
29,2938
29,2983
29,3058
29,3077
29,3166
29,3278
29,3391
29,3481
29,3498
29,3518
29,3538
29,3738
29,3778
29,3818
29,3878
30,106
30,295
30,688
30,755
30,826
30,855
30,955
30,975
30,1075
30,1195
30,1235
30,1255
30,1515
30,1593
30,1655
30,1695
30,1795
30,1860
30,1875
30,2075
30,2095
30,2115
30,2235
30,2275
30,2295
30,2315
30,2475
30,2575
30,2615
30,2675
30,2733
30,2755
30,3035
30,3055
30,3125
30,3134
30,3140
30,3189
30,3275
30,3295
30,3368
30,3415
30,3469
30,3615
30,3646
30,3695
30,3855
30,3915
30,3935
31,26
31,266
31,286
31,386
31,448
31,546
31,606
31,646
31,666
31,726
31,806
31,886
31,906
31,946
31,1006
31,1067
31,1126
31,1246
31,1446
31,1506
31,1546
31,1581
31,1686
31,1766
31,1826
31,1866
31,1906
31,1926
31,1980
31,2166
31,2186
31,2506
31,2586
31,2666
31,2727
31,2786
31,2826
31,2846
31,2966
31,2979
31,2986
31,3044
31,3126
31,3206
31,3406
31,3546
31,3586
31,3606
31,3786
31,3946
32,96
32,136
32,176
32,316
32,436
32,476
32,496
32,497
32,576
32,645
32,696
32,876
32,976
32,1122
32,1136
32,1256
32,1296
32,1376
32,1615
32,1616
32,1676
32,1816
32,1856
32,1896
32,1996
32,2036
32,2136
32,2175
32,2236
32,2252
32,2290
32,2336
32,2349
32,2356
32,2496
32,2616
32,2636
32,2660
32,3075
32,3106
32,3156
32,3196
32,3216
32,3316
32,3375
32,3496
32,3576
32,3636
32,3736
32,3756
32,3916
32,3936
33,45
33,85
33,247
33,319
33,345
33,425
33,585
33,705
33,765
33,830
33,865
33,965
33,1048
33,1085
33,1165
33,1185
33,1225
33,1229
33,1265
33,1305
33,1385
33,1425
33,1485
33,1526
33,1558
33,1565
33,1605
33,1617
33,1685
33,1705
33,1885
33,2125
33,2185
33,2325
33,2385
33,2825
33,2845
33,3005
33,3085
33,3125
33,3138
33,3203
33,3205
33,3240
33,3332
33,3385
33,3506
33,3564
33,3565
33,3665
33,3745
33,3765
33,3865
34,6
34,26
34,46
34,166
34,206
34,263
34,286
34,366
34,466
34,566
34,586
34,826
34,866
34,886
34,926
34,986
34,1073
34,1226
