source,target
0,1
0,2
0,16
0,20
0,24
0,28
0,32
1,2
1,17
1,21
1,29
1,33
1,37
1,57
2,3
2,18
2,19
2,22
2,34
2,54
3,4
3,11
3,31
3,35
3,55
4,5
4,24
4,40
5,6
5,25
5,29
5,36
5,37
5,38
5,39
5,53
6,7
6,11
6,14
6,26
6,42
6,50
6,58
7,8
7,11
7,27
7,35
7,39
7,42
7,43
7,51
7,55
8,9
8,12
8,20
8,24
8,32
8,40
8,48
9,10
9,13
9,37
9,45
9,53
10,11
10,14
10,26
10,42
10,46
10,50
10,54
11,12
11,13
11,15
11,19
11,27
11,31
11,45
11,50
11,55
11,56
11,59
12,13
12,21
12,24
12,27
12,36
12,40
12,44
12,59
13,14
14,15
14,26
14,46
14,58
15,16
15,17
15,19
15,31
15,37
15,51
16,17
16,24
16,30
16,41
16,48
17,18
17,21
17,25
17,41
17,45
18,19
18,22
18,42
18,46
18,58
19,20
19,47
19,51
19,55
20,21
20,28
20,33
20,48
21,22
21,29
21,34
21,37
21,41
21,53
22,23
22,39
22,50
22,54
22,57
23,24
23,31
23,39
23,43
23,48
23,59
24,25
24,40
24,56
25,26
25,29
25,33
25,45
25,49
25,55
25,57
26,27
26,38
26,46
27,28
27,31
27,35
27,39
27,44
27,46
28,29
28,37
28,38
28,48
29,30
29,34
29,45
29,49
30,31
30,50
30,54
31,32
31,43
31,50
31,51
31,59
32,33
32,38
33,34
33,41
33,49
33,53
34,35
34,46
34,54
34,56
35,36
35,42
35,43
35,44
35,46
35,47
35,55
36,37
36,40
36,48
37,38
37,49
37,53
37,57
38,39
38,42
39,40
39,43
39,47
40,41
41,42
42,43
42,46
42,56
43,44
43,49
43,59
44,45
44,52
45,46
45,48
45,49
45,53
45,57
46,47
46,48
46,50
47,48
48,49
49,50
49,53
50,51
51,52
52,53
52,56
53,54
53,57
54,55
55,56
55,57
55,59
56,57
57,58
58,59
