group,node
0,5
0,8
0,32
1,11
1,18
1,32
1,50
2,5
2,9
2,13
2,49
2,53
3,0
3,7
3,16
3,19
3,28
3,32
3,40
4,1
4,3
4,21
4,33
4,37
4,47
4,49
4,57
5,1
5,9
5,13
5,25
5,33
5,45
5,47
5,49
5,53
6,10
6,18
6,26
6,30
6,34
6,36
6,38
6,42
6,46
6,48
6,50
7,5
7,11
7,15
7,19
7,25
7,31
7,32
7,37
7,39
7,41
7,43
7,55
8,7
8,11
8,15
8,16
8,31
8,35
8,36
8,39
8,43
8,47
8,51
8,55
8,59
9,7
9,15
9,19
9,23
9,26
9,28
9,31
9,35
9,38
9,39
9,43
9,47
9,51
9,55
9,59
10,5
10,9
10,10
10,13
10,17
10,21
10,25
10,27
10,29
10,34
10,37
10,40
10,41
10,49
10,52
10,53
11,3
11,7
11,10
11,11
11,15
11,23
11,27
11,31
11,35
11,39
11,40
11,42
11,43
11,50
11,51
11,55
11,58
11,59
