node,cost,block
0,0.18262083901975562,0
1,0.25898235669619590,1
2,0.17649165038611092,2
3,0.23705730777398487,3
4,0.23487499338702095,0
5,1.00000000000000000,1
6,0.14492550452918540,2
7,0.29586740338939438,3
8,0.23132631641737939,0
9,0.18116515374629666,1
10,0.11694457084837342,2
11,0.12129095073174850,3
12,0.24199241422201234,0
13,0.48863965741211129,1
14,0.17740490893652910,2
15,0.48753469167587254,3
16,0.28112182492153254,0
17,0.13263634306882391,1
18,0.10137757037924150,2
19,0.13530223051875936,3
20,0.17040251688387159,0
21,0.13560284048192789,1
22,0.11446114779139582,2
23,0.21730498762519862,3
24,0.14329327858630247,0
25,0.10480935045246581,1
26,0.15958691199368477,2
27,0.21861015100397418,3
28,0.39723440159114287,0
29,0.14749551015368340,1
30,0.13937803800432391,2
31,0.29333614625339199,3
32,0.23815367822367273,0
33,0.18506543359279115,1
34,0.12582086462839920,2
35,0.16570468154097531,3
36,0.14256529701001550,0
37,0.13047360386040241,1
38,0.23306147394675714,2
39,0.18914309497054760,3
40,0.25468401873048790,0
41,0.13837188696537078,1
42,0.13478761200359110,2
43,0.17043796320512744,3
44,0.91555522178779225,0
45,0.16171375569428648,1
46,0.15494480342102426,2
47,0.08572167303696390,3
48,0.10483733714656226,0
49,0.20935549336878234,1
50,0.08813556858170621,2
51,0.15781611075800850,3
52,0.27548483939053864,0
53,0.27459307751840861,1
54,0.21017443286083143,2
55,0.40610942800033578,3
56,0.09743020722254081,0
57,0.08511725009695109,1
58,0.28216371583081273,2
59,0.57552949560580935,3
