evaluations,elapsed_seconds,pareto_population
64,1.43587532200000001,60
128,1.43804789700000013,63
320,1.44489680900000006,64
576,1.45317488500000014,64
832,1.46078512599999999,64
1088,1.46881505899999998,64
1344,1.47579218300000004,64
1600,1.48338265499999999,64
1856,1.49017564100000000,64
2112,1.49826882000000006,64
2368,1.50497781100000005,64
2624,1.51229083200000014,64
2880,1.51905045999999988,64
3136,1.52649785199999988,64
3392,1.53365252399999985,64
3648,1.54068307399999993,64
3904,1.54869473800000002,64
4160,1.55548372400000012,64
4416,1.56259840799999994,64
4672,1.57075389300000001,64
4928,1.57931819999999989,64
5184,1.58618288100000004,64
5440,1.59420551500000007,64
5696,1.60136715600000001,64
5952,1.60890384200000014,64
6208,1.61609520100000004,64
6464,1.62312648099999990,64
6720,1.63146417299999991,64
6976,1.63848758399999994,64
7232,1.64631602999999993,64
7488,1.65387439499999989,64
7744,1.66146358800000016,64
8000,1.66851831600000011,64
8192,1.67396949100000003,64
