evaluations,elapsed_seconds,best_quality
32,0.006430302,6.349110220032588
64,0.012318778,6.349110220032588
96,0.016989642,6.349110220032588
128,0.022624636,6.349110220032588
160,0.027763675,6.349110220032588
192,0.032833894,6.349110220032588
224,0.037906062,6.349110220032588
256,0.043515616,6.349110220032588
288,0.048926127,6.349110220032588
320,0.05440195,6.349110220032588
352,0.059260306,6.3547860068460835
384,0.064414625,6.3547860068460835
416,0.069709946,6.3547860068460835
448,0.075490281,6.3547860068460835
480,0.080260396,6.3547860068460835
512,0.085281284,6.3547860068460835
