point_id,feasible,selected,objective_negative_throughput,objective_mean_lead_time,objective_mean_wip,objective_cost_rate,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
0,1,0,-86.5,3.9496018635521324,5.761891178684377,15.785046380093256,23,1.4093288549126104,1.2067514774301795,0.6187306982544722,0.37081439824787715,0.9769499836840863,1,4,4
1,1,1,-85.875,3.847310462174478,5.642102958277081,15.645100093576147,23,1.4093288549126104,1.2067235986548617,0.5612128145848756,0.35113570353661916,0.7844012466117146,0.89441143132231,4,4
2,1,0,-85.8125,6.352049034215573,9.345577783768741,14.991474465934875,23,1.4093288549126104,1.2067235986548615,0.5612128145848756,0.3511357035366192,0.7844012466117146,0.8695535548046605,4,3
3,1,0,-84.875,4.2852009594229,6.265418962832293,13.668082451485777,23,1.0004357743010845,1.2055289080979283,0.6343519888047768,0.3736897647750597,0.38537776350072606,0.19400301668666364,4,4
4,1,0,-83.6875,6.069614813152379,8.846771523543747,12.796927183825256,29,0.713933002552593,1.1730911071884615,0.6299072523240127,0.5846824886687583,0.09247420467256512,0.2867515632439749,4,4
5,1,0,-82.25,9.674901873545526,15.446381826101035,11.299563979446479,27,0.7530092947583262,0.7180463187880111,0.36579369332276945,0.8164328659025302,0.04904385256496113,0.8873789273400962,4,4
6,1,0,-75,10.993959029160838,28.6553971889375,11.188059569859462,28,1.112455247039002,1.3094742019468057,0.7632115005299547,0.4129976985205611,0.05147843951949124,0.9609409955817606,2,3
7,1,0,-70.5,17.3013272485479,40.21298225580311,8.57836453293427,14,0.9934716751731827,0.7571420717868655,0.817476158045489,0.8190921607153782,0.288715030907959,0.735746949375151,2,3
8,1,0,-68.3125,16.00029107753845,34.20298026333751,10.103132599774053,19,1.3265776467203643,0.7223166325160703,0.771831828224806,0.8111987842484941,0.13270070867885328,0.970522041920018,2,3
9,1,0,-65.25,10.288940609482314,14.397043913135422,10.688497750516465,9,0.9638496140605044,1.2661573036736684,0.6373792092678227,0.4072960867877362,0.5574068504203977,0.7410528506162534,3,2
10,1,0,-61.1875,8.545564955630581,10.149837745917708,12.3702634812145,7,1.4291958253734913,0.719512566476616,0.7545624480436286,0.4116508612017238,0.0335632257642825,0.6660225759069633,4,3
11,1,0,-60.75,8.724641046611108,10.269816231968743,12.243682419727554,7,1.4071631283688408,0.719512566476616,0.7658444827668645,0.41165086120172373,0.0335632257642825,0.6660225759069633,4,3
12,1,0,-59.375,14.534473908353789,16.93612583558228,9.846940330208833,11,0.9972304330187208,1.1070336890251582,0.5720745864197919,0.6133243774918352,0.4553911147460382,0.17375262672098968,3,2
13,1,0,-57.6875,11.998248820256864,20.96185514333334,10.561230006144452,3,1.4061235136302463,1.1078889487926171,0.5641180184885487,0.6104490109646525,0.9885141731673703,0.9597474238335015,2,2
14,1,0,-57.1875,21.27229856107369,65.206238054625,7.588797179968235,18,0.7283997253891109,0.7379160349332351,0.5907407016352517,0.635252934307651,0.16359787617710964,0.7870940953122165,2,4
15,1,0,-56.25,21.468596749435186,67.07715916161457,7.487388377172497,14,0.7104482076341685,0.7084089363172297,0.5908707334855849,0.6352529343076508,0.1635978761771096,0.7870940953122165,2,4
16,1,0,-55.75,34.18181136528459,51.05329412032504,8.109019597918513,3,0.9972304330187207,1.106666379460366,0.35343102181718744,0.6132466063367286,0.3329888938270753,0.15365181652125792,2,2
17,1,0,-48.5,17.504035119737317,84.18606383012911,6.5546315858529605,28,1.5196143109908413,0.7097243664400571,0.6374024538551685,0.7947207311842166,0.05169295016020482,0.9615182194911602,1,2
18,1,0,-48.0625,36.31334782542887,79.62666258393443,6.0173455778848,27,0.7530092947583262,0.7084002425987942,0.7580826166386138,0.8215040687478571,0.03355480681963382,0.6551522557898477,2,2
19,1,0,-46.8125,40.65846759256557,55.5861923002646,7.265191442615313,19,1.0250780700201951,0.799862936917294,0.637515826918405,0.40424736875598033,0.5668031744642483,0.3311621683952898,2,2
20,1,0,-46.5,43.50793754729704,83.78931114243541,5.899194083439851,24,0.7104482076341685,0.705814949276464,0.696987749959297,0.6348426435513235,0.9553210355236751,0.5895121265672216,2,2
21,1,0,-44.25,25.240378532858173,23.543338750896872,8.523070884963786,18,0.7478650522444011,0.7546704771894286,0.5846288269068335,0.561964020254625,0.3020776489402154,0.3315785103430101,4,2
22,1,0,-39.125,44.3775633842355,102.10893543626354,4.6081825361060655,28,1.0216663770284296,0.7169259445998662,0.6373421436288249,0.739861655659107,0.3624501119646255,0.642202455797551,1,2
23,1,0,-38.4375,44.78148314765166,103.17778650654583,4.528667542719928,25,0.9976754661694811,0.7266648882369174,0.6373421436288249,0.7398616556591069,0.2832956484776889,0.642202455797551,1,2
24,1,0,-34.8125,27.62965998478345,26.83339953953957,8.026731287512014,22,0.7281700858750204,1.2003950008452742,0.5907322754011111,0.8140805770424009,0.7808385258564737,0.7309977217430396,4,1
25,1,0,-32.4375,31.003748545603585,113.87370544265418,3.864747269130928,23,0.7530367139359733,0.8021393955102013,0.564238896399432,0.38430128620320797,0.12235656620129043,0.7881957916989544,1,2
26,1,0,-30.75,51.19460936530818,119.03039880244687,3.764331514852544,27,0.7530092947583263,0.7084002425987942,0.3657936933227695,0.8164328659025303,0.04904385256496116,0.6551522557898476,1,2
27,1,0,-30.6875,50.54449443649591,118.98570863392811,3.7652637979583665,27,0.7530092947583263,0.7180463187880111,0.36579369332276945,0.8164328659025303,0.04904385256496116,0.6563170565315593,1,2
28,1,0,-28.75,38.221331118345475,123.65445226499376,3.0421140979628083,23,0.7530367139359733,0.7587379083458354,0.5595552508536835,0.384301286203208,0.12235656620129043,0.7927300872141054,1,1
29,1,0,-23.8125,50.62457410588584,43.8452639158073,7.030375215718398,19,1.2971506279277998,0.809243625862486,0.530626760516583,0.6499485265224156,0.1635307361184428,0.33895790174338647,2,1
