niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_throughput_per_hour_train,descriptor_mean_wip_train,descriptor_throughput_per_hour_validation,descriptor_mean_wip_validation,validation_niche_id,same_niche,visit_count,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
53,3,5,19.86582098408389,20.909965752327025,31.375,118.10018560677193,29.53125,115.96548975554688,52,0,355,11,0.7,0.9867091486176625,0.6359328345914382,0.6898588170046727,0.540187910763245,1,1,1
52,2,5,21.01802369619043,20.964554384531027,28.4375,106.33578865850731,27.65625,101.38178024880781,52,1,100,1,0.8764326766570508,0.901104187026454,0.5592227797333003,0.6499086845713005,0.7159383643498124,1,1,1
44,4,4,21.42878675128381,21.64442288589163,40.0625,98.563617413475,38.375,94.06924785134476,43,0,193,1,1.004209919165588,0.9045188893349796,0.5779648228311243,0.6199626925102141,0.5962291710729865,1,1,2
63,3,6,21.494657319796765,23.184663277722525,30,120.9763728106375,29,116.09351891251355,52,0,21,18,0.7198326409059159,0.8488417738524725,0.4701395052751355,0.6003726013221052,0.3270259765727607,1,1,1
43,3,4,21.977356934038415,21.752391591720972,39.875,97.72139306120208,38.875,93.83291405984323,43,1,47,1,1.020159525377588,0.8893110418897737,0.5733196116887412,0.6051898225298643,0.6187374055274364,1,1,2
62,2,6,21.99375056652609,21.571821213452232,29.8125,120.96638898200935,28.46875,116.2667777461797,52,0,68,10,0.7040086341783485,0.8664543497885424,0.5167948252001705,0.6005771799977538,0.3766519622578198,1,1,1
42,2,4,22.437801541346012,21.761362403887322,28.625,96.46325108034995,25.78125,93.65192316547186,42,1,122,1,1.0567346390482513,0.8818678569512197,0.5503228767873362,0.7929549235005326,0.8552989695442317,1,1,1
54,4,5,22.792689776474248,22.51629679127963,40.1875,100.50305305575627,36.6875,98.34429948815622,43,0,15,1,1.0173403711688416,0.8911948267423082,0.5130714618834362,0.6818200440014758,0.6952227279440059,0.9974960400592775,1,2
33,3,3,24.38844046607472,24.92385267683897,31.1875,65.83300598444167,30.28125,64.66635914691095,33,1,147,1,0.7,1.0460478824151727,0.6756297624895309,0.46155366713439355,0.5098806681119759,1,2,1
32,2,3,24.44908496772431,25.495158690272927,29.375,66.34467508933437,29.1875,63.22155103009271,32,1,78,1,0.7,1.017872728509143,0.7527697258306676,0.378208446995173,0.40876830886175625,0.992139825812035,2,1
34,4,3,24.625815668341453,25.355418229073763,49,67.50283612968539,49.25,64.9946757782703,34,1,83,1,0.7,0.9470591657438198,0.767375913195941,0.510800803993157,0.7671652695144744,1,2,2
2,2,0,24.66831340127191,24.580012032760425,27.1875,6.4231189502979165,26.09375,6.565924069911459,2,1,228,1,1.0219061435142973,0.9703072215529741,0.8360024401660756,0.6236368347663043,0.4456984501343066,0.8619510113910718,3,1
35,5,3,24.698967569326367,25.365178582879636,51.0625,67.4665383091177,50.125,65.29470302401145,35,1,193,1,0.7,0.9805020888324146,0.7427873352523678,0.5193803961176217,0.8066983459408053,1,2,2
22,2,2,24.80957798278721,26.41825920728325,27.6875,54.1151618547927,27.40625,51.941579763448445,22,1,141,1,0.8092516449344732,0.9846988672545558,0.7595592315646466,0.45613060853083387,0.4675928854398097,1,2,1
3,3,0,25.000248952389523,25.097457899417947,30.0625,6.427207234451041,26.75,6.783647894085419,2,0,44,1,1.056383572533717,1.0162278155382054,0.5601178267962785,0.6800944236539443,0.60339199451205,0.9772393320730045,3,1
23,3,2,25.05052712691064,25.478283641985954,30.375,58.61995095141665,30.84375,55.66178983019426,23,1,125,1,0.7709405182882763,1.0484239132551407,0.7549215874140305,0.4888522173478088,0.37436663037287976,1,2,1
4,4,0,25.43197182313036,25.37213261223706,41.875,5.830391634597914,41.03125,5.716812814296353,4,1,140,1,0.9070982025015616,0.783087259452479,0.8344474584454485,0.9493690108026409,0.1371339068786288,0.884082413699149,4,2
24,4,2,25.54379013526648,25.614395487373763,46.8125,55.44667143038958,45.1875,53.315202585382316,24,1,137,1,0.8025941304563227,0.7959390616675894,0.7933122859015845,0.5616160743133932,0.702173423993897,1,2,2
25,5,2,25.56241133007005,25.740799399093966,50.3125,58.43602489328643,48.3125,57.8979988552177,24,0,139,1,0.7688371482908966,0.9053390680372642,0.6969181109997231,0.5266846168574524,0.7262521868937294,1,2,2
5,5,0,26.188365016152172,26.646275643918173,50.375,7.484023025220834,48.46875,8.13205583868802,4,0,108,1,1.0066270812265479,0.9930349951206516,0.5598834280209276,0.6514299178184979,0.6848091335410535,0.9748300609932907,3,2
13,3,1,26.504064883596012,27.193332146895333,32.1875,39.41852879434792,30.0625,42.55445329640573,23,0,82,1,0.9437452656333435,1.1075583400700004,0.6775620385147922,0.4548291976022695,0.5964733852238108,0.983748555871836,2,1
26,6,2,26.525112249389185,26.327951134069767,60.125,59.93569062182293,58.125,58.720517278919814,25,0,205,12,0.7879395193170394,0.8804944038066062,0.4660471334262788,0.5282668302369654,0.5147200139726569,1,2,3
12,2,1,26.67214376249236,27.20393101095,28.625,38.649858466207284,27.4375,40.56412481574789,22,0,165,1,0.9503478688916404,0.9479938733601864,0.69539776795404,0.5579694119456772,0.6279648473849433,0.9291716003360685,2,1
