evaluations,elapsed_seconds,best_quality,feasible_population,pareto_population
256,0.008473729,64.17819881038233,152,8
1280,0.041710865,63.3822131814874,208,13
2560,0.083291432,55.02957592349532,167,25
3840,0.123336201,52.47481507446467,161,25
5120,0.163389571,46.86566748438543,145,61
6400,0.203447151,46.06386822218778,162,76
7680,0.243556975,42.39140208500421,96,61
8960,0.283803617,41.861441877775356,144,90
10240,0.323656694,38.77246541738315,147,107
11520,0.363678492,38.15852913106097,146,128
12800,0.403743962,38.15494426385451,140,109
14080,0.445141827,38.15494426385451,126,126
15360,0.487077084,38.15494426385451,155,155
16384,0.519711139,38.058645775022,145,145
