proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
1,000001010,2,10,other,,1.793776847644,3.387863639297,1.594086791653,24.389867978743,44.969118156193,20.500000000000,19.200000000000,1.000000000000,0.000000000000,192000,192000,48.270766465
2,000222020,4,14,toggle-core,,1.524088251375,2.666427779969,1.142339528593,24.925861714356,30.135272518540,20.000000000000,17.333333333333,1.000000000000,0.000000000000,192000,192000,73.263793167
3,112022100,6,18,other,,1.589326207224,3.023230349181,1.433904141957,24.617074532499,34.626954641498,20.666666666667,17.800000000000,1.000000000000,0.000000000000,192000,192000,133.539754772
4,000222022,5,16,repressilator+toggle-core,,0.364948687532,0.619372493162,0.254423805630,25.682295060105,24.686194115013,132.333333333333,119.266666666667,1.000000000000,0.000000000000,192000,192000,59.324086617
5,200222022,6,18,repressilator+toggle-core,,0.389895688317,0.607625292486,0.217729604169,25.733449282329,25.457872812410,129.333333333333,116.800000000000,1.000000000000,0.000000000000,192000,192000,69.222738421
6,002222022,6,18,repressilator+toggle-core,,0.373742020364,0.674674802361,0.300932781997,25.592787576959,25.330804867076,147.000000000000,140.933333333333,1.000000000000,0.000000000000,192000,192000,80.250691703
7,000222222,6,18,repressilator+toggle-core,,0.365987857129,0.879518661600,0.513530804471,25.724802985009,24.285089719393,105.666666666667,100.466666666667,1.000000000000,0.000000000000,192000,192000,71.665544516
8,000202222,5,16,repressilator+toggle-core,,0.373235000774,0.605729822063,0.232494821289,25.792305099450,26.014021034408,112.000000000000,111.466666666667,1.000000000000,0.000000000000,192000,192000,64.118607165
9,000222202,5,16,repressilator+toggle-core,,0.376938916402,0.706027536287,0.329088619885,25.466870868932,25.013984935083,152.500000000000,149.266666666667,1.000000000000,0.000000000000,192000,192000,62.247478713
10,020202222,6,18,repressilator+toggle-core,,0.379143308695,0.999427184706,0.620283876011,25.707919835893,22.265011611654,87.833333333333,80.533333333333,1.000000000000,0.000000000000,192000,192000,71.304624156
11,100222022,6,18,repressilator+toggle-core,,0.361896965671,0.875033475907,0.513136510236,25.638363508511,25.440639952363,123.000000000000,110.466666666667,1.000000000000,0.000000000000,192000,192000,84.911655467
12,200202222,6,18,repressilator+toggle-core,,0.368445150988,1.069516429615,0.701071278628,25.813874753016,25.711683224142,110.166666666667,97.466666666667,1.000000000000,0.000000000000,192000,192000,66.035706341
13,200222202,6,18,repressilator+toggle-core,,0.350963057080,0.699174232374,0.348211175294,25.324440764779,25.951084919832,85.166666666667,83.200000000000,1.000000000000,0.000000000000,192000,192000,69.636018880
14,002222202,6,18,repressilator+toggle-core,,0.366093829247,0.688338332935,0.322244503689,25.729333606527,24.848211401698,123.166666666667,114.066666666667,1.000000000000,0.000000000000,192000,192000,69.377133965
15,002202222,6,18,repressilator+toggle-core,,0.386698320392,0.658930291348,0.272231970956,25.698686401063,26.523719395496,154.500000000000,149.266666666667,1.000000000000,0.000000000000,192000,192000,69.675712017
16,010222022,6,18,repressilator+toggle-core,,0.385374393765,0.630046872720,0.244672478956,25.976005274560,25.351105431206,129.500000000000,125.066666666667,1.000000000000,0.000000000000,192000,192000,120.411696420
17,002122022,6,18,repressilator+toggle-core,,0.355280936113,0.742864491888,0.387583555776,25.730381418803,25.282052177359,106.833333333333,94.533333333333,1.000000000000,0.000000000000,192000,192000,79.735446080
18,001222022,6,18,repressilator+toggle-core,,0.374204013825,0.769339098638,0.395135084812,25.651951597807,25.127105066259,136.000000000000,131.333333333333,1.000000000000,0.000000000000,192000,192000,81.265303805
19,001222202,6,18,repressilator+toggle-core,,0.367531806527,0.770427592871,0.402895786345,25.540651974152,23.893234856080,69.833333333333,64.733333333333,1.000000000000,0.000000000000,192000,192000,85.364452713
20,000222122,6,18,mixed-cycle+repressilator+toggle-core,,0.369625947623,0.901310647368,0.531684699745,25.314250550051,24.137476207025,128.500000000000,119.866666666667,1.000000000000,0.000000000000,192000,192000,80.138642971
21,020222022,6,18,repressilator+toggle-core,,0.374660374545,0.679872786659,0.305212412114,25.690881449230,24.733424684000,135.166666666667,128.200000000000,1.000000000000,0.000000000000,192000,192000,71.572368200
22,002022022,5,16,repressilator+toggle-core,,0.361257269685,0.604096901510,0.242839631824,25.653508267312,25.874069195571,134.666666666667,129.666666666667,1.000000000000,0.000000000000,192000,192000,65.951498431
23,000212222,6,18,mixed-cycle+repressilator+toggle-core,,0.345635165534,0.493728141838,0.148092976304,25.793970591791,25.840972735853,106.000000000000,107.333333333333,1.000000000000,0.000000000000,192000,192000,82.410475219
24,010222021,6,18,mixed-cycle+toggle-core,,1.325095313781,2.967335379127,1.642240065346,24.414996061298,38.334433497276,21.000000000000,18.666666666667,1.000000000000,0.000000000000,192000,192000,167.455986298
25,000112222,6,18,mixed-cycle+toggle-core,,1.030567240625,2.414970612189,1.384403371564,23.757130333251,33.264666291686,49.833333333333,38.066666666667,1.000000000000,0.000000000000,192000,192000,76.531284491
26,010222002,5,16,repressilator+toggle-core,,0.357982058052,0.701230414229,0.343248356177,25.690592259531,26.033440577285,109.500000000000,108.333333333333,1.000000000000,0.000000000000,192000,192000,73.698503070
27,002202212,6,18,mixed-cycle+toggle-core,,1.677370010774,3.298682305074,1.621312294300,25.858792417073,34.808334132931,14.500000000000,14.533333333333,1.000000000000,0.000000000000,192000,192000,88.861325902
28,000212212,6,18,mixed-cycle+toggle-core,,1.528465201789,3.312190914071,1.783725712282,29.584348523190,49.610670055521,39.166666666667,37.733333333333,1.000000000000,0.000000000000,192000,192000,157.564600547
29,022022022,6,18,repressilator+toggle-core,,0.365832216363,0.894480388359,0.528648171996,25.782031499460,25.900981640304,124.166666666667,110.466666666667,1.000000000000,0.000000000000,192000,192000,66.192285738
30,202022022,6,18,repressilator+toggle-core,,0.366543849057,0.471417959921,0.104874110864,25.627145520042,25.505903306510,151.500000000000,141.200000000000,1.000000000000,0.000000000000,192000,192000,61.961300099
31,200222012,6,18,repressilator+toggle-core,,0.360533071349,0.788417508466,0.427884437117,25.611610907975,25.137538827348,107.000000000000,103.333333333333,1.000000000000,0.000000000000,192000,192000,78.815471640
32,002022222,6,18,repressilator+toggle-core,,0.368208613221,0.597963904086,0.229755290865,25.372967178360,25.604651750943,138.166666666667,138.066666666667,1.000000000000,0.000000000000,192000,192000,72.077981817
33,200222002,5,16,repressilator+toggle-core,,0.386464520041,0.622066682591,0.235602162550,25.896485278634,26.291699566847,149.666666666667,150.066666666667,1.000000000000,0.000000000000,192000,192000,59.583532210
34,202022020,5,16,toggle-core,,1.719015674393,3.142300232966,1.423284558573,23.872882610243,36.878251136229,24.333333333333,25.200000000000,1.000000000000,0.000000000000,192000,192000,62.454507090
35,002012222,6,18,mixed-cycle+toggle-core,,1.216007985834,3.038849872294,1.822841886460,23.003268641492,35.976820292635,32.333333333333,26.600000000000,0.733333333333,0.000000000000,192000,192000,82.356234722
36,001022222,6,18,repressilator+toggle-core,,0.379134200881,0.554940882574,0.175806681693,25.616826075332,25.600309032679,171.000000000000,172.133333333333,1.000000000000,0.000000000000,192000,192000,85.375056344
37,002002222,5,16,toggle-core,,1.722791756566,2.811338047142,1.088546290576,25.598214365754,32.973491951987,18.333333333333,15.400000000000,1.000000000000,0.000000000000,192000,192000,61.148653281
38,000022222,5,16,repressilator+toggle-core,,0.365649167121,0.582418574322,0.216769407201,25.396343194876,25.756232659228,133.333333333333,124.733333333333,1.000000000000,0.000000000000,192000,192000,59.998695557
39,100022222,6,18,repressilator+toggle-core,,0.357979540345,0.643823631333,0.285844090988,25.687883370892,25.501291354189,115.833333333333,108.800000000000,1.000000000000,0.000000000000,192000,192000,85.192874176
40,000122222,6,18,mixed-cycle+repressilator+toggle-core,,0.389098546816,0.644595142102,0.255496595286,25.648604411074,25.753034863142,151.666666666667,148.733333333333,1.000000000000,0.000000000000,192000,192000,83.329038995
41,000212122,6,18,mixed-cycle+toggle-core,,0.919972872652,2.973500633716,2.053527761064,26.757671572226,43.272585312243,84.666666666667,65.600000000000,1.000000000000,0.000000000000,192000,192000,94.481629044
42,020022222,6,18,repressilator+toggle-core,,0.382006060956,0.559896545886,0.177890484931,25.366423799801,25.596641936179,139.333333333333,138.133333333333,1.000000000000,0.000000000000,192000,192000,79.685995126
43,000202022,4,14,toggle-core,,1.691398454721,3.263721788075,1.572323333355,24.615530471425,39.235035397757,20.000000000000,18.000000000000,1.000000000000,0.000000000000,192000,192000,68.730086669
44,020022202,5,16,repressilator+toggle-core,,0.352403620060,0.663830046064,0.311426426004,25.727158141992,25.161026930726,126.500000000000,118.000000000000,1.000000000000,0.000000000000,192000,192000,61.281047653
45,002022220,5,16,toggle-core,,1.505699568060,2.715418654383,1.209719086323,25.025146687593,33.884945448618,24.166666666667,22.333333333333,1.000000000000,0.000000000000,192000,192000,64.691171405
46,002022212,6,18,repressilator+toggle-core,,0.375206296949,0.887050550490,0.511844253541,25.380568052041,25.778572873895,108.666666666667,103.333333333333,1.000000000000,0.000000000000,192000,192000,86.046070471
47,001202222,6,18,repressilator+toggle-core,,0.363592620550,0.684892360719,0.321299740169,25.363480330580,25.747269097924,108.166666666667,104.200000000000,1.000000000000,0.000000000000,192000,192000,76.495167855
48,200022222,6,18,repressilator+toggle-core,,0.372846191816,0.843039703509,0.470193511693,25.613154391831,24.165469727950,133.166666666667,120.600000000000,1.000000000000,0.000000000000,192000,192000,71.109402261
49,020021222,6,18,mixed-cycle+toggle-core,,1.507169498646,3.220314232178,1.713144733532,25.862083191457,40.753258878437,16.500000000000,16.200000000000,1.000000000000,0.000000000000,192000,192000,88.865918445
50,012022022,6,18,repressilator+toggle-core,,0.356097235517,0.610508501891,0.254411266374,25.463179934253,25.742175499675,156.166666666667,151.200000000000,1.000000000000,0.000000000000,192000,192000,78.716904590
51,002020222,5,16,toggle-core,,1.549817626967,3.041515657860,1.491698030893,23.810060281368,34.415589912800,14.333333333333,14.666666666667,1.000000000000,0.000000000000,192000,192000,64.547174232
52,002022202,5,16,repressilator+toggle-core,,0.374061294574,0.703268527398,0.329207232824,25.272881491681,25.493892569489,181.166666666667,170.733333333333,1.000000000000,0.000000000000,192000,192000,57.434808121
53,000022220,4,14,toggle-core,,1.557151207980,3.100187697141,1.543036489161,25.229743346188,51.669452635454,20.166666666667,21.666666666667,1.000000000000,0.000000000000,192000,192000,57.898534400
54,000022212,5,16,repressilator+toggle-core,,0.372369719220,0.711310292712,0.338940573492,25.663290358103,26.140732609990,117.166666666667,115.000000000000,1.000000000000,0.000000000000,192000,192000,84.403648075
55,001012222,6,18,mixed-cycle+toggle-core,,1.239484342477,2.105145402426,0.865661059949,24.790445534726,24.621075485650,28.333333333333,25.200000000000,1.000000000000,0.000000000000,192000,192000,103.231350046
56,000212221,6,18,goodwin-like+repressilator+toggle-core,,0.380859410209,0.789436568199,0.408577157990,25.456829981192,25.050676889190,135.500000000000,136.200000000000,1.000000000000,0.000000000000,192000,192000,87.791386233
57,010022222,6,18,repressilator+toggle-core,,0.377093975752,0.478411539029,0.101317563278,25.736811916580,25.640476364809,139.333333333333,132.600000000000,1.000000000000,0.000000000000,192000,192000,84.463664718
58,002022221,6,18,mixed-cycle+toggle-core,,1.376419086341,2.069267286758,0.692848200417,23.499149790546,33.834173132352,32.166666666667,34.000000000000,1.000000000000,0.000000000000,192000,192000,112.032841601
59,202012022,6,18,mixed-cycle,,1.365713468233,2.361932273422,0.996218805189,25.228374818060,27.964399967379,14.000000000000,11.000000000000,1.000000000000,0.000000000000,192000,192000,74.146310067
60,002022122,6,18,repressilator+toggle-core,,0.361158470624,0.583642706460,0.222484235836,25.716202335858,25.837709825703,116.666666666667,115.000000000000,1.000000000000,0.000000000000,192000,192000,70.253712553
61,020022122,6,18,repressilator+toggle-core,,0.369077962996,0.953958955730,0.584880992734,25.401097859275,24.480033189847,120.000000000000,107.533333333333,1.000000000000,0.000000000000,192000,192000,83.136863870
62,000211222,6,18,goodwin-like+repressilator+toggle-core,,0.377369638518,0.698337739643,0.320968101125,25.702137155937,24.792210895783,114.166666666667,104.866666666667,1.000000000000,0.000000000000,192000,192000,78.957986468
63,010022212,6,18,repressilator+toggle-core,,0.351815358391,0.804394331984,0.452578973593,25.803299557324,26.995344008862,82.333333333333,88.266666666667,1.000000000000,0.000000000000,192000,192000,89.335334119
64,020220222,6,18,repressilator+toggle-core,,0.365693318659,0.565015008060,0.199321689401,25.703901088584,25.670535500167,91.833333333333,89.533333333333,1.000000000000,0.000000000000,192000,192000,69.849661785
65,020022220,5,16,toggle-core,,1.617682077010,3.015706674346,1.398024597336,24.698803458348,40.591207116088,22.666666666667,24.666666666667,1.000000000000,0.000000000000,192000,192000,56.529192459
66,000220222,5,16,repressilator+toggle-core,,0.356353616741,1.001069231604,0.644715614864,25.660830211325,24.756589535419,84.666666666667,76.333333333333,1.000000000000,0.000000000000,192000,192000,61.933004877
67,000022022,4,14,repressilator+toggle-core,,0.361596871294,0.647361250170,0.285764378876,25.483854792510,25.911685570693,116.500000000000,114.800000000000,1.000000000000,0.000000000000,192000,192000,49.638568535
68,000022202,4,14,repressilator+toggle-core,,0.365016977866,0.608183532275,0.243166554409,25.579922622926,25.399495342951,135.833333333333,126.933333333333,1.000000000000,0.000000000000,192000,192000,45.640696612
69,000012222,5,16,mixed-cycle+toggle-core,,1.057846022575,1.864932433490,0.807086410915,25.318431176427,31.824545663331,31.166666666667,30.200000000000,1.000000000000,0.000000000000,192000,192000,71.823101740
70,200022022,5,16,repressilator+toggle-core,,0.360712858693,0.547022234828,0.186309376135,25.617247022838,25.844140623227,122.666666666667,118.133333333333,1.000000000000,0.000000000000,192000,192000,61.011895717
71,020120222,6,18,mixed-cycle+toggle-core,,1.447901774422,3.256782114606,1.808880340185,25.131332824747,38.381952287215,23.166666666667,21.000000000000,1.000000000000,0.000000000000,192000,192000,124.386309852
72,020022022,5,16,repressilator+toggle-core,,0.359743568430,0.770661439580,0.410917871150,25.739423273589,26.227678273775,112.500000000000,106.000000000000,1.000000000000,0.000000000000,192000,192000,63.585601894
73,010220222,6,18,repressilator+toggle-core,,0.383516973252,0.943118633997,0.559601660745,25.773774497236,24.556638414332,135.666666666667,127.600000000000,1.000000000000,0.000000000000,192000,192000,92.823287031
74,020012222,6,18,mixed-cycle+toggle-core,,1.166859118033,2.665395225888,1.498536107855,24.874619819523,34.763824952856,84.666666666667,98.800000000000,1.000000000000,0.000000000000,192000,192000,74.661594899
75,000002222,4,14,toggle-core,,1.433834752167,3.035271955049,1.601437202882,24.815748067175,37.756383757200,19.833333333333,20.333333333333,1.000000000000,0.000000000000,192000,192000,66.715546893
76,020210222,6,18,repressilator+toggle-core,,0.378526745687,0.591007771233,0.212481025546,25.700233069062,25.729639086469,168.166666666667,166.266666666667,1.000000000000,0.000000000000,192000,192000,72.022954179
77,220022022,6,18,repressilator+toggle-core,,0.389431684040,0.548959582247,0.159527898207,25.481323585924,25.801573756531,194.166666666667,194.400000000000,1.000000000000,0.000000000000,192000,192000,69.065925511
78,020220212,6,18,mixed-cycle+toggle-core,,1.023260229161,2.390234966139,1.366974736978,26.248600523356,35.392920865144,30.500000000000,28.066666666667,1.000000000000,0.000000000000,192000,192000,92.572326618
79,120022022,6,18,repressilator+toggle-core,,0.372065010140,0.946249415189,0.574184405049,25.505714688387,25.145761769480,101.666666666667,97.666666666667,1.000000000000,0.000000000000,192000,192000,82.737876586
80,202021022,6,18,mixed-cycle+toggle-core,,1.634242913953,3.195201244846,1.560958330893,22.562310246745,41.034530290307,22.500000000000,23.600000000000,1.000000000000,0.000000000000,192000,192000,102.694255137
81,202020022,5,16,toggle-core,,1.383099191543,3.276844318364,1.893745126822,24.217710425595,37.975940088722,36.166666666667,31.133333333333,1.000000000000,0.000000000000,192000,192000,58.528027407
82,020002222,5,16,toggle-core,,1.674206088974,2.864842957650,1.190636868676,26.984338407122,33.895097611578,28.833333333333,28.333333333333,1.000000000000,0.000000000000,192000,192000,59.947236120
83,220012022,6,18,mixed-cycle,,1.312063593657,2.945797507351,1.633733913693,28.969185106465,43.684525591298,16.833333333333,20.000000000000,1.000000000000,0.000000000000,192000,192000,71.228136342
84,020020222,5,16,toggle-core,,1.388098139721,3.131591065056,1.743492925335,25.063267278137,41.192792924851,32.333333333333,32.066666666667,1.000000000000,0.000000000000,192000,192000,61.649532335
85,001021222,6,18,mixed-cycle+toggle-core,,1.586780791483,2.624047163010,1.037266371528,23.757470390294,36.473328108360,20.500000000000,22.466666666667,1.000000000000,0.000000000000,192000,192000,114.214945074
86,001022221,6,18,mixed-cycle+toggle-core,,0.757417709791,2.166164526560,1.408746816769,25.345461840885,36.423258752689,66.000000000000,61.733333333333,1.000000000000,0.000000000000,192000,192000,127.456837626
87,020220122,6,18,mixed-cycle+toggle-core,,1.371923354334,3.047924015088,1.676000660754,25.249822933042,36.633606101779,23.833333333333,23.333333333333,1.000000000000,0.000000000000,192000,192000,103.887198264
88,002220222,6,18,repressilator+toggle-core,,0.347935110058,1.049155143508,0.701220033450,25.891615047453,26.523300301861,76.500000000000,77.400000000000,1.000000000000,0.000000000000,192000,192000,73.680648125
89,010002222,5,16,toggle-core,,1.569255590230,3.268991909377,1.699736319148,24.638873998303,46.413458839263,38.833333333333,47.666666666667,1.000000000000,0.000000000000,192000,192000,137.505482509
90,220020022,5,16,toggle-core,,1.420115412547,3.193633302342,1.773517889795,23.874597811327,37.626225017114,34.000000000000,30.933333333333,1.000000000000,0.000000000000,192000,192000,60.911659869
91,202022012,6,18,repressilator,,0.391516963120,0.696633522451,0.305116559331,25.678198943929,25.088172938642,123.666666666667,117.733333333333,1.000000000000,0.000000000000,192000,192000,73.529337535
92,020022212,6,18,repressilator+toggle-core,,0.345599252771,0.798196796210,0.452597543439,25.741076048898,25.809441908365,130.000000000000,121.133333333333,1.000000000000,0.000000000000,192000,192000,75.941195372
93,020200222,5,16,repressilator+toggle-core,,0.367230380556,0.649352465064,0.282122084508,25.898525883466,25.538945220217,81.500000000000,81.933333333333,1.000000000000,0.000000000000,192000,192000,62.928327945
94,220022002,5,16,repressilator,,0.371706756512,0.609905882605,0.238199126093,25.675697795112,25.709668801919,137.500000000000,136.866666666667,1.000000000000,0.000000000000,192000,192000,55.788725223
95,220022020,5,16,toggle-core,,1.622096230405,3.193632732634,1.571536502228,25.683108762427,39.955262567297,27.833333333333,23.733333333333,1.000000000000,0.000000000000,192000,192000,62.483875179
96,020022221,6,18,mixed-cycle+toggle-core,,1.139140795317,2.255305849436,1.116165054119,24.519219354028,26.440050972746,23.500000000000,22.600000000000,1.000000000000,0.000000000000,192000,192000,82.646852295
97,001022212,6,18,repressilator+toggle-core,,0.381532106367,0.632261225637,0.250729119270,25.413421535188,25.748569077264,148.833333333333,142.933333333333,1.000000000000,0.000000000000,192000,192000,139.405853761
