accepted,proposal,best_validation_score,motif_classes_found,exact_references_found
1,1,3.387863639297,0,0
2,2,2.666427779969,1,0
3,3,2.666427779969,1,0
4,4,0.619372493162,2,0
5,5,0.607625292486,2,0
6,6,0.607625292486,2,0
7,7,0.607625292486,2,0
8,8,0.605729822063,2,0
9,9,0.605729822063,2,0
10,10,0.605729822063,2,0
11,11,0.605729822063,2,0
12,12,0.605729822063,2,0
13,13,0.605729822063,2,0
14,14,0.605729822063,2,0
15,15,0.605729822063,2,0
16,16,0.605729822063,2,0
17,17,0.605729822063,2,0
18,18,0.605729822063,2,0
19,19,0.605729822063,2,0
20,20,0.605729822063,3,0
21,21,0.605729822063,3,0
22,22,0.604096901510,3,0
23,23,0.493728141838,3,0
24,24,0.493728141838,3,0
25,25,0.493728141838,3,0
26,26,0.493728141838,3,0
27,27,0.493728141838,3,0
28,28,0.493728141838,3,0
29,29,0.493728141838,3,0
30,30,0.471417959921,3,0
31,31,0.471417959921,3,0
32,32,0.471417959921,3,0
33,33,0.471417959921,3,0
34,34,0.471417959921,3,0
35,35,0.471417959921,3,0
36,36,0.471417959921,3,0
37,37,0.471417959921,3,0
38,38,0.471417959921,3,0
39,39,0.471417959921,3,0
40,40,0.471417959921,3,0
41,41,0.471417959921,3,0
42,42,0.471417959921,3,0
43,43,0.471417959921,3,0
44,44,0.471417959921,3,0
45,45,0.471417959921,3,0
46,46,0.471417959921,3,0
47,47,0.471417959921,3,0
48,48,0.471417959921,3,0
49,49,0.471417959921,3,0
50,50,0.471417959921,3,0
51,51,0.471417959921,3,0
52,52,0.471417959921,3,0
53,53,0.471417959921,3,0
54,54,0.471417959921,3,0
55,55,0.471417959921,3,0
56,56,0.471417959921,4,0
57,57,0.471417959921,4,0
58,58,0.471417959921,4,0
59,59,0.471417959921,4,0
60,60,0.471417959921,4,0
61,61,0.471417959921,4,0
62,62,0.471417959921,4,0
63,63,0.471417959921,4,0
64,64,0.471417959921,4,0
65,65,0.471417959921,4,0
66,66,0.471417959921,4,0
67,67,0.471417959921,4,0
68,68,0.471417959921,4,0
69,69,0.471417959921,4,0
70,70,0.471417959921,4,0
71,71,0.471417959921,4,0
72,72,0.471417959921,4,0
73,73,0.471417959921,4,0
74,74,0.471417959921,4,0
75,75,0.471417959921,4,0
76,76,0.471417959921,4,0
77,77,0.471417959921,4,0
78,78,0.471417959921,4,0
79,79,0.471417959921,4,0
80,80,0.471417959921,4,0
81,81,0.471417959921,4,0
82,82,0.471417959921,4,0
83,83,0.471417959921,4,0
84,84,0.471417959921,4,0
85,85,0.471417959921,4,0
86,86,0.471417959921,4,0
87,87,0.471417959921,4,0
88,88,0.471417959921,4,0
89,89,0.471417959921,4,0
90,90,0.471417959921,4,0
91,91,0.471417959921,4,0
92,92,0.471417959921,4,0
93,93,0.471417959921,4,0
94,94,0.471417959921,4,0
95,95,0.471417959921,4,0
96,96,0.471417959921,4,0
97,97,0.471417959921,4,0
98,98,0.471417959921,4,0
99,99,0.471417959921,4,0
100,100,0.471417959921,4,0
101,101,0.471417959921,4,0
102,102,0.471417959921,4,0
103,103,0.471417959921,4,0
104,104,0.471417959921,4,0
105,105,0.471417959921,4,0
106,106,0.471417959921,4,0
107,107,0.471417959921,4,0
108,108,0.471417959921,4,0
109,109,0.471417959921,4,0
110,110,0.471417959921,4,0
111,111,0.471417959921,4,0
112,112,0.471417959921,4,0
113,113,0.471417959921,4,0
114,114,0.471417959921,4,0
115,115,0.471417959921,4,0
116,116,0.471417959921,4,0
117,117,0.471417959921,5,0
118,118,0.471417959921,5,0
119,119,0.471417959921,5,0
120,120,0.471417959921,5,0
121,121,0.471417959921,5,0
122,122,0.471417959921,5,0
123,123,0.471417959921,5,0
124,124,0.471417959921,5,0
125,125,0.471417959921,5,0
126,126,0.471417959921,5,0
127,127,0.471417959921,5,0
128,128,0.471417959921,5,0
129,129,0.471417959921,5,0
130,130,0.471417959921,5,0
131,131,0.471417959921,5,0
132,132,0.471417959921,5,0
133,133,0.471417959921,5,0
134,134,0.471417959921,5,0
135,135,0.471417959921,5,0
136,136,0.471417959921,5,0
137,137,0.471417959921,5,0
138,138,0.471417959921,5,0
139,139,0.471417959921,5,0
140,140,0.471417959921,5,0
141,141,0.471417959921,5,0
142,142,0.471417959921,5,0
143,143,0.471417959921,5,0
144,144,0.471417959921,5,0
145,145,0.471417959921,5,0
146,146,0.471417959921,5,0
147,147,0.471417959921,5,0
148,148,0.471417959921,5,0
149,149,0.471417959921,5,0
150,150,0.471417959921,5,0
151,151,0.471417959921,5,0
152,152,0.471417959921,5,0
153,153,0.471417959921,5,0
154,154,0.471417959921,5,0
155,155,0.471417959921,5,0
156,156,0.471417959921,5,0
157,157,0.471417959921,5,0
158,158,0.471417959921,5,0
159,159,0.471417959921,5,0
160,160,0.471417959921,5,0
161,161,0.471417959921,5,0
162,162,0.471417959921,5,0
163,163,0.471417959921,5,0
164,164,0.471417959921,5,0
165,165,0.471417959921,5,0
166,166,0.471417959921,5,0
167,167,0.471417959921,5,0
168,168,0.471417959921,5,0
169,169,0.471417959921,5,0
170,170,0.471417959921,5,0
171,171,0.471417959921,5,0
172,172,0.471417959921,5,0
173,173,0.471417959921,5,0
174,174,0.471417959921,5,0
175,175,0.471417959921,5,0
176,176,0.471417959921,5,0
177,177,0.471417959921,5,0
178,178,0.471417959921,5,0
179,179,0.471417959921,5,0
180,180,0.471417959921,5,0
181,181,0.471417959921,5,0
182,182,0.471417959921,5,0
183,183,0.471417959921,5,0
184,184,0.471417959921,5,0
185,185,0.471417959921,5,0
186,186,0.471417959921,5,0
187,187,0.471417959921,5,0
188,188,0.471417959921,5,1
189,189,0.471417959921,5,1
190,190,0.471417959921,5,1
191,191,0.471417959921,5,1
192,192,0.471417959921,5,1
193,193,0.471417959921,5,1
194,194,0.471417959921,5,1
195,195,0.471417959921,5,1
196,196,0.471417959921,5,1
197,197,0.471417959921,5,1
198,198,0.471417959921,5,1
199,199,0.471417959921,5,1
200,200,0.471417959921,5,1
