proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
1,011002000,3,12,other,,1.624072968441,3.194165481539,1.570092513097,28.671788352047,52.667241683535,22.833333333333,21.933333333333,1.000000000000,0.000000000000,192000,192000,53.593928274
2,000010101,3,12,other,,1.522274325071,3.091119072969,1.568844747898,24.738920162950,46.112776945959,19.833333333333,23.200000000000,1.000000000000,0.000000000000,192000,192000,64.050297691
3,100000100,2,10,other,,1.749674482602,3.461270179608,1.711595697006,25.905179984612,48.253350380812,19.166666666667,18.666666666667,1.000000000000,0.000000000000,192000,192000,42.307899744
4,002001002,3,12,other,,1.728199060181,3.296341174844,1.568142114663,26.538358531218,44.995270110118,10.666666666667,12.266666666667,1.000000000000,0.000000000000,192000,192000,36.615333907
5,002001020,3,12,other,,1.700897052696,3.128197442091,1.427300389396,23.621910442499,32.676955480564,16.166666666667,14.800000000000,1.000000000000,0.000000000000,192000,192000,35.762364265
6,000022022,4,14,repressilator+toggle-core,,0.355325967585,0.931702734654,0.576376767069,25.618129272179,23.407107882121,92.833333333333,83.933333333333,1.000000000000,0.000000000000,192000,192000,43.842625569
7,000121221,6,18,goodwin-like+mixed-cycle+toggle-core,,0.574589181047,1.178145592189,0.603556411142,25.608977342292,25.102996097828,54.500000000000,59.466666666667,1.000000000000,0.000000000000,192000,192000,104.837938938
8,200000001,2,10,other,,1.847038099561,2.960068163187,1.113030063625,33.795064364161,38.186982115797,12.000000000000,11.200000000000,1.000000000000,0.000000000000,192000,192000,31.508305425
9,000021022,4,14,mixed-cycle+toggle-core,,1.431861740682,3.111027191769,1.679165451088,25.376192693398,40.477278262026,22.500000000000,22.333333333333,1.000000000000,0.000000000000,192000,192000,60.112372271
10,112000212,6,18,toggle-core,,1.594128631686,3.059621781604,1.465493149917,41.447963127621,44.209858748096,51.166666666667,41.200000000000,1.000000000000,0.000000000000,192000,192000,133.224641608
11,020021022,5,16,mixed-cycle+toggle-core,,1.443357450797,2.935659416587,1.492301965790,24.065145561949,36.635034374566,24.333333333333,22.400000000000,1.000000000000,0.000000000000,192000,192000,73.240099074
12,201000001,3,12,other,,1.775315778974,2.631824847228,0.856509068254,25.468496722194,34.664205453928,18.333333333333,16.266666666667,1.000000000000,0.000000000000,192000,192000,45.020725467
13,201000002,3,12,other,,1.788232292025,2.916185045523,1.127952753498,27.127380003998,35.142002386185,19.333333333333,19.533333333333,1.000000000000,0.000000000000,192000,192000,40.491737193
14,020121022,6,18,mixed-cycle+toggle-core,,1.396597745770,2.997349612468,1.600751866698,25.904037769160,37.312892082664,34.833333333333,38.333333333333,1.000000000000,0.000000000000,192000,192000,110.746057165
15,000200001,2,10,other,,1.655488734155,2.706469798173,1.050981064018,24.429224139278,26.618536363682,18.333333333333,17.133333333333,1.000000000000,0.000000000000,192000,192000,30.081996682
16,200200001,3,12,other,,1.755434358196,3.267238799526,1.511804441330,29.871836687444,43.033408538765,19.500000000000,19.266666666667,1.000000000000,0.000000000000,192000,192000,42.461236993
17,202000002,3,12,other,,1.814576862267,3.249657610717,1.435080748450,28.774796743583,42.740664080894,16.833333333333,15.933333333333,1.000000000000,0.000000000000,192000,192000,30.449252046
18,201001001,4,14,other,,1.401357280909,2.997620180904,1.596262899996,25.362085590342,43.905890592083,17.833333333333,26.466666666667,1.000000000000,0.000000000000,192000,192000,63.171036630
19,201002001,4,14,other,,1.678331400683,3.220601156997,1.542269756315,25.174096915812,44.555886425727,19.166666666667,18.000000000000,1.000000000000,0.000000000000,192000,192000,95.315446682
20,001010202,4,14,toggle-core,,1.552802129408,3.161339731833,1.608537602425,23.332742512938,31.124114302057,32.166666666667,29.800000000000,1.000000000000,0.000000000000,192000,192000,58.725154648
23,000012022,4,14,mixed-cycle,,1.090979579319,2.458726702485,1.367747123166,22.646692974196,31.941966412390,30.000000000000,32.733333333333,1.000000000000,0.000000000000,192000,192000,46.395298723
24,100200001,3,12,other,,1.738764350704,3.171634893311,1.432870542607,25.424679534181,38.820202355820,16.666666666667,18.200000000000,1.000000000000,0.000000000000,192000,192000,49.478846059
25,010101001,4,14,other,,1.643000280135,3.508342572400,1.865342292265,25.769256005668,52.230716163808,15.666666666667,15.933333333333,1.000000000000,0.000000000000,192000,192000,94.586473409
26,000100001,2,10,other,,1.744688558302,2.741119754480,0.996431196178,23.511365684059,38.729015633075,18.333333333333,17.666666666667,1.000000000000,0.000000000000,192000,192000,60.648062994
27,002200001,3,12,other,,1.586908576388,3.042510734803,1.455602158416,24.069560705986,41.766063533506,27.166666666667,30.666666666667,1.000000000000,0.000000000000,192000,192000,42.436276536
28,201000202,4,14,toggle-core,,1.529533686721,3.145057801961,1.615524115240,26.757833531537,42.097959985012,27.666666666667,24.866666666667,1.000000000000,0.000000000000,192000,192000,46.428905994
29,000002022,3,12,other,,1.658441131452,2.687883861144,1.029442729692,24.137753184281,25.920441929385,16.333333333333,14.733333333333,1.000000000000,0.000000000000,192000,192000,50.807795736
30,000200100,2,10,other,,1.451241606643,2.886764352167,1.435522745524,23.882444041231,39.014917983721,27.166666666667,23.866666666667,1.000000000000,0.000000000000,192000,192000,34.080081405
31,000100002,2,10,other,,1.584846084760,3.353862489208,1.769016404447,25.255821209991,45.460655350304,21.000000000000,19.000000000000,1.000000000000,0.000000000000,192000,192000,31.146409295
32,000002002,2,10,other,,1.702121647291,3.223315646049,1.521193998758,24.868242696003,47.804427873207,18.833333333333,17.000000000000,1.000000000000,0.000000000000,192000,192000,25.307864459
33,000201001,3,12,other,,1.459858161123,2.650108978013,1.190250816890,25.051239456549,36.588264507361,24.500000000000,24.000000000000,1.000000000000,0.000000000000,192000,192000,46.177884116
34,000121201,5,16,goodwin-like,,0.566373640786,1.093632667744,0.527259026958,25.866350563792,25.687036898681,58.000000000000,57.666666666667,1.000000000000,0.000000000000,192000,192000,74.895115459
35,000020210,3,12,other,,1.457129955727,3.108672797767,1.651542842040,28.868772446536,50.082889823444,24.000000000000,29.400000000000,1.000000000000,0.000000000000,192000,192000,41.771764407
36,200022022,5,16,repressilator+toggle-core,,0.357418234171,0.678185534007,0.320767299836,25.688432300844,25.059996889314,110.333333333333,107.000000000000,1.000000000000,0.000000000000,192000,192000,49.499566446
37,001012022,5,16,mixed-cycle,,0.995139075909,2.676547503339,1.681408427429,25.766509939454,34.064092053380,40.833333333333,32.466666666667,1.000000000000,0.000000000000,192000,192000,84.611006558
38,211000001,4,14,other,,1.780730282726,2.992384205425,1.211653922699,25.265616318641,37.495310851800,19.833333333333,17.400000000000,1.000000000000,0.000000000000,192000,192000,99.838870472
39,210022022,6,18,repressilator+toggle-core,,0.358008768630,0.644474814883,0.286466046254,25.163422598283,25.533892861593,141.833333333333,140.133333333333,1.000000000000,0.000000000000,192000,192000,68.305418273
40,020020010,3,12,other,,1.401615114291,2.986552442822,1.584937328531,24.934910057451,41.306952663683,21.666666666667,21.400000000000,1.000000000000,0.000000000000,192000,192000,41.330958813
41,000121220,5,16,mixed-cycle+toggle-core,,1.501625564650,3.212556983727,1.710931419077,29.356498622246,40.545737413481,38.166666666667,35.600000000000,1.000000000000,0.000000000000,192000,192000,90.564964210
42,000021201,4,14,goodwin-like,,0.509753028430,1.085074489684,0.575321461254,25.752836747665,23.952232059461,44.500000000000,39.400000000000,1.000000000000,0.000000000000,192000,192000,39.380012872
43,100022022,5,16,repressilator+toggle-core,,0.366710395635,0.484584255814,0.117873860179,25.408831202045,25.603366906207,138.000000000000,138.400000000000,1.000000000000,0.000000000000,192000,192000,63.817110906
44,000021221,5,16,goodwin-like+toggle-core,,0.465983549150,1.330967951781,0.864984402631,25.710761544024,28.488830590702,35.500000000000,31.066666666667,1.000000000000,0.000000000000,192000,192000,84.905830777
45,112002102,6,18,other,,1.115732261186,2.270568688407,1.154836427221,25.498485298190,34.498072544448,65.833333333333,65.266666666667,1.000000000000,0.000000000000,192000,192000,91.685657787
47,000121202,5,16,mixed-cycle+toggle-core,,1.551859425748,3.244208230329,1.692348804581,25.402910106735,41.206288806139,31.333333333333,27.666666666667,1.000000000000,0.000000000000,192000,192000,94.816773569
48,000121222,6,18,mixed-cycle+toggle-core,,1.379633384559,2.856943859770,1.477310475211,25.097004085001,31.797257233227,25.333333333333,24.933333333333,1.000000000000,0.000000000000,192000,192000,123.646201999
49,000020022,3,12,toggle-core,,1.275820531838,2.685812918576,1.409992386738,23.973418129935,34.017169721041,25.000000000000,24.333333333333,1.000000000000,0.000000000000,192000,192000,40.069140886
50,010112011,6,18,goodwin-like,,0.501512226879,1.043494821599,0.541982594721,25.581841060842,24.535139759640,46.166666666667,42.533333333333,1.000000000000,0.000000000000,192000,192000,195.480243221
51,000021202,4,14,mixed-cycle+toggle-core,,1.491875791571,2.986296849154,1.494421057583,26.848936426463,43.149037046805,31.666666666667,30.333333333333,1.000000000000,0.000000000000,192000,192000,62.986896061
52,100022002,4,14,repressilator,,0.373504835414,0.843751521225,0.470246685811,25.811313361051,23.072255312823,81.500000000000,73.866666666667,1.000000000000,0.000000000000,192000,192000,49.970182549
53,120022022,6,18,repressilator+toggle-core,,0.375289233812,0.605663855388,0.230374621577,25.850406423405,25.642522411474,176.166666666667,175.600000000000,1.000000000000,0.000000000000,192000,192000,74.171409092
54,210002022,5,16,other,,1.664480370381,3.065813970343,1.401333599962,24.607530666556,40.546453281345,18.666666666667,19.333333333333,1.000000000000,0.000000000000,192000,192000,76.358601662
55,010222010,5,16,toggle-core,,1.024305149778,2.586523871476,1.562218721699,24.331724001503,32.558057258027,23.833333333333,18.933333333333,1.000000000000,0.000000000000,192000,192000,66.298223948
