accepted,proposal,best_validation_score,motif_classes_found,exact_references_found
1,1,3.201206304207,0,0
2,2,2.983762753813,0,0
3,3,2.983762753813,0,0
4,4,2.983762753813,0,0
5,5,2.983762753813,0,0
6,6,2.983762753813,0,0
7,7,2.875257629933,0,0
8,8,2.875257629933,0,0
9,9,2.875257629933,0,0
10,10,2.875257629933,0,0
11,11,2.875257629933,0,0
12,12,2.875257629933,0,0
13,13,2.875257629933,0,0
14,15,2.875257629933,0,0
15,17,2.875257629933,0,0
16,18,2.875257629933,0,0
17,24,2.874179427944,0,0
18,27,2.874179427944,0,0
19,28,2.874179427944,1,0
20,29,2.874179427944,1,0
